comment_text,comment_speed,comment_service,comment_taste,comment_time
Bir lahmacununun acısı fazla kaçmış ama olsun.,10.0,10.0,10.0,1606583913
Teşekkür ederim.,10.0,10.0,10.0,1606497513
Elinize sağlık.,10.0,10.0,10.0,1606238313
Teşekkürler.,10.0,10.0,10.0,1606065513
Arnavutköyün sefiri zırh kebabı. Elinize sağlık.,10.0,10.0,10.0,1605892713
Kardeşim karstan mı getiriyorsunuz lehmejünleri yaaaaaaaaaaaaa lehmecön vs döner hıaaaaaaaaaaaaaa.,1.0,6.0,9.0,1605806313
Teşekkür ederim çok lezzetliydi.,10.0,10.0,10.0,1605719913
Gerçekten büyük bir değişim var. Tavsiye ederim.,10.0,10.0,10.0,1605633513
Teşekkür ederim gayet lezzetli ve başarılı.,10.0,10.0,10.0,1605287913
Biraz geç kaldı ama sıcak geldi herşey güzeldi ama dürüm hiç tavsiye edilecek gibi değildi.,5.0,10.0,1.0,1605201513
Siparişim 17 dakikada geldi. Çok lezzetliydi elinize sağlık. Ayrıca kuryeniz çok kibar.,10.0,10.0,10.0,1604855913
Rezillik.,1.0,1.0,1.0,1604423913
Ürünler soguk pecete bile koyulmamıstı.,3.0,3.0,3.0,1604126967
Bu sefer tadi pek hos degildi ve boyutu kuculmustu.,7.0,7.0,5.0,1604126967
Tadi tuzu yoktu. Sogan ve aci yoktu. Bildigin kofte gibiydi.,5.0,8.0,3.0,1604126967
Beklentinin altında.,5.0,5.0,5.0,1601497221
Lahmacunun kıymasından çok soğan vardı tadı da kötüydü.,7.0,7.0,3.0,1601497221
Islak mendil çatal bıçak peçete hiç bir şey yok. Tadı da iyi değildi.,9.0,5.0,5.0,1601497221
Lavasi fazla iç malzemesi az.,10.0,6.0,5.0,1601497221
Aşırı kötü lezzet sıfır 48 dakika icerisinde geldi 6 km lik mesafeye lavaş lastik gibi kurye desen konusmasını bilmiyo.,1.0,1.0,1.0,1601497221
Herşey çok güzel fakat lavaş baya baya büyük.,10.0,10.0,10.0,1601497221
Kıymalı kaşarlı pide sipariş ettim kıymalı pide geldi lahmacunlarda kıyma yok denecek kadar azdı hamur yemiş gibi oldum.,9.0,2.0,2.0,1598867475
Teşekkürler beğendim ellerinize sağlık.,10.0,10.0,10.0,1598867475
Sipariş eksik geldi. Eksik gelen siparişi bildirdiğimizde de oraya gelemeyiz başka gün oralarda olursak getiririz diyerek telefonu yüzüme kapattılar! Parasını aldıkları ürünü göndermeyip bir de hakaret işittik.,1.0,1.0,1.0,1598867475
Hamır kuru ve içinde kıyma yok denecek kadar azdı ortalama sürede sıcak geldi. Kesinlikle iç malzemesi yetersiz.,9.0,7.0,6.0,1598867475
Lahmacunlar sıcak ve lezzetliydi.,10.0,10.0,10.0,1598867475
Gayet güzeldi fakat yedikten sonra midem ağırdı.,8.0,8.0,8.0,1598867475
On numara beş yıldız.,10.0,10.0,10.0,1598867475
Fiyatlar pahalı malzeme az gereksz bence.,1.0,1.0,1.0,1596237729
Yorum herzaman yazıyorum ama yayınlanmıyor yine çok lezetli yine teşekür ederim.,10.0,10.0,10.0,1596237729
Yorum herzaman yazıyorum ama yayınlanmıyor yine çok lezetli yine teşekür ederim.,10.0,10.0,10.0,1596237729
Perfect.,10.0,10.0,10.0,1596237729
Pirinç pilavı yerine bulgur geldi tavuk desen yok çiçek kadar az hiç tavsiye etmiyorum.,2.0,1.0,1.0,1596237729
Tam 1 saatte geldi ve sogukduu.,1.0,1.0,1.0,1596237729
Hızlı ve güzel büyük lahmacun ları tavsiye ederim.,10.0,10.0,7.0,1596237729
Herşey gayet güzel lezzetli hız olarakta fena sayılmaz teşekkür ederiz.,10.0,10.0,10.0,1596237729
Teşekkürler arkadaşlar.,10.0,10.0,10.0,1596237729
Tavuklar çok lezzetsizdi kola sipariş ettim yanında yoktu parasını bile ödedim.,7.0,4.0,3.0,1596237729
Güzel.,8.0,8.0,8.0,1593607983
Gayet başarılı.,10.0,10.0,10.0,1593607983
Hiç iyi değil di.,1.0,1.0,1.0,1593607983
Gerçekten çok iyi servis lezzet on numara tavsiye ederim.,10.0,10.0,10.0,1593607983
Sipariş vermeden önce yemek yiyin.,1.0,1.0,1.0,1593607983
Biraz yavas lar ama yemek güzel di.,1.0,2.0,5.0,1593607983
Urfa dürüm deyil ekmek dürüm olmuş resmen ekmegi dürüm yapıpda göndermişler.,5.0,5.0,5.0,1590978237
Lahmacunlara yönelik iki elestirim var. İlk olarak bir kac tane acısız lahmacun istememize ragmen hepsi acılı geldi. İkincisi ise lahmacun ların iyi pişmemesiydi. Lahmacun biraz kıtır olması gerekirken oldukca yumuşaktı. Bunların dışında paketi getiren arkadas oldukça kibardı.,8.0,7.0,6.0,1590978237
