comment_text,comment_speed,comment_service,comment_taste,comment_time
Her şey 10 numara idi :) getiren personelde cana yakın ve kibardı tesekkür ederiz biraz geç değerlendirdik ama olsun.,10.0,10.0,10.0,1606500099
Teşekkürler.,10.0,10.0,10.0,1606500099
Çok beğendim ellerinize sağlık. Hem hızlı geldi hem de sıcacık ve lezzetleri mükemmeldi. Artık sipariş verirken burayı tercih edeceğim. Teşekkürler.,9.0,9.0,9.0,1606413699
Sıcacık geldi patatesler çok güzeldi hamburger de oldukça lezzetliydi ellerinize sağlık.,10.0,10.0,10.0,1606413699
Harikaa.,10.0,10.0,10.0,1606068099
Kumru mükemmel kesinlikle tavsiye ediyorum. Getiren kurye de çok iyi bir insan örnek alınması gereken bir çalışan.,10.0,10.0,10.0,1605549699
Super.,10.0,10.0,10.0,1605463299
Patates kızartması enfes.,9.0,10.0,10.0,1605463299
"Bir hamit altıntopun puskas gölü bir de ck kumrunun kumruları beni benden aldı, efsane bişey kesinlikle deneyin.",10.0,10.0,10.0,1605463299
Çok lezzetliydi ve malzemesi boldu. Afiyetle yedik.. 20 tl sınırlandırması olmasa keşke yakın adres için. Bazen 2 kişilik sipariş yerine tek kişilik sipariş veriliyor :).,10.0,10.0,10.0,1605376899
Kumru sandviçleri çok güzel kısa sürede müdavimi olduk. Lezzeti efsaneydi. Notlara dikkat ediyorlar her seferinde ve çok nazikler. Teşekkür ederiz.,10.0,10.0,10.0,1605117699
"Kesinlikle çok güzeldi, lütfen patateslerin tazeliği çizgisini bozmayın. Bütün restorantlarda bayat patates yemekten bıkmıştık.",10.0,10.0,10.0,1605031299
"Öncelikle elinize sağlık, kumru ve hamburger sipariş verdim, açıkcası yorumlara pek aldırış etmeden sipariş verdim kumru çok çok iidi gayet doyurucuydu ama hamburgere gelicek olursak tek sıkıntısı ekmeğin taş gibi olmasıydı özellikle alttaki ekmek ısırılacak gibi değildi çok sertti lütfen buna dikkat.",10.0,10.0,7.0,1604944899
Çok cömert bir işletmesiniz dört dörtlüktü her şey ellerinize emeğinize sağlık. Kumruyu özellikle deneyin kocaman porsiyonları var ve nefisti. Kapıda kredi kartı ile ödeme seçmiştim. Pos cihazını unutmuştu kuryeniz rica etsem karapürçeğe sipariş getirdiğiniz bi gün gelir misiniz ödemenizi yapamadık.,10.0,10.0,10.0,1604858499
Güzeldi.,10.0,10.0,10.0,1604772099
Ülmğö.,10.0,10.0,10.0,1604685699
Güzel.,10.0,10.0,10.0,1604685699
Gayet iyi.,10.0,10.0,10.0,1604685699
Güzel.,10.0,10.0,10.0,1604512899
Herşey. Çok güzeldi ellerinize sağlık.,10.0,10.0,10.0,1604512899
İdare eder.,5.0,5.0,5.0,1604426499
Kumru ve patatesleri sardiklari kagit kokuyor. Yani kumruya kağıt kokusu ve tadı siniyor. Biraz beğenmedim ama yine iyi diyelim iyi olsun.,10.0,5.0,5.0,1604340099
