comment_text,comment_speed,comment_service,comment_taste,comment_time
Cheddar peyniri yanindan gecerken degdirmis gibi olmus. Malzeme azdi.,9.0,9.0,5.0,1606583381
Güzel tatlar.,9.0,9.0,9.0,1606496981
Efso.,10.0,10.0,10.0,1606496981
"Mükemmeldi, elinize sağlık olsun.",10.0,10.0,10.0,1606496981
Elinize sağlık gerçekten memnun edici bir taddı.,10.0,10.0,10.0,1606324181
Tam bir hayal kırıklığı.,10.0,1.0,1.0,1606324181
"İçeceğim unutulmuş, paketleme yapılırken daha dikkatli olunmalı, onun dışında lezzeti ve gelme hızı iyiydi.",10.0,3.0,8.0,1606324181
"Başarılıydı,.",9.0,9.0,8.0,1606324181
Hızlı ve lezzetli bir hizmet için teşekkür ederiz.,10.0,10.0,10.0,1606237781
İlk defa siparis verdim hersey cok güzel ve lezzetliydi getiren arkadasta gayet güler yüzlüydü hasan tahsin caddesinden selamlar iyi calismalar.,10.0,10.0,10.0,1606151381
"Son derece hızlı servis, fevkalade lezzet. İyi ki var dediğim nadir yerlerden.",10.0,10.0,10.0,1606151381
Kurye çok nazikti cok iyi servis edildi tesekkürler.,10.0,10.0,10.0,1606064981
Ciddi manada yediğim en iyi çıtır tavuk tu bayağı beğendim.,6.0,9.0,8.0,1605978581
Çok fazla çörek otu vardı ekmekte tadını kötü yönde etkiliyodu onun dışında lezzetli doyurucu.,10.0,7.0,6.0,1605892181
Sosu beyenmedim am guzeldi.,10.0,9.0,7.0,1605892181
Tatlılar çok iyi.,10.0,10.0,10.0,1605892181
Patates miktarı artarsa 10/10 olur.,10.0,9.0,10.0,1605892181
Hız ve müşteri ile iletişim cok iyi ancak ürün yanına görseller konulsa ve porsiyon miktarı bir tık artırılsa col daha iyi olabilir.,10.0,8.0,8.0,1605719381
Süperdi. Mükemmel. Tadı damağımızda kaldı.,10.0,10.0,10.0,1605719381
Tadı bayağı güzel ama hem patatesin hem de sandwich in boyutu bayağı küçük. Porsiyonların büyütülmesi gerek.,8.0,7.0,10.0,1605632981
Ekmek ve susam tadından başka birşey anlamıyorum tavuklar bildigin haşlama ne tadı var ne tuzu.,9.0,6.0,8.0,1605632981
"Çok memnun kaldım. Yemek siparişimiz yanlış getirildiği için doğru menü ile birlikte, diğer menüyü de bize bırakıp, üstüne bir de tatlı getirdiler. Servis elemanı da çok kibardı. Yemek de çok lezzetliydi. Ellerinize sağlık.",6.0,9.0,10.0,1605546581
İşinin ehli bir işletme. Emeği geçen herkesin eline sağlık.,10.0,10.0,10.0,1605373781
Köfteli cheddar soslu breadli en azından benim damak tadıma hiç uygun değildi bir gözden geçirmenizi tavsiye ederim.,10.0,10.0,3.0,1605287381
Kusura bakmayın ama 1 lokmayı bile yutamadım o kadar kötüydü. Acil olarak köftenizi gözden geçirin derim.,8.0,8.0,1.0,1605287381
Sandvic guzel di fakat waffle de acayip sogan kokusu var ve 2 adim otesinde market olan mekanda waffle koyacak meyva yok üzücü.,10.0,9.0,6.0,1605287381
Sandviçler güzel sadece sosu azdı.,10.0,10.0,10.0,1605200981
Çok beklemedik 1 saat içinde geldi. Servis biraz daha kaliteli olabilir. Ama memnun kaldım ürünler taze ve lezzetliydi.,8.0,7.0,9.0,1605200982
Pasta biraz bayat gibiydi ve kutusu yatay şekilde gelmişti. Onun haricinde her şey güzeldi.,10.0,9.0,8.0,1605200982
Lezzetliydi sadece ekmegin üstündeki cörekotu cok fazlaydı tavugun tadını bozuyor susam daha iyi olur.,9.0,8.0,8.0,1605114582
"Hızlı paket, lezzetli ürün, güleryüzlü servis. Tavsiye ederim..",10.0,10.0,10.0,1605028182
Sipariş verirken promosyon patateslerin yanında ketçap mayonez var yazıyordu gelmedi ve ekmek üstü kömür gibi yanmış geldi.,10.0,1.0,1.0,1604941782
