comment_text,comment_speed,comment_service,comment_taste,comment_time
Kuryeye test yaptırın bi öksüre öksüre geldi adam.,9.0,9.0,9.0,1606080349
Az yağlı dememe ragmen aşırı yağlıydı.,10.0,8.0,6.0,1605907549
Servis olsun lezzet olsun çok güzel ayrıca hızlı gelmeside çok iyi.,10.0,10.0,10.0,1605821149
Patates kızartması ni tekrar ısıtılmış gelmiş dürümün içinde et yok denecek kadar az rezalet.,1.0,1.0,1.0,1605648349
Patatesler haric guzeldi.,9.0,9.0,8.0,1605216349
"Et ve salata dağılmış geldi, ekmeğin içine kendim topladım. Sanırım konsept bu.",9.0,1.0,9.0,1605216349
Güzeldi.,8.0,8.0,8.0,1605129949
Patatesi çok az koyuyorlar.,10.0,7.0,7.0,1605129949
Uzak olmasına rağmen zaninda geldi kurye arkadaşa teşekkür ederim ama lezzeti isteğim gibi değildi.,10.0,7.0,5.0,1604870749
Teşekkürler herşey için.,10.0,10.0,10.0,1604784349
Tesekur ederim.,10.0,10.0,10.0,1604697949
Çok lezzetli teşekürler.,10.0,10.0,10.0,1604525149
Lezzetli ancak ekmeğin boyutu ve malzemelerin gramajı parasına göre düşük.,10.0,7.0,10.0,1604265949
Belki yanına acı koymak iyi olabilir bir düşünün derim.,9.0,9.0,9.0,1603969003
"Normalde hızlı ama bilerek bir verdim yaptıkları yanlışı duzeltsinler diye, 30 ml ayran seçiyorsun 20 ml ayran geliyor ve ayni parayı alıyorlar. Niye böyle oldu deyince de bu ayran cam şişe de o yüzden cevabi alıyorum. Servis olarak normal ama lezzet olarak beğenmedim.",1.0,1.0,1.0,1603969003
"Hızlı, lezzetli.",10.0,10.0,10.0,1603969003
Lezzetli idi acısı tam kıvamında idi soğan istememiştim soğanlı gelmiş.,10.0,10.0,10.0,1603969003
Çok hızlı geldi. Tantuni çok lezzetliydi. Serviside çok iyiydi teşekkürler.,10.0,10.0,10.0,1603969003
Güzel.,10.0,10.0,10.0,1603969003
Menü aldığınızda verilen patates miktarı bu. Oldukça cimri gördüm ve yağlı.,7.0,1.0,5.0,1603969003
Biraz daha hızlı olabilir.,7.0,8.0,8.0,1603969003
Muhteşemsiniz.,10.0,10.0,10.0,1601339257
Hız lezzet on numaraydı gerçekten harika.,10.0,10.0,10.0,1601339257
Fiyat ve doyuruculuk orantılı değil ama yinede elinize sağlık nota dikkat edilmiş.,9.0,9.0,8.0,1601339257
"Hızı, lezzeti ve yanındaki ikramları standartın çok üstünde. Ancak biftek bizim oralarda böyle olmuyor onu hatırlatayım dip not olarak.",10.0,10.0,10.0,1601339257
"Her zaman zevkle yediğim sipsril verdiğim yer, ama bu sefer lezzet olarak farklı tat aldım nedenini de bilemiyorum.",8.0,10.0,5.0,1601339257
Her gece tok olsamda tadına bayıldığım lezzet.,10.0,10.0,10.0,1601339257
Harika.,10.0,10.0,10.0,1601339257
Çok iyi.,10.0,10.0,10.0,1601339258
Notu okumadılar ama olsun :d.,8.0,8.0,8.0,1601339258
Hız ve servis gerçekten iyi olup ama lezzet kötüydü.,9.0,9.0,1.0,1601339258
Hızlıydı lezzetide güzel sadece salaata az.,10.0,10.0,10.0,1601339258
Çok beğendim elinize sağlık. Sadece acı biber bir tane az geliyor onu 2 yapalım :).,10.0,10.0,10.0,1601339258
Biraz geç geldi. Lezzet iyi sayilir. Doyurucu degil. Yaninda yesillik bol olmalı.,6.0,7.0,7.0,1601339258
Hem. Nazik hem lezzetli alanyanın bence açık ara en iyisi.,10.0,10.0,10.0,1601339258
"Lezzetli, kaliteli ve uygun müşteri daha ne isteyebilir teşekkürler.",10.0,10.0,10.0,1601339258
Mükemmel.,9.0,9.0,9.0,1598709512
Çok yağlıydı harici beğendim birdaha ki sefere az yağlı notunu düşeceğim.,10.0,10.0,10.0,1598709512
Yoğurtlunun boyutu çok küçüktü. Ancak lezzetli.,9.0,9.0,7.0,1598709512
Bir silifkeli olarak alanya da en iyi tantuni diyebilirim.,10.0,10.0,10.0,1598709512
Herşey güzeldi.,10.0,10.0,10.0,1598709512
Güzel.,10.0,10.0,10.0,1598709512
Her şey 10 numara.,10.0,10.0,10.0,1598709512
"Diğerleri hikaye. Tantuni bol malzemeli, rokalar taze ve güzeldi. İkramlar için teşekkürler.",10.0,10.0,10.0,1598709512
Tantuniler daha yağlı olabilir.,10.0,10.0,10.0,1598709512
Yoğurtlu tantuni istedim tantuni poşette geldi tabağında değil.,1.0,1.0,1.0,1598709512
10 numara.,10.0,10.0,10.0,1598709512
Ayran ikraminiz icin tesekkurler. Tavuk doner tantunide daha iyiydi.,10.0,10.0,10.0,1598709512
Patates kızartması haşlanmış patates gibiydi yumuşaktı.,8.0,8.0,6.0,1598709512
Yorumum dikkate alınmış elinize sağlık patates biraz daha pişebilirdi sadece :).,10.0,10.0,10.0,1598709512
Tantuni denilince akla ilk gelen yer lezzet mersin tantuni severek yiyoruz ve herkeze tavsiye ediyorum güvenilir bir şekilde yiyebilirsiniz paketci ve elemanlar güler yüzlü ve müşteri ile ilgilenme 10 numara teşekkürler.,10.0,10.0,10.0,1598709512
Waooooovvvvvvvvv this tantuni with yogurt is soo incredible i lost my mind when ı eat.,10.0,10.0,10.0,1598709512
Güzeldi.,9.0,9.0,9.0,1598709512
Güzeldi patates daha fazla olmalı.,10.0,10.0,10.0,1598709512
Güzel.,7.0,9.0,10.0,1598709512
İyiydi diyemem.,8.0,9.0,8.0,1598709512
Tavuk dürümler hep tuzsuz geliyor. Lutfen hazırlarken tuz ilave edin.,9.0,9.0,6.0,1598709512
Lezzetli ve doyurucu.,10.0,10.0,10.0,1598709512
İyi jil.,8.0,8.0,8.0,1596079767
Hayatimda yedigim en guzel tantunilerden birisiydi ustanin ellerine saglik ayrica hiz ve servise soylenecek bir soz bulamiyorum tek kelimeyle mukemmel.,10.0,10.0,10.0,1596079767
Alanyada yediğim en iyisi diyebilirim gerçekten çok hızlı geldi inşallah bozmadan devam edersiniz.,10.0,10.0,10.0,1596079767
Tavuk pek lezzetli sayılmazdı ekmek hamur olmuştu zaten tavuklar haşlamayı ekmek arasına koymuş gibilerdi.,10.0,10.0,5.0,1596079767
Servisi hızlıydı. Paketçi abi güler yüzlü ve ilgiliydi. Gece vakti sipariş etmeme rağmen taze sıcak ve dolu doluydu teşekkürler.,10.0,10.0,10.0,1596079767
Tavuk döner lezzetliydi hayırlı işler.,10.0,10.0,10.0,1596079767
Lezzeti süper alanyada tek tavsiye edicegim yer burası hız servis lezzet 10 numara teşekkürler.,10.0,10.0,10.0,1596079767
Süper.,10.0,10.0,10.0,1596079767
"Fiyat artmış ama lezzette artmış, hayırlı işler.",10.0,10.0,10.0,1596079767
Cok iyi.,10.0,10.0,10.0,1596079767
Güvenir otelden sa.,10.0,10.0,10.0,1593450021
Güzel.,10.0,10.0,10.0,1593450021
Çok çabuk geldi ve çok güzeldi teşekkürler.,10.0,10.0,10.0,1593450021
Tavuk çok güzeldi et döner biraz maydonozluydu ben sevmem maydonoz o yüzden pek hoşuma gitmedi oda benim hatam secmedim ama emin olun çok. Efsane ben adanaliyim tantuni nasıl olur bilirim ve bu efsane.,10.0,10.0,10.0,1593450021
Hayatımda ilk defa tantuni yedim iyisi nasıl olur bilmiyorum ama yediğim en lezzetli yemeklerden bir tanesiydi bu tantuni çok beğendik.,10.0,10.0,10.0,1590820275
Yoğurtlu tantuni yi tavsiye ediyorum.,8.0,10.0,10.0,1590820275
