comment_text,comment_speed,comment_service,comment_taste,comment_time
"Kokoreç mü kem mel, bugüne kadar yediklerim arasında ilk 5te yer alıyor.",10.0,10.0,10.0,1606524781
Söğüş bol ve güzeldi elinize sağlık.,10.0,10.0,10.0,1606524781
Kokoreç hayatımda yediğim en iyisiydi söğüşte temiz ve güzeldi midye taze ve lezzetli ama midyenin tek bir kötü yanı var soğuk olması turşular bol limonu bol koyulmus midyenin helal olsun paraya değdiğini hissediyorsun kokorece kötü yorum yazanlar bence rakip firma aldırmayın harikasınız.,10.0,10.0,10.0,1606438381
Midye midye midye hala kötü abi. Söğüş kokoreç harika ama şu midyeye bi çözüm bulun lütfen.,10.0,10.0,8.0,1606438381
Lezzette sorun yok midyeler kap ta gelse görsel olarak daha iyi bir sunum olurdu.,10.0,9.0,10.0,1606351981
Deri parçası gibi bir şey çıktı. Biraz irite oldum.,10.0,10.0,8.0,1606006381
Mükemmeldi.,10.0,10.0,10.0,1606006381
Çok güzeldi elinize saglıkhızlı geldi.,9.0,9.0,9.0,1605919981
Kötü tavsiye etmem.,1.0,1.0,1.0,1605919981
Nambır van.,10.0,10.0,10.0,1605833581
Teşekkürler.,10.0,10.0,10.0,1605833581
Önermiyorum. Kokoreçte yağdan başka bir şey yoktu. Yiyemedik.,7.0,1.0,1.0,1605833581
Kurye abi 10 numara bir insana benziyor. Sağolsun.,9.0,8.0,8.0,1605660781
Kalitesiz.,1.0,1.0,1.0,1605660781
Yediğim en iyi atom diyebilirim sadece biber kızartması biraz daha çok olabilirdi onun haricinde lezzeti porsiyonu gayet iyiydi elinize sağlık.,10.0,10.0,10.0,1605574381
Domat olsa iyiydi domat yok ndn.,10.0,8.0,9.0,1605487981
İzmire söğüs sevdalısıyim muhteşem sizinki.,9.0,10.0,10.0,1605487981
Kokoreç lastik gibi. Çiğne çiğne çenem yoruldu. Yarısını yiyemedim bıraktım.,9.0,10.0,1.0,1605401581
Midye hayattı.,10.0,7.0,1.0,1605401581
Kokoreç efsanenin de ötesinde mükemmel 10 az kalıyor 20 olsa 20 veririm. Ellerinize sağlık hayırlı işleriniz olsun inşallah.,10.0,10.0,10.0,1605315181
Lezzetli tavsiye ederim.,9.0,9.0,9.0,1605228781
Kokoreç pişmemişti vermediğim paraya acıdım...,10.0,8.0,1.0,1605228781
