comment_text,comment_speed,comment_service,comment_taste,comment_time
Değişmeyen lezzet teksiniz bu sektörde.,10.0,10.0,10.0,1606546384
Hızlı sıcak lezzeti teşekkürler.,10.0,10.0,10.0,1606459984
Pideleri kağıda sarılı getiriyorlar gelene kadar su içinde kalıyor ama lezzet gayet iyi.,9.0,6.0,9.0,1606459984
Ortalama üstü bir lezzet.,8.0,8.0,8.0,1605595984
Mükemmel.,10.0,10.0,10.0,1605509584
Kiyma ve sucuklarinizi degistirin.,10.0,8.0,1.0,1605423184
Gayet güzel.,10.0,9.0,10.0,1605163984
Yanlış pide getirdiler.,9.0,6.0,9.0,1604991184
Servis lezzet hız müthiş.,10.0,10.0,10.0,1604818384
Efsane.,10.0,10.0,10.0,1604386384
12 dk da geldi.,10.0,10.0,10.0,1604299984
Siparişim verdikten 1 30 saat sonra geldi bu ne yavaşlık ya.,1.0,1.0,1.0,1604089438
Güzel.,8.0,8.0,9.0,1604089438
Kalite tesadüf değildir...,10.0,10.0,9.0,1604089438
Kurye kapıyı kırcaktı alacaklı gibi çalıyor.,8.0,1.0,7.0,1604089438
Sipariş notu dikkate alınmıyor.,8.0,6.0,10.0,1604089438
Lezzeti fena değil ama boyutları küçük.,8.0,7.0,8.0,1604089438
İstanbulda yaşıyor olsak eyvallahta kırklarelinin bir başından diyer balışa yarım saatte yürüyerek bitirirsin ama adamlar adresi sormaya iki kez arayıp sonra dükan dükkan sormayı anlamıyorum.,8.0,7.0,8.0,1604089438
Kırklareli de tek!,9.0,9.0,9.0,1604089438
F/p açısından bakarsak çok iyi.,10.0,9.0,9.0,1604089438
Lezzeti ve hızlı.,10.0,10.0,10.0,1604089438
Kuryeniz felaket hızlı iskender beyy.,10.0,10.0,10.0,1604089438
Boyutları küçük ama lezzeti iyi.,8.0,7.0,8.0,1604089438
Güzeldi.,10.0,10.0,10.0,1604089438
9 dakikada geldi. Hemde sıcacık bir şekilde :).,10.0,10.0,10.0,1604089438
İyi değildi.,1.0,1.0,1.0,1604089438
"Bayat geldi, muhtemelen akşamdan kalanlari sabah isitip gonderdiler.",5.0,1.0,1.0,1604089438
Elinize sağlık hocam.,10.0,10.0,10.0,1604089438
İyi.,8.0,8.0,8.0,1604089438
İyi.,8.0,8.0,8.0,1604089438
Mükemmeldi.,10.0,10.0,10.0,1601459692
Süper.,10.0,10.0,10.0,1601459692
Çok yavaşpideler buz gibiydi paket 1saate geldi.,1.0,1.0,1.0,1601459692
Hız ve servis çok iyiydi fakat lezzet için aynı şeyi diyemeyecegim içinde kıymaya dair hiçbirşey yoktu. Hamur yedik..,9.0,8.0,3.0,1601459692
Hızlı sıcak.,10.0,10.0,10.0,1601459692
Güzel.,9.0,9.0,9.0,1601459692
İlk defa sipariş verdim. Hiç fena değildi. Ellerinize sağlık.,9.0,8.0,8.0,1601459692
Restoran da kesildiği gibi gelsin dediğim halde 2 3 servis oldu gelmiyor.,1.0,1.0,2.0,1601459692
Sıcacık ve lezzetliydi.,10.0,10.0,10.0,1601459692
Bu sefer hızda lezzette baya güzeldi.,10.0,10.0,10.0,1601459692
Özür.,10.0,10.0,10.0,1601459692
Pideleri kağıda sarıp göndermişler hepsi sıcaktan ıslanmış yumuşamış.,8.0,6.0,9.0,1601459692
Lezzet mükemmeldi biraz geç gsldiği kaşar peyniri donduğu halde çok iyiydi ama 1. 5 saate yakın gelmedi.,2.0,7.0,10.0,1601459692
Hızlı geldi sıcak ve lezzetli.,10.0,10.0,10.0,1601459692
Menüde ayran varken getirmemisler sonraki siparişe. İnsallah telafi ederler.,8.0,4.0,8.0,1601459692
Gayet makul bir fiyata doyduk. Ürünler sıcak ve lezzetliydi. Memnun kaldım.,8.0,8.0,9.0,1601459692
Yine her zamanki gibi müşteri notunu umursamamışsınız.,7.0,4.0,8.0,1601459692
Çok güzeldi pideler ama kurye biraz yavaş getirdi.,8.0,9.0,10.0,1601459692
Güzeldi.,8.0,7.0,9.0,1601459692
Pide işte.,4.0,4.0,4.0,1601459692
İyi.,10.0,10.0,9.0,1601459692
1 saat 20 dakikada geldi güzel...,1.0,4.0,10.0,1598829946
Kıymalı pide istemiştim geldi ama sağolsun lar 1 tane de patatesli eklemişler teşekkür ederiz.,9.0,9.0,9.0,1598829946
6 kıymalı pide 1 ayran istedik 2 patatesli 1 karışık 1 icetea geldi teşekkürler...,5.0,1.0,2.0,1598829946
Güzeldi.,10.0,9.0,9.0,1598829946
Kötü.,1.0,1.0,1.0,1598829946
"Keşke sucuklar pişse, keşke hamur yerine malmeze yesek.",1.0,1.0,1.0,1598829947
Turşusuz yiyemiyorum yazdığım halde turşu koymamışsınız. Lezzeti güzel olabilir ama şu müşteri notuna önem gösterin.,7.0,6.0,9.0,1598829947
Çok kötü! Size tavsiyem paket servisi yapmayın ve yemek sepetinden çıkın! Siparişim tel ile aramama rağmen bir saatte zor geldi. Bir daha asla sipariş vermem.,1.0,1.0,1.0,1598829947
Guzel.,10.0,10.0,10.0,1598829947
Güzel zamanında teslimat süresi.,10.0,10.0,10.0,1598829947
Normalde guzel ama lezzeti 1 bucuk saatte geldigi icin begenmedimm cok gec geliyoo.,1.0,5.0,8.0,1598829947
Yaklaşık 1. 5 saatte geldi siparişim! Ürünleri patatesli söyledim hepsi kıymalı geldi!,1.0,1.0,1.0,1598829947
Paket servis aşırı yavaş önermiyorum.,1.0,1.0,3.0,1598829947
Çok tuzlu.,7.0,6.0,6.0,1598829947
Oldukça lezzetli fakat geç geliyor.,8.0,9.0,9.0,1598829947
1 saat geçmesine gelmeyem servis ve bilgi verilmemesi üzücü.,1.0,1.0,1.0,1598829947
Kıymalı istedim hepsi patatesli geldi elinizde yoksa yemek sepetin arayabilirsiniz ama neyse ins bi dahaki siparişim de böyle olmaz umarım.,10.0,7.0,1.0,1596200201
Sırf köy diye siparişi getirmediler böyle ayrımcılık olmaz! 30km ise 30kmorda adres yazıyor.,1.0,1.0,1.0,1596200201
Pide bank.,10.0,9.0,10.0,1596200201
Güzel.,10.0,10.0,10.0,1596200201
Kendi alanının en iyisi!,10.0,10.0,10.0,1596200201
Gayet lezzetli uygun fiyat ve hizli servis.,10.0,10.0,10.0,1596200201
Kırklareli de tek!,10.0,10.0,10.0,1596200201
Cok hizli ve iyi.,10.0,10.0,10.0,1596200201
Severek yiyoruz :).,10.0,10.0,10.0,1596200201
İyi.,10.0,10.0,10.0,1596200201
Berbat.,1.0,1.0,1.0,1596200201
Sabahların vazgecilmezi.,10.0,10.0,10.0,1596200201
Olmamış.,1.0,1.0,1.0,1596200201
Kavurmalı pizzada kavurmayı her yere yayarsanız daha da lezzetli olacak.,10.0,10.0,10.0,1596200201
Motorla beş dakikada gelebileceğiniz yere 1 saate gelmek çok büyük başarı ayrıyetten neden gecikdiği için aradığımda yolda deyip kapattılar ve ondan 20 dakika sonra geldi büyük ihtimalle şiparişi bile unuttular.,1.0,1.0,1.0,1596200201
Karışık güzeldi de kaşarlı sucuklu çok kuruydu.,9.0,7.0,6.0,1596200201
Başarılı.,10.0,10.0,10.0,1596200201
Çok saygılı ve kibar bir arkadaşımız siparişimi getirdi teşekkür ederim iyi çalışmalar.,10.0,10.0,10.0,1596200201
Pide için diyecek bişey yok ama içeceklerin parasını alıp siparişe koymamak büyük rezi.,1.0,1.0,1.0,1596200201
Güzel hizmet.,9.0,9.0,9.0,1596200201
Çok hızlıydı. Lezzet de iyiydi.,10.0,10.0,10.0,1593570455
Gayet güzeldi.,8.0,9.0,10.0,1593570455
Güzeldi.,8.0,9.0,10.0,1593570455
Elinize sağlık ikramlar için teşekkür ederiz.,10.0,10.0,10.0,1593570455
Efsane lezzet.,10.0,10.0,10.0,1593570455
"Hızlı, sıcak ve lezizz siz mukemmelsiniz.",10.0,10.0,10.0,1593570455
Çok güzeldi tşk.,10.0,10.0,10.0,1593570455
Hem hızlı hem lezzetli.,10.0,10.0,10.0,1593570455
Pateteslilerin yerine kiymali koymuşlar.,10.0,10.0,10.0,1593570455
Siparişler elimize ulaştığında çok soğuktu.,4.0,1.0,6.0,1593570455
Sıcak ve hızlıydı.,9.0,9.0,9.0,1593570455
Yavaş ve soğuk geldi.,5.0,10.0,5.0,1593570455
Rezalet.,1.0,1.0,1.0,1593570455
5 dakikada geldi mükemmeldi.,10.0,10.0,10.0,1593570455
Böylesi kırklarelinde tek bence hayırlı işleriniz olsun..,10.0,10.0,10.0,1593570455
Hızlı.,10.0,7.0,8.0,1590940709
