comment_text,comment_speed,comment_service,comment_taste,comment_time
Fiyatına göre iyiydi.,10.0,8.0,8.0,1606682341
Güzel.,10.0,10.0,10.0,1606509541
Biraz yavaş geldi bir de biraz soğuktu soğuk halde bile lezzetliydi ellerinize sağlık.,8.0,8.0,10.0,1606509541
Fena değildi.,8.0,8.0,7.0,1606509541
Hızlı servis güler yüz lezzet bol porsiyon uygun fiyat böyle müesseseler beni mutlu ediyor.,10.0,10.0,10.0,1606423141
Super.,10.0,10.0,10.0,1606336741
Herşey mükemmel adananın tadı on numara tek sorun bulgur hoşuma gitmedi tadı tuhaftı yine de ellerinize saglık.,8.0,10.0,10.0,1606336741
Lezzetsiz ve joker diye içindeki malzeme az.,3.0,3.0,3.0,1606336741
Adana dürümü cok güzel ve mezeleri aşırı tazr lezzetli.,10.0,10.0,10.0,1606163941
Kuriyeniz 10 numara bir çocuk.,10.0,10.0,10.0,1606077541
"Her geçen gün artan lezzet ve hız sizden vazgeçmemizi sağlıyor, yazdığım notlar her seferinde dikkatle okunuyor herşey için teşekkürler ellerinize sağlık.",10.0,10.0,10.0,1605991141
"Lezzet muazzam, hız muazzam, servis ve ikramlar muazzam. Joker olmasına rağmen çok güzeldi elinize sağlık.",10.0,10.0,10.0,1605991141
"Elinize sağlık, gayet güzeldi. Ayran patlaşmış poşete akmış olması haricinde sorun yoktu.",10.0,6.0,10.0,1605991141
Çok lezzetliydi yemekler çok beğendim ellerinize sağlık.,10.0,10.0,10.0,1605904741
Ezme koymayın demiştim ama galiba meze koymayın olarak algıladılar hiç meze yoktu :( üzdü ama benim hatam.,8.0,8.0,8.0,1605904741
Gerçekten her zamanki gibi çok lezzetli.,10.0,10.0,10.0,1605818341
Biz urfa porsiyon kebap söyledik avcılar da yediğimiz en lezzetli kebap diyebilirim gönderdikleri mezeler de çok lezzetli porsiyon da doyurucu. Tavsiye ederim.,10.0,10.0,10.0,1605472741
Acısız olsun diye birini urfa söylemiştik. O bile acıydı üstelik urfa da soğan olmasın istedik urfa da soğan vardı adana da yoktu. Aci olduğu icin lezzet alamadım...,6.0,6.0,1.0,1605472741
"Mezeler, lezzet ve hız harika. Mevzu dürümse aynen devam diyorum.",10.0,10.0,10.0,1605386341
"Hız ve hijyen açısından mükemmel bir restaurant sürekli sipariş veriyorum çizgilerini hiç bozmadılar, verilen meze ile insan zaten doyuyor ellerinize sağlıkk.",10.0,10.0,10.0,1605386341
Hız ve samimiyetinden dolayı yusuf beye teşekkürler :).,10.0,10.0,10.0,1605299941
İlk defa sipariş verdik ve gayet memnun kaldık ellerinize sağlık.,10.0,10.0,10.0,1605213541
Gayet güzeldi yanında mesajlarda vardı sipariş verebilirsiniz pişman olmazsın.,10.0,10.0,10.0,1605040741
Bi porsiyon istedim hersey cok iyiydi ama ekmek cok azdi bi de tirnak pide yaziyodu onu göndermemistiniz bu eksiklikleri de tamamlarsaniz cok iyi olur tesekkurler.,10.0,10.0,10.0,1604867941
Çok hızlı geldi ve lezzetliydi kurye arkadaşa teşekküler.,10.0,10.0,10.0,1604695141
"Lezzet, tad ve hız cok iyi. Verdiginiz hizmet için teşekkür ederim. Avcılarda dürüm yemek isteyenler için tavsiye ederim.",10.0,10.0,10.0,1604608741
"Fazla söze gerek yok, teşekkürler.",10.0,10.0,10.0,1604608741
Servis diye ben buna derim.,8.0,10.0,10.0,1604608741
Sadece yanına koydukları mezeyle bile doyabilirsiniz. Gecenin kaçı olmasına rağmen sıcak geldi eksik yoktu her şey 10/10 elinize sağlık.,10.0,10.0,10.0,1604349541
"Tesadüfen keşfettiğim mekanda yemiş olduğum adana kebabın tadının ve lezzetinin, vermiş olduğum siparişte de değişmediğini gördüm. Vermiş oldukları ikramlar, siparişin kısa zamanda ve sıcak gelmesi de ekstradan artı puanı hakediyor.",10.0,10.0,10.0,1604138995
Yemekleri harika yemekten çok mezesi ile doyarsın bu paraya bu lezzet harika sipariş hızlı ve sıcak eksiksiz ürün teşekkürler aynen dürüm.,9.0,10.0,10.0,1604138995
Teşekkürler 10 numara aynen devam.,10.0,10.0,10.0,1604138995
"Genel olarak iyi güzel ama, yanında gönderilen cig köfte harici tüm ikramlar bir gözden geçirilmesi gerekiyor, başka bir eksiği yok.",10.0,10.0,8.0,1604138995
Gayet güzeldi yanındaki ikramlar dürüm falan gayet iyidi.,10.0,10.0,10.0,1604138995
Joker olduğu için tereddütte kalmıştım bazı arkadaşlar porsiyon az falan demiş. Ben hayatımda böyle bir porsiyon görmedim. Köfte söyledim resmen iki kişilik geldi. Mezelerde ekstra gayet iyi.,10.0,10.0,10.0,1604138995
"Gecenin bir vakti söyledim ama o kadar hızlı geld ki, ben çukurovalıyım ve samimi söylüyorum adanada yediğümden bir farkı yoktu. Çok teşekkür ederim, ellerinize sağlık.",10.0,10.0,10.0,1604138995
Kiloluk tavuk gayet başarılıydı yanına ikram ettikleri ezmeler için teşekkürler gerçekten iyi hizmet ve lezzet.,8.0,10.0,10.0,1604138995
Çok hızlı geldi servisi çok iyiydi herşey den bol bol koymuşlardı ve lezzete diyecek tek şey süperdi.,10.0,10.0,10.0,1604138995
Pirzola dedigin butun gelir yaninda catali kasigi olur bunda ne catak vardi ne tuz ve porzolayo parlamislar 1 adet pirzola konulmus okadar yaziktir bide baska yerde yedim pirzola doydum ve artri yiyemedim burda geleni yedim doymadim iki lokmada bitti tekrar vaska yerden siparis verdim.,4.0,1.0,1.0,1601509249
Kime desek iyi bozuyor.,6.0,6.0,6.0,1601509249
Gayet iyiydi..,9.0,9.0,9.0,1601509249
Çorbanin yanında limon istedim iki üç tane hiç koymamışlar ben çorbacı bulamadığım için sipariş vermek zorunda kaldım yanına adana dürüm söyledim ikisi de çok kötüydü... 0 olsa sıfır verirdim o derece kötü yemek yemek isterseniz sipariş verebilirsiniz.,1.0,10.0,1.0,1601509249
42. 50 tllik ciğer menüsü tamamen hayal kırıklığı. Domatesli gönderilen şeyin ve yoğurtlu şeyin tadı yok. Aynı siparişte istediğim adana da hakeza aynı şekilde lezzetsizdi. Kalitelidir lezzetlidir diyr pahalı bi yerden sipariş vereyim dedim. Ama sonuç hüsran.,7.0,7.0,1.0,1601509249
İkramlar iyi ızgaralar çok güzel ellerinize sağlık hemde çabuk geldi teşekürler.,10.0,10.0,10.0,1601509249
Normal idare eder.,8.0,8.0,8.0,1601509249
Malzemeden kaçınılmamış süper.,10.0,10.0,10.0,1601509249
Kolami unutmuslardi tek sorun oydu. Lezzeti iyiydi.,8.0,7.0,9.0,1601509249
Pilavı porsiyonların içine değil de ayrı ve tek tabakta göndermeniz hoş olmamış.,8.0,9.0,9.0,1601509249
Süperdi teşekkürler.,10.0,10.0,10.0,1601509249
Çöp şişi güzel adana urfa dürümlerinin tadı hoşuma gitmedi.,3.0,3.0,4.0,1601509249
Dürüm geldide içinde et varmıydı bilmiyorum tatı tuzu yoktu tereddütlerimde haklı çıktım.,5.0,5.0,1.0,1598879503
Servis teslimat hız ve tabii ki lezzet yine 10 numara. Kebapta özellikle dürüm de çok iyi. Teşekkürler.,10.0,10.0,10.0,1598879503
"Tesadüf eseri sipariş verdim fakat inanılmaz memnun oldum siparişlerin yanında gelen mezeler bol ve tazeydi, dürümler sıcak ve istenilen gibi, yeni keşfim kendime hayırlı olsun!",10.0,10.0,10.0,1598879503
Harika baska söze gerek yok.,9.0,9.0,10.0,1598879503
Baya lezzetli tavsiye ederim.,10.0,10.0,10.0,1598879503
Herşey çok güzeldi teşekkürler :)) ilk siparişimdi ve çok tedirgindim açıkçası. Teslimat çok hızlıydı servis mükemmeldi ayrıca gönderilen çiğköfte için de teşekkürler çok memnun olduk :)) lezzet zaten harikaydı. Her zaman aynı şekilde hizmet görmek isteriz bundan sonra sizdeyiz.,10.0,10.0,10.0,1598879503
Ben böyle güzel dürümü en son adanada yedim.. Gerçekten mükemmel yanında gelen acı ezmede cabası.,10.0,10.0,10.0,1598879503
Bir arkadasım önerdi çok güzel mezeleri falan bol çiğ köftesi den naneli salatalık turşusuna kadar var dürümde gayet lezzetli teşekkür ederiz hayırlı işler kolay gelsin ( artık burdayım :)).,10.0,10.0,10.0,1598879503
