comment_text,comment_speed,comment_service,comment_taste,comment_time
Çok lezzetli ve bol bol.,10.0,10.0,10.0,1606769194
Çok beğendim kaçtır sipariş veriyorum hepsi birbirinden güzeldi özenerek yapılıyor bol kazançlar dilerim ustammmm.,10.0,10.0,10.0,1606682794
Şükrü baba herzaman ki gibi herşey on numaraiyi ki varsınherkese tavsiye ederim.,10.0,10.0,10.0,1606682794
"Ama turşumuzu unutmuşsunuz bu kez, geçen sefer islak mendile kadar vardı. Üzdünüz. Ama çiğkofte güzel tabii on numara.",9.0,9.0,10.0,1606596394
Yorumlar da yazılan gibi değil. Gerçekten yazık oldu hepsi çöp oldu. Bu kadar bekledim bir de.,1.0,1.0,1.0,1606596394
Her şey efsaneydi.,10.0,10.0,10.0,1606596394
İdare eder fena degil.,8.0,8.0,8.0,1606596394
Herşeyiyle yine harikaydı kurye kardeşimin de ayağına sağlık çok kibar biri hayırlı işler.,10.0,10.0,10.0,1606423594
"Servis elemanı çok güler yüzlü, inanılmaz hızlı. Avcılarda en iyi çiğköfteci. Sosyal mesafeye dikkat ediyorlar 10 numara 5 yıldız.",10.0,10.0,10.0,1606337194
Elinize sağlık çok güzeldi herkese tavsiye ederim.,10.0,10.0,10.0,1606337194
Adammmmm.,10.0,10.0,10.0,1606337194
"Hersey güzel ciğköfte sipariş ettim, fakat garnitür yaninda limom yoktu,.",10.0,9.0,10.0,1606164394
Harikaa.,10.0,10.0,10.0,1606077994
Çok güzel ve lezzetliydi tadı damakta kalan bir lezzet ama biraz daha erken gelirse çok daha iyi olur.,9.0,9.0,9.0,1606077994
Sizde avcilar subeniz kadar hızlı ve lezzetli olmalısınız. Cigkofteleri tabağa yerlestirirken bir dönüp bakın acaba biz napiyoruz diye. Hepsi ic ice girmişti. Gorsel sıfır.,8.0,1.0,8.0,1606077994
On numara.,10.0,10.0,10.0,1605991594
Zamanında geldi tadı efsane.,8.0,10.0,10.0,1605991594
Elinize sağlık herşey çok güzeldi ayrıyetten kurye arkadaşın kibarlığı için teşekkür ederiz :).,10.0,10.0,10.0,1605991594
Çok geç saate sipariş vermeme rağmen çok hızlı geldi. Malzemeleri gerçekten bol karnınız açsa cidden doyuruyor lezzeti inanılmaz güzel siparişi getiren kişi ve çalışanlar çok ilgili çok kibarlar normalde değerlendirme yapmaya üşenirim ama böyle işinin ehli insanlar kazansın isterim çok teşekkürler.,10.0,10.0,10.0,1605991594
Servisi ve porsiyonları çok iyi servisi ise çok hızlı.,10.0,10.0,10.0,1605905194
Mükemmel bi lezzet kesinlikle öneririm.,10.0,10.0,10.0,1605905194
Aci sevmeyen biri olarak keyifleyiyorum.,8.0,10.0,10.0,1605905194
Yediğim en güzel çiğ köfte diyebilirim.,10.0,10.0,10.0,1605732394
Güzeldi gerçekten sevdim.,10.0,10.0,10.0,1605732394
Şalgam cam şişe istedik plastik geldi.,8.0,7.0,8.0,1605645994
Siparişleri karıştırmanız haricinde herşey iyiydi.,10.0,5.0,10.0,1605645994
"Yoğunluktan dolayı geciktiği halde lezzetliydi, yan ürünler yeterli derecede vardı. Taze nane menüde yazdığı ben de özellikle istediğim halde gelmedi.",7.0,9.0,9.0,1605645994
Gayet güzel tek sorun nar ekşisi konusunda biraz fazla bonkörler.,10.0,10.0,9.0,1605645994
Daha önce bu kadar fazla yeşillik limon yollayan hiç görmemiştim. Hakkından fazlasıyla yollamışlar saolsunlar. Çigköfte de ortalamanın üstünde güzel bir çiğköfte. Bol kazançlar dilerim.,10.0,10.0,10.0,1605559594
Lezzetli.,10.0,10.0,10.0,1605559594
Süpersiniz.,10.0,10.0,10.0,1605559595
Turşu demiştim ama biber turşusu koymuşlar canları sağolsun malzemesi çok bol ve lezzetliydi.,10.0,9.0,10.0,1605559595
Yeşillikler biraz beklemiş cig koftede onceden sıkılmış gibi geldi tadi ve lezzetine malzemesinin yesilliginin bolluguna lavasina kadar diyecek birsey yok guzeldi ellerinize saglik.,8.0,9.0,9.0,1605559595
Gayet lezzetli.,10.0,10.0,10.0,1605559595
Hızlı geldi. Lezzetini beğendik ailecek. Teşekkürler.,10.0,10.0,9.0,1605559595
Abi yeşillik çok koyuyon inek miyim ben.,10.0,10.0,8.0,1605473195
Ortalama ustu.,10.0,7.0,7.0,1605473195
Haketan haaaaaarikaaaaaaaa.,10.0,10.0,10.0,1605473195
Ürünler gayet lezzetli ve hijyenik kuryenizde bi o kadar karizmatik.,10.0,10.0,10.0,1605386795
Lezzen dışında pek memnun olmadım. Siparişim yanlış geldi ve ekstra 20dk bekledim.,7.0,7.0,9.0,1605386795
"Lezzet, servis ve hizmet hepsi çok güzeldi her zamanki gibi. Kesinlikle en iyi çiğköfteci.",10.0,10.0,10.0,1605386795
Çok hızlı geldi özenerek hazırlanmış elinize sağlık bol kazançlar.,10.0,10.0,10.0,1605300395
Çiğköfteyi çok sevmezdim sayenizde bağımlısı oldum elinize sağlık muhteşem.,10.0,10.0,10.0,1605300395
Yanlış yerden sipariş verdim. Gerçekten de yanlış yermiş. Geç geldi ve sunum yoktu.,1.0,3.0,1.0,1605213995
Yıllardır yediğim markadan vazgeçtim 10 numarayı hak ediyor hayırlı işler.,10.0,10.0,10.0,1605213995
Ellerinize saglık ustam.,10.0,10.0,10.0,1605127595
10numaraaaa.,10.0,10.0,10.0,1605127595
Lezzet muhtesem ellerinize saglık.,10.0,10.0,10.0,1605041195
Avcıların en iyi çiğköftecisi.,8.0,8.0,8.0,1605041195
Super hizli ve cok lezzetli.,10.0,9.0,10.0,1605041195
Çiğ köfte güzel ama mega dürüm yerine standart 2 daha güzel :).,10.0,10.0,9.0,1604868395
Hızlı teslim ve hijyenik bir şekilde geldi. Lezzeti çok iyi herkese tavsiye ederim. Ve yazdığınız nota göre geliyor.,10.0,10.0,10.0,1604868395
Çiğköfte denilince avcılarda aklımıza gelen ilk mekan. Yine muhteşemdi.,10.0,10.0,10.0,1604868395
Eti nusretden dürümü şükrüden yiceksin.,10.0,10.0,10.0,1604781995
10 numara 5 yıldız.,10.0,10.0,10.0,1604781995
Avcılarda yediğim en güzel çiğköfte diyebilirim elinize sağlık iyi çalışmalar.,10.0,10.0,10.0,1604781995
Tadı çok güzel servisi çok iyi.,10.0,10.0,10.0,1604781995
Elinize sağlık çok şahaneydi ser hız lezzetti süper.,10.0,10.0,10.0,1604695595
Cok hizli cok lezzetli yapiyosun şu işi şükrü abi.,10.0,10.0,10.0,1604695595
En lezzetli çiğköfte! Bol malzeme bol lezzet...,10.0,10.0,10.0,1604695595
Elinize sağlık çok lezzetliydi.,10.0,10.0,10.0,1604609195
Ayran yerine turşu suyu göndermiştiniz.,6.0,2.0,10.0,1604609195
Son zamanlarda yediğim en lezzetli çiğköfte diyebilirim.,10.0,10.0,10.0,1604522795
Servis çok çabuk geldi bolluğu ve lezzeti çok güzeldi herkese tavsiye ederim.,10.0,10.0,10.0,1604522795
"Servis, hız, lezzet, mükemmelin ötesiydi. Sunumdaki özen de takdir edilesiydi. Notumu dikkate alıp, ardından memnuniyet için aramanıza mest olduk. 15 puan verebilsem, verirdim. Gerçekten teşekkür ederiz. Bundan böyle sizden başka çiğköfteci yalandır.",10.0,10.0,10.0,1604522795
Çiğ köfte yesem mi diye düşünürken sipariş verdim.. Verdiğime de değdi. Hem temiz hemde bol malzemesi ile doyurucuydu.. Çabuk gelmesi de benim için artı. Baska yer aramama gerek kalmadı. Teşekkürler hizmet için.,10.0,10.0,10.0,1604522795
