comment_text,comment_speed,comment_service,comment_taste,comment_time
Gayet iyi beğendik.,9.0,9.0,9.0,1606769791
Dürüm çok güzel o nasıl acı biber yaktı beni dudakları hissetmiyorum.,10.0,10.0,10.0,1606596991
Ellerinize sağlık teşekkür ederim.,9.0,9.0,8.0,1606510591
Gap durum mukemmel hiz cok iyi servis cok iyi ezme biraz daha iyi olmali harici cok iyi.,10.0,10.0,10.0,1606510591
Emek için teşekkürler ama neyse reis biraz daha dikkat edin be.,10.0,10.0,10.0,1606251391
Kuzu şiş dürüm yerine adana göndermek ne alaka anlamadım arayıp yok deseydin bari usta.,8.0,6.0,8.0,1606251391
Gelen künefenin içerisinde ki peynir erimemişti. Tamam biliyoruz siz künefeci değilsiniz ama bir işi yapıyorsanız hakkıyla yapın. Ayrıca soğuktu.,1.0,1.0,1.0,1606164991
Maydonozu biraz daha az koyarsanız sevinirim etten çok ot tadı geliyordu.,8.0,7.0,3.0,1606078591
Ellerinize sağlık yediğim en güzel kebap.,10.0,10.0,10.0,1605992191
Güzel.,10.0,10.0,10.0,1605905791
Ciğer kavurma dürüm efsaneydi elinize sağlık sıcak geldi üstelik.,10.0,10.0,10.0,1605905791
İmkansız dedik illaki bi sıkıntı buluruz dedik ama olmadı teşekkürler ellerinize saglık.,9.0,9.0,9.0,1605905791
İlk defa bu civarda yediğim bir dürümde mangal kokusu ve tadı geldi. Hiç beklemiyordum.,10.0,10.0,10.0,1605732991
Olumlu başarili.,10.0,10.0,10.0,1605387391
Beğendim tavsiye edilir ciğer durum guzel.,10.0,10.0,10.0,1605387391
Hızlı geldi dürümleri güzel.,10.0,10.0,10.0,1605214591
Her zamanki gibi harikaydı. Çok doyurucu.,10.0,10.0,10.0,1605214591
Soğandan geçilmiyor.,1.0,1.0,1.0,1605128191
Mükemmelldi elinize sağlık.,10.0,10.0,10.0,1605041791
İlk defa sipariş verdik gayet lezzetli tavsiye edilir. Gap dürüm güzel.,8.0,8.0,8.0,1604955391
"Abi bana ne yazacan merak ediyorum şahaneydi,.",10.0,10.0,10.0,1604782591
Adana söyledik içinde adana yok. Canımız soğan domates isteseydi evde yerdik. Dürümün içinde adanayı ararken kaybolduk. Lavaş desen otoban gibi 5 şeritliydi. Lavaş arası soğan domates yemek isteyenler için ideal.,6.0,6.0,3.0,1604782591
Adana 10ciger kavurma 7.,10.0,10.0,10.0,1604609791
"Ciğer dürüm gayet güzeldi, biraz yağı fazlaydı sadece. Siparişimiz sıcacık ve hızlı geldi.",10.0,8.0,8.0,1604609791
Çok güzeldi urfa dürümü.,10.0,10.0,10.0,1604350591
Böyle devam.,10.0,10.0,10.0,1604264191
Çok beğendim inşallah bozmazlar kendini.,10.0,10.0,10.0,1604177791
İlk siparisimdi teretutde kaldım ama aksine çok beğendim olumlu.,10.0,10.0,10.0,1604140045
"Adana dürüm söyledim. Şüphelerim vardı, lezzet ve sıcaklık harikaydı. Notları okuyorlar teşekkürler. Fiyatta gayet uygun.",10.0,10.0,10.0,1604140045
Gayet iyiydi.,10.0,10.0,10.0,1604140046
Adana dürümün içerisinde maalesef et yok gibiydi çok soğan vardı ekmeği kuruydu. Tavuk şiş dürüm söyledim oda tavugu çok kuruydu biraz daha tavugu kurutmamaya özen gösterirseniz sevinirim. Yanında biber tursusu ve sos gönderdiğiiz için teşekkürler onu çok sevdim.,3.0,6.0,3.0,1604140046
Çok beğendim dürumde taze soğan ayrı bi damak tadı vermiş elinize sağlık görüşmek üzere.,10.0,10.0,10.0,1604140046
Gerçekten çok doyurucu ve lezzetliydi. Teşekkür ederiz.,10.0,10.0,10.0,1604140046
"Bundan sonra sizdeyim çok beğendim durumu elinize sağlık kolay gelsin,.",10.0,10.0,10.0,1604140046
Gayet lezzetliyli ciger ama içinde maydanoz ve cigerden başka bişey yoktu domatesde olsaydı en azından o kadar kuru olmazdı. (sadece bir öneri) buna rağmen puan k��rmadım ellerinize sağlık.,10.0,10.0,10.0,1604140046
Nohut durumunu gorunce tavan yaptim ya ben hayatimda hic nohut durumu yemedim bi antepli olarak yada siz nohut durumunun ne oldugunu bilmiyorsunuz bildigin normal suda haslanip ezip pidenin icine koymusunuz hayaller ve gercekler oldu :(((((.,10.0,5.0,1.0,1604140046
Gayet başarili.,10.0,10.0,10.0,1604140046
Lezzetli ve hijyen kurallarına uygun biçimde servis edilmiş oldukça hızlı sürede geldi sunum cidden şahaneydi.,10.0,10.0,10.0,1604140046
Ciğer durum efsane.,10.0,10.0,10.0,1604140046
Kebap yediğimi fark ettim.,10.0,10.0,10.0,1604140046
