comment_text,comment_speed,comment_service,comment_taste,comment_time
Büyük boy pizza istedik geldi fakat küçük boy isteseydik galiba simit kadar bir pizza gelecekti teşekkür ederim.,7.0,7.0,6.0,1606765805
Malzemesi boldu ve lezzetliydi teşekkür ederim.,10.0,10.0,10.0,1606765805
Lezzetliydi teşekkütler.,10.0,10.0,10.0,1606765805
Kaliteli bir pizzanın tek adresi.,10.0,10.0,10.0,1606765805
Üzerinde ananas kırıntıları vardı. Kocaman jambon dilimleriyle göz boyamışsınız yalnızca ama jambon da kalitesizdi. Parasını hak etmiyor maalesef.,6.0,1.0,1.0,1606679405
Guzel bır pızza yedık.,10.0,10.0,10.0,1606420205
Gorunumu lezzeti superdi.,10.0,10.0,10.0,1606333805
Harikasınız teşekkür ederim sıcak ve lezzetliydi birdahaki sefere görüşmek üzere.,10.0,10.0,10.0,1606247405
Çok güzeldi ellerinize sağlık kaliteli malzeme ve hızlı teslimat.,10.0,10.0,10.0,1606247405
Ellerinize sağlık kaliteli malzemelerle güzel bir. Pizza. Yedik.,10.0,10.0,10.0,1606247405
Böyle bir tat yok ustanın ellerine sağlık kuryenizde güler yüzlü ve sıcacık getirdi tşk ler.,10.0,10.0,10.0,1606161005
Harika.,10.0,10.0,10.0,1606161005
Kusura bakmayın ama gerçekten birşeyleri özellikle hamuru düzeltmeniz lazım..,10.0,7.0,4.0,1605988205
Eskiden arondan pizza soylemek icin hemen gece olsun isterdim oyle guzel oyle kaliteliydi istanbulun en iyisiydi sonra el degistirmis ve gordum ki dominos bile daha lezzetli cok uzuldum pizza hamuru bile degismis inanilmaz lezzetsiz olmus gec ve soguk geliyor servis desen yok umarim eskisi gibi olur.,1.0,1.0,2.0,1605469805
