comment_text,comment_speed,comment_service,comment_taste,comment_time
"Pizza güzeldi, malzemesi de gayet uygun. Bence hamuru biraz daha iyi pişebilir ve daha ince açılabilir.",9.0,8.0,8.0,1606605906
"Çok çok hızlı kesinlikle serviste ıslak mendil filan yetersiz, baharat yok tadı da güzeldi.",10.0,8.0,8.0,1606605906
"İyiydi valla, sevdim.",10.0,10.0,10.0,1606433106
Çok hızlı ve çok lezzetli.,10.0,10.0,10.0,1606433106
Sipariş vermemle kapının çalması bir oldu. Rota pizzadan evim 15 dakika zaten. Siparişte 15 dk da geldi :)) aşırı hızlı geldi ve lezzeti yine harikaydı. Harikasınız.,10.0,10.0,10.0,1606433106
Abi 10 dakikada nasıl getirebildiniz cok merak ettim valla.,10.0,10.0,10.0,1606346706
Hayatımda yediğim en kötü pizzaydı.,1.0,1.0,1.0,1606346706
Kesinlikle öneriyorum pişman olmicaksınız.,10.0,10.0,10.0,1606260306
Hız ve servis çok iyi ama tadı hazır pizzaya benziyor biraz.,9.0,10.0,5.0,1606260306
Hamuru bir tık incelmeli onun dışında başarılı elinize sağlık.,9.0,9.0,8.0,1606173906
Teşekkürler.,10.0,10.0,10.0,1606173906
Çok lezzetsiz.,9.0,9.0,2.0,1606173906
16 dk da geldi harika.,10.0,10.0,8.0,1606087506
Big boss vazgeçlmez.,9.0,9.0,10.0,1606001106
Her canım pizza istediğinde almak idtediğim lezzet tam olarak bu.,10.0,10.0,10.0,1606001106
Mükemmeldi yine.,10.0,10.0,10.0,1606001106
Çok hızle ve lezzetli.,10.0,10.0,10.0,1606001106
Min getirme fiyatı çok yükselmiş.,1.0,1.0,1.0,1605914706
Pizza paketi sırılsıklam geldi servis inanılmaz kötü lezzet idare eder.,4.0,1.0,4.0,1605914706
Ustam ellerıne saglık mükemmeldi pizzada tek adres kurye arkadasada teşekkürler.,10.0,10.0,10.0,1605914706
11 diye bi puan olsa hıza 11 veririm.,10.0,10.0,10.0,1605914706
10/10.,10.0,10.0,10.0,1605828306
Yağmur olmasına rağmem aşırı hızlı geldi. Malzemeden kaçmamışlar bol bol koymuşlar çook teşekkür ederim çok lezzetliydi. Kuryedeki abiye de çok teşekkür ederim güler yüzlü çok iyi bir insandı.,10.0,10.0,10.0,1605828306
Dün 15 dk da pizzam geldi 16. Dakikada yiyiyordum. Böyle hız ve lezzet yok. Bugün memlekete dönüyorum en çok rota pizzayı özleyeceğim. Tokum diye bugün de sufle söyledim. O da güzeldi. 10/10.,10.0,10.0,10.0,1605828306
Daha bol malzeme koyulabilir.,8.0,8.0,8.0,1605741906
Mükemmeldi lezzet ve servis çok güzel.,10.0,10.0,10.0,1605741906
Superdi.,10.0,10.0,10.0,1605741906
Oldukça lezzetli sicak ve hizli :).,10.0,10.0,10.0,1605741906
Geliştirilmeli.,10.0,10.0,8.0,1605741906
Elinize sağlık.,10.0,10.0,10.0,1605569106
Mantarlar bana biraz diri geldi ama onun dışında harika bir işletme ve kuryeniz çok güler yüzlüydü. Ellerinize sağlık.,10.0,10.0,10.0,1605569107
Her geldiğinde heyecanla kutu açılışı yapıp vaaoov diyoruz.,10.0,10.0,10.0,1605482707
Çikolatalı sufle degilde sıcak puding gibiydi çok ince kenarıydı pizza hamuru çıtır olduğu için yiyemedigimiz kısımlar oldu tabi çok hızlıydı bi siparişi verdik iptal etmek için iletişime geçtiğimizde paket yola çıkmak için hazırlandı dendi denilenin üstünden 15 dakika kadar geçtiğinde teslim aldık.,10.0,7.0,6.0,1605482707
Sufle başarılı her seferinde sıcak geliyo teşekkürler.,10.0,10.0,10.0,1605482707
Gayet lezzetliydi.,10.0,10.0,10.0,1605396307
Herşey güzel.,10.0,10.0,10.0,1605309907
Pizza dediğin böyle olur.,10.0,10.0,10.0,1605309907
Kavurmalı pizza başarılı 10.,10.0,10.0,10.0,1605309907
Margherita çok güzeldi. Teslimatçı çok tatlı birisi.,10.0,10.0,10.0,1605309907
Paketci on numara adam diksiyon süper :)).,9.0,9.0,9.0,1605223507
10/10 eksiksiz :))).,10.0,10.0,10.0,1605223507
Ellerinize sağlık...,10.0,10.0,10.0,1605223507
"Pizzanın fazla sert ve ketçap sosunun neredeyse olmaması dışında problem yok, iyi çalışmalar.",10.0,10.0,5.0,1605223507
"Kutunun ve içinde pizzadan başka hiçbir şey gelmedi. Pizza baharatı, ıslak mendil falan koysanız iyi olur.",9.0,4.0,9.0,1605223507
Çok güzel çokkk ellerinize sağlık.,10.0,10.0,10.0,1605223507
Hem doyurucu çok güzel bir pizza hemde fiyatı bütün pizzacilardan uygun 10 numara bir yer.,10.0,10.0,10.0,1605223507
Superrrr.,10.0,10.0,10.0,1605223507
Pizza baharatı koyulmamıştı mantar ve biberler yanıktı hamur çok pişmiş oldugundan kurumuştu sucuk da kuruydu.,1.0,1.0,1.0,1605137107
Yapıyonuz bu sporu.,10.0,10.0,10.0,1605137107
Güzeldi 3 büyük boy pizzaya daha fazla ketçap mayonez olabilirdi.,10.0,7.0,9.0,1605050707
Elinize saglık ama magzeme ler biraz pişse daha iyi olur.,10.0,10.0,10.0,1605050707
Her şey güzeldi beğendim sadece pizza baharatı da olsa daha güzel olurdu :).,9.0,9.0,9.0,1604964307
Her zamanki gibi :).,10.0,10.0,10.0,1604964307
Yediğim en iyi pizzalardan.,10.0,10.0,8.0,1604964307
Çok hızlı geldi. Ama abartildigi kadar iyi pizza değil. Fiyatına gore makul.,10.0,8.0,8.0,1604964307
Ellerine sağlık güzel olmuş.,10.0,10.0,10.0,1604877907
Harika bir lezzet.,10.0,10.0,10.0,1604877907
Çok güzel ve sıcaktı teşekkürler.,10.0,10.0,10.0,1604877907
Pizza baharatı bi size üretilmiyor sanki tek sizin fabrikada var saygısız saygısız cevap veriyorsunuz bir de. Kendiniz bile karışım yapabilirsiniz baharatları alıp. Özensiz servis. Malzemeler de kalitesiz...,10.0,1.0,1.0,1604877907
Lezzet küpüm pizza söyledik sucuğun tadı kötüydü hiç de kasap sucuğu falan değildi. Peynirin tadı yoktu. Çok yağlıydı ve yağının tadı da kötüydü. Neyse ki hızı fena değildi.,8.0,7.0,3.0,1604877907
10/10 kusursuz. :)).,10.0,10.0,10.0,1604877907
10. 10. 10.,10.0,10.0,10.0,1604877907
"Güzel, hızlı, lezzetli.",10.0,9.0,9.0,1604791507
Daire numarasını o gün yanlış girmişim kuryeci arkadaştan özür dilerim tekrardan. Pizza benim yüzümden biraz soğuktu ama tadı lezzetliydi daha erken yiyebilseydim eminim tadı daha güzeldir emeğinize sağlık.,10.0,10.0,10.0,1604791507
Çok hızlı bir şekilde geldi. Malzemesi boldu ve güzeldi.,10.0,10.0,10.0,1604791507
Tek kelime ile muhteşemdi cok teşekkür ediyoruz.,10.0,10.0,10.0,1604791507
Harikaydı.,10.0,10.0,10.0,1604705107
Güzel beğendim ama orta boy pizzayla doymadım büyük pizzalar da pahalı olduğu için söyleyemedim.,10.0,10.0,10.0,1604618707
15 dakikada kapımda olması harikasiniz.,10.0,10.0,10.0,1604618707
"Hız ve servis açısından gayet iyidir, ama maalesef gerçekten lezzeti açısından büyük hayal kırıklığı yaşadım, kalitesi böyle devam ederse kesinlikle bir daha sipariş vermem.",8.0,9.0,3.0,1604618707
Güzel ama hamurun mayasındanmıdır nedir midem ekşidi mayalanma süresine dikkat edilmeli hamurların.,10.0,10.0,10.0,1604618707
Yine super herzamanki gibt.,10.0,10.0,10.0,1604532307
Fiyat performans çok iyi.,9.0,9.0,9.0,1604532307
Pizza gayet iyiydi. Zamanında da geldi. Ama sipariş verirken notlar kısmında açıkça fiş istememe rağmen kuryeniz online ödemede fiş vermediklerini söyledi. Kuryenize de soyledigim gibi sadece siz vermediniz su ana kadar. Yine de elinize sağlık.,10.0,1.0,10.0,1604532307
"15 dakikada teslimat gerçekleştirildi ancak meksikano pizzanın acısı yetersizdi ayrıca büyük boy pizzalar fiyat performans oldukça doyurucu, teşekkürler.",10.0,9.0,8.0,1604532307
Ekmeği az daha ince olursa tadından yenilmez.,10.0,10.0,10.0,1604532307
Kesinlikle mükemmel.,10.0,10.0,10.0,1604532307
Ekstra karışık söylediğim için malzemesi gayet yeterliydi fakat hamurunuz hazır pizza hissi veriyordu. Fiyat performans olarak iyi.,10.0,7.0,7.0,1604445907
Büyük boy 2 kişı tıka basa olmasa da doyar. Gayet lezzetliydi ekstra bir sey kattırmadığım halde malzemeeti boldu. Tavsiye ederim fiyatının hakkını veriyor.,9.0,10.0,9.0,1604445907
Pizza baharatsız pizza mı olur?,10.0,1.0,7.0,1604445907
Çok hızlı geldi notlara dikkat ediliyor ve çok lezzetli.,10.0,10.0,10.0,1604445907
Bu seferki getirmis oldugunuz pizzanin alti yanikti biraz daha dikkat edin lutfen.,10.0,7.0,7.0,1604445907
Bu fiyata bu malzeme bu lezzet..,10.0,10.0,10.0,1604359507
Efffsaanneee.,10.0,10.0,10.0,1604359507
"Tad alamadım, pizza baharatı yok, zeytin istemiyorum dedim zeytin ayikladim, hız güzel sınıfta kaldı.",8.0,4.0,4.0,1604359507
Biraz soğumuştu.,10.0,10.0,8.0,1604359507
Geliştirilmeli.,1.0,1.0,1.0,1604273107
Harika.,10.0,10.0,10.0,1604273107
Mükemmeldi.,10.0,10.0,10.0,1604273107
Lezzetin kesinlikle çok gelişmesi gerekli. Hız ve servis oldukça iyi. Kurye arkadaş kibar ve güleryüzlü.,9.0,9.0,4.0,1604273107
Kurye çok kibar. Hız muhteşem. Lezzete 7 vermeyi düşünüyordum ama cidden içim el vermedi. Eğer et ürünlerinin kalitesini arttirirsaniz makul fiyat artışı ile marka olur yürür gidersiniz. Emeklerinize sağlık.,10.0,10.0,9.0,1604186708
Muazzam.,10.0,10.0,10.0,1604186708
Yanında pizza baharatı da gelse iyi olurdu.,9.0,6.0,10.0,1604186708
Standart kaliteli pizzaydi.,9.0,9.0,9.0,1604186708
Çok lezzetliydi ve inanılmaz hızlıydı.,10.0,10.0,10.0,1604100308
Mükkemmell.,10.0,10.0,10.0,1604100308
Pizzanın malzeme olmayan bir yeri bile yoktu efsane pizza yapıyorlar.,10.0,10.0,10.0,1604013908
O kurye neydi öyle ya lütfen hep onu gönderinnn.,10.0,10.0,10.0,1604013908
Kavurmalı güzeldi.,10.0,10.0,10.0,1604013908
"Servis hızı olsun, lezzeti olsun herşey çok iyiydi. Kötü yorum yapanlar neye göre yapıyor bilmiyorum gerçekten.",10.0,10.0,10.0,1603976162
Her şey müthiş yalnız öğrenci olarak düşüncem biraz daha ucuz olsa sürekli yenilebilir.,10.0,10.0,10.0,1603976162
"Çok hızlı servis, güler yüzlü hizmet, tadı damakta kalan pizza lezzeti, teşekkürler rota pizza.",10.0,10.0,10.0,1603976162
Yeni keşfettim bundan sonra pizzada tek adresim ustamın eline saglık kurye arkadasada teşekkürler.,10.0,10.0,10.0,1603976162
Güzel ve hızlı 15 dk da geldi.,10.0,10.0,10.0,1603976162
