comment_text,comment_speed,comment_service,comment_taste,comment_time
Siparişim belirttikleri max süreden 15 dakika geç geldi tekrar beklemek istemediğim için sipariş iptaline gitmedim. Ama iyi ki gitmemişim et döneri gerçekten çok lezzetliydi. Dürümlerin içi fiyata göre doluydu.,1.0,6.0,9.0,1606599112
Kuryeniz maske takmıyor bir daha sipariş vermem.,1.0,1.0,7.0,1606512712
Lahmacun ve mezeler efsane joker olmasına rağmen çok iyi ve doyurucu.,10.0,10.0,10.0,1606426312
Bi çorbaya 1 ekmek yollamak olmaz lütfen bunlar dikat ediniz.,7.0,1.0,1.0,1606426312
Çok lezzetliydi bayıldık.,10.0,10.0,10.0,1606426312
Beğenmedik özensizdi.,1.0,1.0,1.0,1606426312
Güzeldi.,10.0,10.0,10.0,1606339912
Yine yeniden mükemmel lezzet mükemmel servis teşekkürler.,10.0,10.0,10.0,1606253512
Hayatımda yediğim en güzel adana kebaptı tek sıkıntısı lavaşın parçalanmasıydı ama asla bundan puan kıramam muhteşem bir adana kebap herkes yemeli.,10.0,10.0,10.0,1606253512
Dürümü soğansız istediğim hlde soğan koymuşlar.,6.0,7.0,1.0,1606167112
2kere siparis verdim ikisindede durum 2ye bolunmus geldi corba dokulmus geldi birdaha asla siparis vermem tavsiyede etmiyorum.,6.0,1.0,1.0,1606080712
Herşey güzel ama lavaşlar kötüydü..,10.0,10.0,9.0,1605994312
Başarılı.,10.0,10.0,10.0,1605994312
Ellerine sağlık çok güzeldi herşey ve çok kibar çalışanlarınız teşekkürler.,10.0,10.0,10.0,1605994312
On numara lezzet.,10.0,10.0,10.0,1605994312
Siz en iyilerden birisiniz.,10.0,10.0,10.0,1605907912
"Lavaş taze değildi, küflenmiş şekilde gönerildi!",10.0,1.0,1.0,1605821512
Mükemmel di çorba başka yerden içilmez.,10.0,10.0,10.0,1605821512
İdare eder.,9.0,9.0,9.0,1605821512
Her şey çok güzeldi lezzetliydi ve ikramları boldu zaten çok yakında oturuyoruz ve sürekli geceleri oraya yemeğe gidiyoruz gayet güler yüzlü ve hijyene dikkat eden bir işletme başarılarınızın devamını dilerim.,10.0,10.0,10.0,1605821512
Dürüm inanılmaz bir şekilde bayattı. 10 parçaya ayrılmıştı.,6.0,1.0,1.0,1605821512
Cok az lavas koymussunuz.,10.0,3.0,10.0,1605735112
Lezzet ve hız yine mükemmel notumuda dikkate almışlar aşırı memnun kaldık.,10.0,10.0,10.0,1605648712
"Notlarıı okuyolar, harikasınız sıcak ve kısa sürede geldi, kabak tatlısının porsiyonu baya büyüktü, ince kesim yaparsanız daha güzel olabilir, birde tahini üstüne koymak yerine yanına bir kaba koysanız daha iyii çünkü tahin sevmeyen olabilir.. Benim gibi..",10.0,10.0,10.0,1605648712
Herşey güzel hızlısınız da bi önce ki siparişim 10 dakika da elimdeydi bu 15 dk sıcak çorba ve bol mezeli teşekkürler tek eksiğiniz çorbanın yanında gönderdiğiniz pide ekmeğini ısıtmanız lazım o ekmek sıcakken daha bir lezzettli.,10.0,10.0,10.0,1605648712
