comment_text,comment_speed,comment_service,comment_taste,comment_time
Güzeldi.,9.0,9.0,9.0,1606629757
"Daha çok yufka yemiş gibi hissettim, yaninda gelen domates ve salatalikta sapı cöpü ayrilsa iyiymis.",8.0,8.0,7.0,1606111357
"Nokulu, ıspartada yediğim en iyi nokul.",10.0,10.0,10.0,1606111357
Sigara böreği pek iyi değildi ama gözleme çok iyi. Pastanenizi beğendim. Ekler harika.,10.0,10.0,10.0,1605765757
Kahvaltılıklar çok taze teşekkürler.,10.0,10.0,10.0,1605506557
Kaşarlı gözlemeye nutella bulaşmış baya.,7.0,7.0,7.0,1598740519
Hızlı servis.,10.0,10.0,10.0,1596110773
Güzel.,8.0,8.0,8.0,1596110773
Daha önce de sipariş vermiştim o zaman gayet güzeldi.. Bu siparişimde pastanın kreması ekşimişti.. Pandispanyasj hariç hepsinin kreması ve üst çıkolatası bayatlamıştı.,5.0,5.0,1.0,1596110773
Süper.,10.0,10.0,10.0,1596110773
İyiydi.,10.0,10.0,10.0,1596110773
Lezzetli sicak gozelemeler geldi begendik.,9.0,9.0,9.0,1593481027
Güzel gibi.,10.0,10.0,10.0,1593481027
Siparişim geç geldi sigara börekleri resmen erimisti.,1.0,1.0,1.0,1593481027
Gözleme ye bı gram yağ yok taşsız tuzsuz yavandi diğer puanlarda nokul ve simit için nokulu çok lezzetli buldum tşkler.,8.0,9.0,7.0,1593481027
Gayet güzeldi. Hızlı geldi.,10.0,6.0,8.0,1593481027
Isıtıp getiriyodunuz soğuk geldiii ama lezzetliydi.,10.0,10.0,10.0,1593481027
Hiç memnun kalmadım. Belirtmek istediğim bir kaç şey var. Domatesli peynirli ve kaşarlı sucuklu gözleme sipariş ettim patatesli ve kaşarlı gözleme geldi. Üstüne bu ürünler arasında fiyat farkı var. Poğaça söyledim oda gelmedi. Üstüne kapıda pos bozuk nakit ödeyebilirmisiniz dediler. 50 60 dkda geldi.,5.0,7.0,7.0,1593481027
Servis tabakları değişse çok daha iyi olur çünkü sıcak olduğu için kömüğü eritiyor oda yediğimiz ürüne yapışıyor bu da çok sağlıksız. Daha iyi bir servis tabağı seçerlerse çok daha iyi olur.,9.0,4.0,7.0,1593481027
Hız da gözleme de güzeldi elinize sağlık.,9.0,9.0,9.0,1593481027
Gözleme gayet güzeldi.,10.0,10.0,9.0,1593481027
