comment_text,comment_speed,comment_service,comment_taste,comment_time
Harikaydı.,10.0,10.0,10.0,1606356422
Hayatımda yediğim en güzel çiğ tavuktu.,1.0,1.0,1.0,1606356422
Valla doyduk ellerinize kollarınıza sağlık paketi getiren arkadaş çok hızlı ve efendi. Ayrıca ikram için teşekkür ederiz.,10.0,10.0,10.0,1606270022
Çok hızlı ve sıcak geldi memnun kaldım rahatlıkla sipariş verebilirsiniz.,10.0,10.0,10.0,1606270022
Yanına koyduğunuz biberler keşke ayrı bir poşette olsaydı hijyen sıkıntı. Ekmek ıslaktı.,10.0,6.0,9.0,1606183622
İskenderi efsane :).,10.0,10.0,10.0,1606097222
Gayet güzel yapmışsınız beğendim yanında ki meze de güzel di biber de.,9.0,9.0,9.0,1606097222
"Aydında yediğim tavuk dönerlerden hiç memnun kalmayan birisi olarak büyük bir tereddütle söylemiştim. Bilirsiniz, ya deri çıkar ya içi yağ doludur ya da tavuk kokuyordur vs buranın dönerinde hiçbirini yaşamadım, üstelik yanında haydari ve acılı ezme koyulmuştu gayet iyiydi. Tavsiye ederim.",10.0,10.0,10.0,1606097222
Ellerinize sağlık güzeldi.. Özellikle paketi getiren arkadaş gerçekten de 10 numara. Onun dışında tek kötü olan dürümün sarıldığı o kağıdın tuhaf kokusu dürüme sinmiş olması nacizane bir tavsiye diğerleri gibi dürüm poşeti kullanabilirsiniz. Tabiki de benimki basit bir fikir.,10.0,10.0,10.0,1605838022
İlk defa yedim gerçekten çok iyi dürümü kebap dürümü 10 numara.,7.0,8.0,9.0,1605751622
Gobit ekmek güzel yumuşak hoş ama ekmekten etin tadı gelmiyordu yine de güzel.,10.0,10.0,8.0,1605665222
Hızli gelldi.,9.0,9.0,9.0,1605492422
Servis elemanin kibarligi gobit donerin guzelligi. Ve ustelik dusunceli davranip ikraminiz icinde cok tesekkur ederiz. D.,10.0,10.0,10.0,1605319622
Et döner dürüm çok güzeldi.,10.0,10.0,10.0,1605319622
Soğanınız aşırı fazla etiniz az tersi olursa çok daha güzel olur.,9.0,9.0,6.0,1604887622
Tavuk döneri gayet güzel aydındaki hatay dönercilerden bıkmıştım.,10.0,10.0,10.0,1604714822
Very nice.,10.0,10.0,10.0,1604628422
Lezzetli bir et dürümdü f/p fazla hocam 15 değmez.,10.0,10.0,10.0,1604542022
Herşeyiyle on numara hizmet.,10.0,10.0,10.0,1604455622
"Tavuk sis porsiyon iyi, adana urfa cok doyurucu degil, tavuk döner baya lezzetli.",8.0,10.0,9.0,1604455622
Gayet hızlı geldi lezzeti yerindeydi.,10.0,10.0,9.0,1604369222
Hızlı teslimat tadı fena değil.,9.0,8.0,8.0,1604369222
Normal bir tavuk döner.,10.0,10.0,9.0,1604196422
Çok güzeldibol bol yeniiiir :).,10.0,9.0,9.0,1603985876
Tadı güzel.,8.0,9.0,10.0,1603985876
Çok hızlı geldi. Kuyruk yağı oranı azaltılırsa bence daha lezzetli olur. Et tadının önüne geçmiş yağın tadı.,10.0,10.0,8.0,1603985876
Sadece öneri olarak belirtmek isterim. Yeşillik olarak roka yerine marul kullanabilirsiniz. Genel olarak lezzetliydi.,8.0,10.0,9.0,1603985876
İskender lezzetliydi elinize sağlık.,10.0,9.0,10.0,1603985876
Hız servis 10 numara gönderdikleri salatalarına bayıldık ücretsiz olmasına rağmen çoğu parayla satılan salatadan daha kaliteliydi ve kurye dostumuz çok pozitif bir insandı tek şey iskender döner söylemiştik ancak iskender kebap gibi geldi ürün bize ama tadı yine de güzeldi.,10.0,10.0,10.0,1603985876
Çok hızlı ve lezzetliydi. Teşekkür ederim.,10.0,10.0,10.0,1603985876
İskender efsaneee.,10.0,10.0,10.0,1603985876
Guzeldi tesekkurler.,10.0,10.0,10.0,1601356130
Çay içer miyiz?,10.0,10.0,10.0,1601356130
Beğenerek yiyoruz.,10.0,10.0,10.0,1601356130
Ailece beğendik.,10.0,10.0,10.0,1601356130
Hızlı ve lezzetliydi.,10.0,10.0,10.0,1601356130
Hem çok hızlı geldi hem ucuz hem de her yerde bulamayacanız bir tat elinize sağlık.,10.0,10.0,10.0,1601356130
Tavuk dönerin içinde bolca yağ deri ve 2 parça kemik vardı.,1.0,1.0,1.0,1601356130
"Kurye ilgili, hızlı. Döner lezzetli. Tek sıkıntı paket kağıdı. Tuhaf bi kokusu var..",10.0,10.0,10.0,1601356130
Maalesef bir daha burdan yemek siparişi vermemızı orta hız. Servis şekli düşük. Etleri berbat çok kötü yarısından çoğu yağ idi. Yağ olur biraz lezzet verir. Hepsi yağ idi ve en kötüsü etleri kokuyor. Tavsiye edilecek bir yer değil. Tavukları orta çok iyi değil.,8.0,5.0,1.0,1601356130
Vodafone menüsü söylemiştim ayran gelmedi ama onun yerine ezme vardı.,9.0,7.0,7.0,1601356130
2 gündür söylüyorum süper ve uygun fiyatta.,10.0,10.0,10.0,1601356130
Biraz daha iyi olabilir tavuk hızlı ve doyurucuydu.,10.0,10.0,8.0,1601356130
Gerek ustası gerek kuryesi gerek diğer çalışanları gayet güleryüzlü ve nazikler yemekler aşırı lezzetli insan et yediğini hissediyor. Teşekkürler no10 ailesi :).,10.0,10.0,10.0,1601356130
Çok geç geldi adresi bulamadı kurye.,1.0,2.0,5.0,1601356130
Gayet başarılı.,10.0,10.0,10.0,1601356130
Serviste sınır yok çok güzel lezzet.,10.0,10.0,10.0,1601356130
Teşekürler.,10.0,10.0,10.0,1601356130
Ellerinize sağlık çok lezzetliydi.,10.0,10.0,10.0,1601356130
Paket oldukça hızlı geldi. Odun ateşinde olması ayrı tat katmış.,10.0,10.0,10.0,1601356130
