comment_text,comment_speed,comment_service,comment_taste,comment_time
Nice.,10.0,9.0,10.0,1606599459
Pandemide en guvendigim yer oldu.,10.0,10.0,10.0,1606426659
Tantuni söyledim dürüm söylememe rağmen ekmek geldi içindekinin et olup olmadığı tartışılırdı...,8.0,5.0,1.0,1606081059
Neredeyse her gün sipariş veriyorum. Online ödeme yaptım diye lobiye bırakıp gitmişler. Haber eden kimse yok. Bir daha sipariş vermeyeceğim.,1.0,1.0,1.0,1605821859
Önceki siparişim de daha iyiydi ona güvenerek tekrar sipariş verdim patates kızarması çok kötüydü soğumuş tekrar ısıtılmış gibiydi lütfen patates kızartması gibi kolay hazırlanan yicekleti siparişe göre yapın ben beklerim. Onun dışında tantuni de ilk siparişime göre tadı kötüydü ama açtım ve yedim.,10.0,9.0,4.0,1605821859
Herşey mükemmel ellerinize saglik.,10.0,10.0,10.0,1605735459
Özellikle maydonozsuz diye notta 2 kez belirttiğim halde 2 adet tantuniyi de inatla maydonozlu göndermek nedir anlamıyorum cidden! Ufacık bir siparişi doğru göndermek bu kadar zor olmasa gerek! Normalde restorana gidip yediğimde beğendiğim bir işletme ama paket servisi yıllardır kötü malesef.,1.0,1.0,1.0,1605130659
Lezzetli sıcak geldi doyurucu porsiyonlar. Memnun kaldık.,10.0,10.0,10.0,1604871459
Tavuk tantunisi cok güzeldi fakat lahmacunu maalesef yiyemedim :(.,8.0,9.0,5.0,1604698659
Çok iyiydi gerçekten.,10.0,10.0,10.0,1604439459
Çok geç geldi ve lahmacun istedim içinde ne yeşillik var ne limon. Yoğurtlu tantuni istedim o kadar geç geldik yoğurt kurumuş artık. Bundan dolayı lezzeti de beğenmedim zaten yiyemedim. Gelen ürünün içerisine 4 tane kürdan 5 tane tuz koyacağınıza limon ve yeşillik koyun lütfen.,1.0,1.0,1.0,1604180259
Lezzet hız servis hepsi istediğimizi üstündeydi alanya da tantuni burda yenir.,10.0,10.0,10.0,1603969713
Lezzetli ve hizli servis icin tesekkurler.,10.0,10.0,10.0,1603969713
Başarılı.,10.0,10.0,10.0,1603969713
Bir daha sipariş vermem.,1.0,1.0,1.0,1603969713
Yediğim en güzel pirzola menülerinden elinize sağlık hayırlı kazançlar bol bereketler.,10.0,10.0,10.0,1603969713
Herşey için teşekkürler hem lezzetli hem doyurucu hemde uygun fiyatlı. Herkese tavsiye ederim.,10.0,10.0,10.0,1603969713
Süperdi.,9.0,9.0,9.0,1603969713
Lezzeti yerinde.,8.0,8.0,8.0,1603969713
Lahmacun servisi mükemmeldi herşey konulmuş.,5.0,10.0,8.0,1603969713
Hersey cok guzeldi lezzet olarak hiz olarak servis olarak ama yanlis anlamayin bende bir isletmeciyim bi tık porsiyonlar arttirilabilir cok degil bi tık. Daha dolgun olmalı benim gorusum yinede herseyden 10 puan verdim bundan dolayi puan kiracak degilim. Elinize saglik kolay gelsin iyi calismalar.,10.0,10.0,10.0,1603969713
"Servis, lezzet ve hızı süper. Tavsiye ederim.",10.0,10.0,10.0,1603969713
Adana durum harika.,10.0,10.0,10.0,1603969713
Daha hızlı olmalılar.,7.0,7.0,8.0,1603969713
Tantuni dürümün kağıdının altına yağının akacağı bir poşet koyarsanız servis ortalamasını yükseltebilirsiniz.,8.0,7.0,8.0,1603969713
Daha hızlı olmaları gerek.,7.0,7.0,8.0,1601339967
Berbat...,7.0,1.0,1.0,1601339967
Eskiden daha hızlı geliyordu.,6.0,7.0,8.0,1601339967
Güzeldi.,10.0,10.0,10.0,1601339967
Lezzetli.,10.0,10.0,10.0,1601339967
