comment_text,comment_speed,comment_service,comment_taste,comment_time
İlk denememdi ama beklediğimden daha da güzeldi çok da lezzetli ve doyurucuydu ellerinize sağlık.,10.0,10.0,10.0,1606689163
"Fiyat biraz daha düşük olabilir, malzeme biraz daha bol olabilir.",8.0,8.0,9.0,1606689163
Hızlı servis güzel lezzet herkese tavsiye ederim.,10.0,10.0,10.0,1606689163
Siparişi girdiğim adrese değilde diğer kayıtlı adresime götürmüşler. Siparişte doğru adres görünmesine rağmen kurye arkadaşın elindeki kğıtta yanlış yazıyordu. Bu onunda elinde olan birşey degildi. Restornt mı sistemsel mi neden öyle oldu bilmiyorum. Dikkat edilmeli. Onun dışında memnun kaldım.,10.0,10.0,10.0,1606689163
Rezalet.,1.0,1.0,1.0,1606689163
Malesef eski dominos yok artık. Patates olması gerekirken eksikti 1 menumuzde. Fiyat performans malesef birbirini tutmuyor.,8.0,6.0,6.0,1606516363
İyidi.,8.0,8.0,8.0,1606429963
Çok güzel muhteşem.,10.0,10.0,10.0,1606429963
Hızlı ve lezzetli.,10.0,10.0,10.0,1606429963
Siparisim teslim edilmedigi icin restorana gidip 40 dakika gecikmeli olarak kendim aldim.,1.0,1.0,9.0,1606343563
Keşke biraz üzerinde malzeme olsaydı.,9.0,9.0,6.0,1606343563
Çok hızlı.,10.0,10.0,10.0,1606343563
Çok geldi pos getirmedi.,1.0,1.0,1.0,1606343563
Gayet başarılı. Genel sorun olarak tekrardan ketçap mayonez eklenmeli.,10.0,7.0,10.0,1606343563
Hızlı ve lezzetli.,10.0,10.0,10.0,1606343563
Mükemmel.,10.0,10.0,10.0,1606343563
İyi gunler oncelikle misirlar cigdi pizzanin icine istemedigimiz her seyi koymuslar lezzeti hic yoktu soguk geldi.,4.0,4.0,1.0,1606170763
"Hardallı pizza yedik sanki, fiyaskoydu. Tavuklar buz gibi ve kendinden geçmişti, her şey buz gibiydi. Tek kelime ile para israfıydı.",1.0,1.0,1.0,1606084363
Cok kotu.,1.0,1.0,1.0,1605997963
Sarımsak sosunda yağ oranı fazla idi. Kutuların altından yağ çıkmış. Onun dışında herşey çok güzel olmuş.,9.0,9.0,6.0,1605997963
Çok uzun sürdü elime ulaşması. Geldiğinde pizzalar buz gibiydi. Üstelik evime 500 metre olmasına rağmen. Memnun kalmadım.,4.0,3.0,4.0,1605997963
Normal şartlarda bir sorun yok ama bu dönemde insan herşeye dikkat ediyor. 1. Karton kutu bir önceki siparişte olduğu gibi etiketle kapatılmamıştı. 2. Servis yapan arkadaşta maske yoktu.,9.0,7.0,9.0,1605997963
Bu işin ustası bunlar.,10.0,10.0,10.0,1605825163
Güzeldi.,9.0,9.0,9.0,1605825163
Çok yavaş ciddiyetsiz bir yer.,1.0,1.0,1.0,1605825163
Servis çok yavaş bu işi beceremiyosun dominos rakiplerin aldı başını gitti...,1.0,1.0,1.0,1605738764
Ben durumos yedim begenmedim normalde lezzetli pizzalari ama durumosu hic begenmedim.,10.0,10.0,6.0,1605738764
