comment_text,comment_speed,comment_service,comment_taste,comment_time
Yillardir yemek sepeti kullaniyorum ilk defa bole dusuk bir puan veriyorum. Salatanin icinde anlamadigim tuhaf bir koku var. Adana kebapi yiyemedim. Etin tadi cok degisik geldi lahmacunda ayniydi. Ve sogumustu.,1.0,1.0,1.0,1606548520
Tam istediğimiz gibi teşelkürler.,10.0,10.0,10.0,1606462120
"Izgara tavuk çok lezzetliydi fakat 2 parca lavaş koymuşlar ve yetmedi. Lahmacun ise tam bismemis, tavada kendimiz bisirdik.",9.0,6.0,6.0,1606375720
İlk defa söyledim beklediğimden çok çok iyisi geldi herkese tavsiye ediyorum.,10.0,10.0,10.0,1606289320
O nası lahmacun ki yemesekte bilmesek pide derim hiç beğenmedik.,2.0,3.0,1.0,1606030120
Hergün sipariş ediyordum çok iyi geliyordu dün hepsini değiştirmişler berbat etmişler artık asla almam.,1.0,1.0,2.0,1606030120
"Uyarıları dikkate almaları çok güzel, pideler artık hamur değil. Zaman ve lezzet konusunda çok iyiler zaten.",9.0,8.0,9.0,1605857320
Fena sayilmaz yenir.,8.0,7.0,9.0,1605857320
Çok hızlı teşekkürler.,10.0,10.0,10.0,1605857320
"Kıymalı pide diye sipariş ettiğim şey yağdan başka birşey değildi, mezeleri açtığımda berbat bir koku iyce midegimi bulandırı.",1.0,1.0,1.0,1605598120
Her şey çok güzeldi. Izgara tavuk evde mangal lezzeti yaşattı. Kesinlikle tavsiye ediyorum.,10.0,10.0,10.0,1605252520
Tussuz olmuş.,9.0,10.0,8.0,1605252520
Ucuz etin suyu kara oldu.,5.0,5.0,1.0,1605252520
"Memnun kaldım, tavsiye ederim.",9.0,10.0,10.0,1605166120
"Ben bugüne kadar kıymalı pide, adana dürüm ve lahmacun sipariş ettim, yiyeceklerin lezzetinde yada hijyen konusunda bir sorun yok ama sıcak ulaşmasında sorun var mesafe uzak olmasa bile yiyecekler maalesef sıcak gelmiyor sanırım paketleme kaynaklı bir sorun paketleme sisteminin değişmesi lazım.",7.0,9.0,9.0,1605079720
Lezzette sıkıntı yok. Not dikkate alınmamış. 50 dakikada geldi.,5.0,7.0,10.0,1604906920
Hamur olmuştu ve geç geldi. Ama lezzeti güzel fiyatı uygun!,5.0,2.0,9.0,1604906920
Gerçekten mükemmel.,10.0,10.0,10.0,1604820520
Servis çok yavaş. Ayrıca hamur oluyor gelene kadar. Servis vasat. Ama lezzeti çok güzel.,1.0,5.0,9.0,1604734120
Çok geç geldi. Servis olarak hamur olmaya yakındı. Ama lezzeti güzell.,1.0,5.0,9.0,1604734120
Buz gibi geldi maalesef..,9.0,4.0,8.0,1604561320
Tamamen hamur olmuş yapışmıştı pide dikkat edilmesi gerek.,8.0,1.0,9.0,1604561320
Oncelikle ayran unutup geri getirilmedi. Sorun gondediginiz kofteyi atese degdirip geri cektiniz sanirim insan yiyor o kofteyi. Yemek sepetinden ulasildi ayranin unutuldugu icin yemek sepetine gonderiyoruz deyip gondermemeniz. Sizin ne kadar kaliteli oldugunuzu belli etti. Asla siparis etmem.,1.0,1.0,1.0,1604474920
1 saate geldi ama lezzetli ve güzeldi.,3.0,9.0,9.0,1604474920
Lavasi biraz daha fazla. Gonderseniz cok iyi.,10.0,10.0,10.0,1604474920
Mezeler berbat.,7.0,4.0,7.0,1604388520
Çok lezzetliydi. Malzemesi boldu gerçekten. Güzel temiz paketlenmişfakat ayranı unutmuşlar sağlık olsun.,10.0,10.0,10.0,1604388520
"Servis geliştirilmiş, kurye hızlı, not dikkate alınmış teşekkürler.",10.0,10.0,10.0,1604215720
Güzeldi.,10.0,10.0,10.0,1604129320
Soğuk içeceği dürümün yanına koymuşlar 5 dakikalık mesafeye rağmen dürüm soğumuş malesef.,10.0,3.0,7.0,1604091574
Servis cok zayif urunler soguuk.,5.0,5.0,4.0,1604091575
Etleri görebilmek için mercek ve salatayı yemek için çatal olsaydı iyiydi. Ayrica peçete ıslak mendil tuz vs hiçbiri yoktu.,1.0,1.0,1.0,1604091575
Pideler şahaneydi lezzet olarak ama yumurta ve kaşarı yoktu ya da yok denecek kadar azdı yani yakıştıramadım bu firmaya keşke öyle olmasaydı elinize sağlık yine de.,10.0,10.0,10.0,1604091575
Çok beğendim uzun zamandır yediğim en lezzetli kuşbaşılı pide.,9.0,9.0,10.0,1604091575
"İlk defa buradan sipariş verdik, biizm siparişlerimiz bıçar arası pide idi ama gelen tüm pideler kuşbaşı pide geldi.",7.0,3.0,3.0,1604091575
Çok hızlı geldi. Sıcak ve lezzetliydi. İkinci dürümü söylesem mi diye düşündüm resmen. Elinize sağlık.,10.0,10.0,10.0,1604091575
Kilo tavuk soyledim bu fiyata bu lezzet harika elinize saglik.,10.0,10.0,10.0,1604091575
Oldukça hızlı ve lezzetli teşekkürler.,10.0,10.0,10.0,1604091575
Yorumlara göre biraz çekimser davrandim ilk basta ama fiyatina gore harikulade bir lezzet. Emeğinize yüreğinize sağlık sayenizde bu yasli adami mutlu ettiniz. İyi calismalar.,9.0,9.0,10.0,1604091575
Guzel.,10.0,10.0,10.0,1604091575
Beklediğimden daha iyi.,10.0,10.0,10.0,1604091575
"Kıymalı pide gayet güzel bildiğimiz kıymalı pide tadı var, hamuru kalın değil bu bence önemli, sıcak bir şekilde yaklaşık yarım saat içinde bana ulaştı, servis personeli iyi güler yüzlü kısacası ben memnun kaldım tavsiye ederim.",8.0,9.0,9.0,1604091575
Bayıldım çok güzeldi.,10.0,10.0,10.0,1604091575
Pideler cok guzeldi elinize saglik.,10.0,10.0,10.0,1604091575
Gayet kaliteli bir hizmet son derece memnun kaldı m.,10.0,10.0,10.0,1604091575
"Diger urunleri yemedim! Fakat siparis ettigim kg tavuk cok berbat, kesinlik tavsiye etmiyorum, gonderdikleri tavuk, tavugun pocugu, kaburgasi, vs yerleri, tavugun servis edilemeyen yerlerini yolluyorlar, ilk defa siparis verdim. Birdaha asla bu esnafi secmem, salata vs. Getirirken dokmusler.",8.0,4.0,1.0,1604091575
Tavsiye etmem.,5.0,5.0,5.0,1604091575
Kıymalı pide çok acıydı ekmek tas gibiydi kalındı bı daha tercıh etmemek üzere...,1.0,1.0,1.0,1604091575
Lezzetli bayvan.,9.0,9.0,9.0,1604091575
Ezme ve salatayı beğenemedim. Ama durum güzel.,8.0,8.0,7.0,1604091575
Sıcacık pideler çok beğendik teşekürler.,10.0,10.0,10.0,1604091575
Dün tadi çok güzeldi beğenerek bugün tekrar sipariş ettim ama tadı çok kötüydü kıymalının yiyemedim bide aşırı derecede kötü kokuyordu kıymalı okursanız sevinirim bide limon eksikti beğenmedim.,1.0,1.0,1.0,1604091575
