comment_text,comment_speed,comment_service,comment_taste,comment_time
Gerçekten yemek lezzeti iyiydi kurye de çok kibardı.,9.0,9.0,10.0,1606649813
Lezzetinizi bilmesem kötü diyebilirdim çünkü ürünler soğuk geldi.,7.0,10.0,7.0,1606563413
İyi.,10.0,10.0,10.0,1606563413
"Hızlı ve sıcak servis, burgeri lezzetliydi ortalamanın çok üstünde. Kuryeniz çok dikkatli ve titizdi teşekkür ederiz.",10.0,10.0,10.0,1606477013
"İzmit burger efsaneydi, 2. Defa deniyorum ellerinize sağlık.",10.0,10.0,10.0,1606477013
Tekrar tekrar sipariş vereceğim her gün yesem sıkılmayacağım tek lezzet.,10.0,10.0,10.0,1606477013
Hızlı ve sıcak teslimat için teşekkür ederim. Lezzet konusunda zaten diyecek bişey yok.,10.0,10.0,10.0,1606477013
Kotu bir yemeksepeti deneyimiydi.,1.0,1.0,1.0,1606477013
"Güzeldi, ama hayatımda yediğim en güzel hamburgerdi diyen arkadaş ilk defa yedi herhalde hamburger :)).",9.0,10.0,9.0,1606477013
Etin pişme değerini nasıl ayarladınız bilmiyorum ama efsaneydi ve doyurucuy du emeğinize sağlık.,10.0,10.0,10.0,1606390613
Son zamanlarda yediğim en lezzetli dolu dolu bi hamburgerdi teşekkür ederim bize bu lezzeti tattırdığınız için.,10.0,10.0,10.0,1606390613
Taklitleriniz çok ama sizden iyisi yok harikasınız.,10.0,10.0,10.0,1606304213
Tek kelime ile mükemmel. İyiki açılmışsınız bundan sonra burdayım. Lütfen bu kaliteden ve lezzetten ödün vermeyin...,10.0,10.0,10.0,1606304213
Tam bir burger hastası olarak söylüyorum daha iyisini yemedim mükemmeldi.,10.0,10.0,10.0,1606304213
"Her zamanki gibi mükemmel, yapanların ellerine sağlık harika bir lezzet.",10.0,10.0,10.0,1606304213
Sıcak gelmesi beni çok mutlu etti teşekkürler.,10.0,10.0,10.0,1606304213
Paketleme ve sıcak gelmesi muhteşemdi ayrıca ufak hediyeniz için çok teşekkür ederim.,10.0,10.0,10.0,1606304213
Yediğim en iyi burger ve patatesti herşey için teşekkürler.,10.0,10.0,10.0,1606304213
Gerçekten her şeyiyle efsanesiniz. Hızlı servis paketleme cok iyiydi sıcacık geldi. Lezzetine zaten hayranım. Kesinlikle tavsiye ediyorum.,10.0,10.0,10.0,1606304213
"Gerçekten enfesti, sıcak geld, paket iyiydi. Lezzet ise istanbul da yediklerimden sonra izmitte de tartışmasız en iyi home made burgerdi. Deneyin mutlaka.",10.0,10.0,10.0,1606304213
Her zaman ki gibi efsane özlemişiz.,10.0,10.0,10.0,1606217813
Süpersiniz ilk açıldığından beri aynı kalite devam.,10.0,10.0,10.0,1606217813
Yeniden yemeksepitinde açilmişsiniz cok teşekürler özlmeiştik bu arada izmit cidden efsanee hiç bozmayın.,10.0,10.0,10.0,1606217813
