comment_text,comment_speed,comment_service,comment_taste,comment_time
 gene çok değil ama yanık geldi sizden beklenmedik performans.,10.0,10.0,6.0,1606506685
Geliştirilebilir 10-10-10.,10.0,10.0,10.0,1606506685
"Gerçekten cok iyi lahmacun mukemmel salata tazeydi, her şey sıcak geldi 10.",10.0,10.0,10.0,1606420285
"Et durum çok iyiydi, lahmacun da güzel ancak ikramlarda daha çok özen gosterilmeli sos yağ falan koyulmali salataya, patatesler kuruydu, irmik tatlısı ise çok azdı.",9.0,9.0,7.0,1606420285
Herşey güzeldi salata istemedik yerine helva koyarmısınız ekstra dedik salata gelmedi ekstra tatlıda gelmedi :)).,10.0,10.0,9.0,1606420285
"Patates hiç güzel değil çöpe gidiyor maalesef, onun dışında guzel.",9.0,9.0,6.0,1606420285
Yakın oturunca sıcak sıcak geliyor.,10.0,10.0,10.0,1606333885
Ssk ve yanında gelen patatesler sıcacık ve lezzetliydi.,10.0,10.0,10.0,1606333885
Servis hız lezzet kalite her şey.,10.0,10.0,10.0,1606333885
Son derece hızlı paketçi arkadaş tebrikler. Döner her zamanki gibi harikaydı teşekkürler.,10.0,10.0,10.0,1606333885
Güzel.,9.0,8.0,8.0,1606247485
Çok iyiydi.,10.0,10.0,10.0,1606247485
Ssknın içinde eti mercekle arar olduk resmen. Dolardan kaynaklı mı acep..,8.0,4.0,7.0,1606247485
Ssk herzamanki gibi başarılı ancak patates kızartması her zamanki gibi başarısız...,9.0,8.0,9.0,1606247485
Yemek siparişim soğuk geldi...,1.0,1.0,1.0,1606161085
Buz gibi gelen yemek.,4.0,4.0,1.0,1606161085
Cacıkta salatalık yoktu.,8.0,8.0,8.0,1606161085
Patates kızartması bayattı.,8.0,8.0,8.0,1606074685
"Herşey çok çok iyi, bide kapalı pide eskisi gibi ince hamur ile yapılsa bu puan az kalır.",10.0,10.0,10.0,1606074685
Adammmm.,10.0,10.0,10.0,1606074685
Güzel.,10.0,10.0,10.0,1606074685
Kaliteye diyecek hiç bir sözüm yok. Her zamanki gibi özenle hazırlanmış ve lezzetliydi dürümler. Bir şeyi merak ediyorum. Dükkana gelince ikram ettiğiniz künefe ve dondurma neden paket servise dahil edilmiyor? Onlar için de uygun bir yöntem bulamaz mısınız? Tekrardan elinize sağlık.,9.0,9.0,9.0,1606074685
3-4 senedir favorilerime eklediğim tek mekan burası. İlk defa sıkıntılı geldi. Patatesler buz gibiydi sanki önceden pişmiş gibi. Köftenin içinden yanmış kürdan çıktı ve malzeme taze değildi. Senelerdir sorun yaşamıyorum ilk defa böyle birşey oldu.,10.0,3.0,3.0,1606074685
"Kurye maskesiz, temassız teslimat umurlarında değil. Covid döneminde sakın tercih etmeyin.",8.0,1.0,6.0,1605988285
Notlarımıza bu özen cok güzel.,10.0,10.0,10.0,1605988285
Her zamanki gibi çok güzeldi. Notları da dikkate aldığınız için çok teşekkürler. Hassas farkı.,10.0,10.0,10.0,1605988285
Güzel yer temiz yer hizmet hızlı.,10.0,10.0,10.0,1605901885
"Son derece hızlı, lezzetli ve en önemlisi yazdığım bütün notlara uyan siparis icin tesekkurler.",10.0,10.0,10.0,1605815485
Güzel.,9.0,9.0,9.0,1605815485
Çok teşekkürler. Hem lezzetiyle hem de notları değerlendirmesiyle tam puanı hak ettiniz.,10.0,10.0,10.0,1605815485
Süper!,10.0,10.0,10.0,1605815486
Her şey mükemmeldi. Ellerinize sağlık. Patateslerin üzerine sos ve kaşar olsaydı 10 puan yetmezdi.,10.0,10.0,10.0,1605815486
Harikaaa.,10.0,10.0,10.0,1605642686
Notumu okumamışlar. Dürümde çok soğan az et vardı ve soğuktu.,9.0,7.0,7.0,1605556286
Muhteşeeem hemde ikramlar mükemmell ellerinize emeğiinize saglıık 10/10.,10.0,10.0,10.0,1605556286
"1 saatte geldi, yemeğin yagı her tarafa akmisti ve kutunun icinde helsi birbirine girmişti.",1.0,1.0,5.0,1605556286
Lezzet süper hiç değişmiyor.,7.0,9.0,9.0,1605556286
Efsanesiniz.,10.0,10.0,10.0,1605383486
İlk defa aspavadan buz gibi yemek yedim... !,5.0,10.0,8.0,1605383486
Ödeme yönteminde sorun oldu. Sanırım pos cihazınız çekmiyor. İyi ki yanımızda nakit vardı da sorun çıkmadı. Bu konuda dikkatli olursanız çok mutlu oluruz.,10.0,10.0,10.0,1605383486
Aspava special mükemmeldi...,10.0,10.0,10.0,1605297086
Malzemesi daha fazla olabilirdi ama lezzetli.,10.0,9.0,9.0,1605297086
Patesler beklemisti irmigin yarisi yoktu.,10.0,8.0,8.0,1605297086
Yemek çok soğumuştu.,1.0,1.0,4.0,1605210686
"Porsiyonlar, mezeler dolu dolu geliyor. Yedik yerimizden kalkamıyoruz. 1 tane lahmacunu başka bir yerin iki lahmacununa eşit bilginize.",10.0,10.0,9.0,1605210686
Patatelet inanılmaz sert ve kuru geliyor artık.,9.0,8.0,8.0,1605210686
Müthiş bir kalite.,10.0,10.0,10.0,1605124286
Güzel.,10.0,10.0,10.0,1605124286
Super hizli süper lezzetli.,10.0,10.0,10.0,1605124286
"Et döner söyledim ana ürün gayet güzeldi fakat yanında gelen ekstralar ( patates kızartması, salata, cacık, irmik helvası ) hepsi ayrı ayrı çok kötüydü.",10.0,5.0,6.0,1605037886
Buz gibi geldi patateslerde buz gibi sabahtan hazırlanmış gibi.,1.0,1.0,1.0,1605037886
Beytideki ekmek sıcaktan hamur olmuş ve birbirine yapışmıştı sanırım eve beyti söylemek çok iyi fikir değild.,9.0,10.0,8.0,1605037886
Muthis.,10.0,10.0,10.0,1605037886
"Şiş çok lezzetliydi. Bulgur pilavının ve cacık tadı güzel değildi, o nedenle lezzetten 2 puan kırdık.",8.0,10.0,8.0,1605037886
