comment_text,comment_speed,comment_service,comment_taste,comment_time
Tek kelıme süper.,10.0,10.0,10.0,1606353777
Servisi kokoreçim içi neredeyse boş olduğundan verdim ama lezzet 10 numaraydı.,8.0,1.0,10.0,1606180977
Gayet başarılı ve hızlılar.. 10 numara.,10.0,10.0,10.0,1606008177
İyiki varsiniz teşekkür ederiz.,9.0,9.0,9.0,1606008177
Hızlı geldi. Lezzetliydi.,10.0,10.0,10.0,1605921777
"Çok geç ve çok soğuk geldi, çatal bile yoktu, günün tatlısı falan gelmedi en kötüsü ise tavuk pirzola almıştım bir tane tavuk pirzola vardı, 100g tavuk resmen, 3 değil en azından 2 tane tavuk pirzola koyar insan. Çok pişmanım.",1.0,1.0,1.0,1605748977
Gayet başarılı lezzet on numara.,10.0,10.0,10.0,1605403377
Buz gibi geldi. Üstelik kapı ziline basılmasın diye not yazmıştım ona da bakmadılar bebek uyandı.,2.0,1.0,1.0,1605316977
Rezaletti asla sipariş vermeyin.,1.0,1.0,1.0,1605144177
İstediğim gibi gelmedi. Tad tuz sıfır.,4.0,1.0,1.0,1605057777
Lezzeti hoşuma gitmedi.,10.0,5.0,3.0,1605057777
Benim için bu civarda yemek söylenecek en güzel yer.. Lezzet samimiyet hız 10 10 10 numara..,10.0,10.0,10.0,1604971377
"Puanı biraz düşük diye korkuyordum ama hem koko hem midye gayet güzeldi, kokoyu acılı seçince biraz abartmışlar ama :).",10.0,10.0,10.0,1604798577
10numara.,10.0,10.0,10.0,1604712177
Midyeler güzeldi bir iki tane bayat vardı arada ama beklentimin üzerindeydi.,9.0,9.0,8.0,1604452977
Cocomid hız ve lezzet harika teşekkürler.,10.0,10.0,10.0,1604107377
Kokorec kuru ve lezzetsizdi.,4.0,5.0,4.0,1601267085
Buz gibi gelmesi biraz uzdu tabii.,8.0,6.0,6.0,1601267085
Midyeler çok iyi değil maalesef ama kokoreç iyiydi. Biraz hızlı gelsin diye rica ettim çok çabuk geldi. Mükemmel kurye kardeşime teşekkür ederim. Elinize emeğinize sağlık...,10.0,10.0,10.0,1601267085
Normalde kokoreç de yağ severim ama bu yağ arasına üç beş parça kokoreç atmak olmuş berbat.,9.0,6.0,5.0,1598637339
10 numara.,10.0,10.0,10.0,1598637339
"Büyük midye sipariş ettiğim halde küçük geldi, kokoreçte aşırı kuruydu, ama hız gayet iyidi.",10.0,10.0,5.0,1598637339
"1. 30 saate yakin zamanda geldi, ki o kadar uzak bir mesafe değildi.",1.0,9.0,8.0,1596007593
Özellikle kurye kardeşimin güler yüzüne çok teşekkür ederim. Hayırlı işleriniz olsun.,10.0,10.0,10.0,1596007593
Kokoreçler harikaaa ama porsiyon doyurucu değildi.,10.0,10.0,10.0,1596007593
İdare ederdi.,8.0,8.0,8.0,1596007593
Midyesi muhteşem.,10.0,10.0,10.0,1596007593
"Tam yemek sepetinin tahmini gelme süresi içinde geldi, kokoreç harikaydı sulu midyeleride 10 tane istemiştim 12 tane geldi taze ve güzeldi jokerle almıştım çok memnun kaldım.",10.0,10.0,10.0,1596007593
"Midyeleri baya güzel taze geliyor, köftesi leziz fakat porsiyon küçük.",10.0,10.0,10.0,1596007593
Bir saatte geldi 20-30 dk ortalama süresi olan yere. Midyeler çok küçük ve kumluydu.,1.0,5.0,3.0,1596007593
Köfte ekmek çok güzeldi. Hatta kokoreçten daha başarılıydı. Herşey gayet lezzetli ve temiz. Teşekkürler...,9.0,9.0,9.0,1596007593
Midye çok güzel ama çok geç geldi.,1.0,10.0,10.0,1596007593
"Midye efsane, kokoreç de güzel. Ama daha dolu olabilirdi...",9.0,9.0,10.0,1596007593
Kokorec istedik birisi köfte geldi küflü turşu geldi tavsiye etmem kimseye.,1.0,1.0,1.0,1596007593
"Güler yüzlü personel ile hızlı ve sıcak teslimat yapıldı. Kokoreç lezzetliydi ama biraz kurumuştu, porsiyonu yeterliydi. Turşuları taze taze kutulamalılar,.",10.0,10.0,10.0,1596007593
Midyeler taze olsaydı daha iyi olurdu...,10.0,10.0,6.0,1596007593
Herşey çok güzeldi. Joker ile aldım eksiksiz geldi. Kiloluk alırsanız midyeler büyük tekli alırsanız ufak geliyor. Yarım kilo veya fazlasını söylemenizi tavsiye ederim.,10.0,10.0,9.0,1596007593
Güzeldi ama kokoreçte biraz sertlik vardı.,10.0,10.0,9.0,1596007593
"Kokoreçin lezzeti fena değil fakat, ekmeğin içindeki kokoreç miktarı çok azdı, midyeler bayat gibiydi. Ayrıca içleri de iyi temizlenmemiş görünüyordu ve ağzıma kum tarzı şeyler geldi çıtır çıtır. Jokerden sipariş vermiştim bir daha vermem.",10.0,10.0,4.0,1596007593
Gayet başarılı ve lezzetli.,10.0,10.0,10.0,1596007593
"Lezzet harika, hız gelişebilir ama 1, 5 kilo midyeye 2 limon yarısına bile yetmez. Umarım değişir. Çünkü lezzetle ilgili bir sorun yok.",7.0,5.0,9.0,1596007593
Kokoreç ve midye söyledim gerçekten çok lezzetliydi. Yemeği getiren servis elemanı da oldukça güleryüzlüydü. Umarım bu kalitede devam ederler.,9.0,10.0,10.0,1596007593
Kokereç midye güzel midye biraz baharatlıydı. Hız standart.,9.0,10.0,9.0,1596007593
