comment_text,comment_speed,comment_service,comment_taste,comment_time
Güzeldi.,10.0,10.0,10.0,1605912320
Taptaze ve hızlı servis teşekkürler.,10.0,10.0,10.0,1605825920
Her zaman beğenerek söylediğim işletmeye bir kez daha teşekkür etmek istedim ara sıra geç kalabiliyor ama yoğunluk oluyormuş normal tavsiye ederim.,8.0,10.0,10.0,1605480320
Siparişi verdim 2 saat gelmedi 2 saatin sonunda getirelim mi dediler yatağa geçmiştim ben getirmeyin dedim yani bu sipariş elime bile ulaşmadı.,1.0,1.0,1.0,1605307520
Fena değil elinize sağlık komagene ilk tercihim her zaman.,10.0,10.0,7.0,1605307520
Yaklasik 2 saat sonra geldi.,1.0,7.0,8.0,1605048320
Çiğköfteyi sürekli söylüyor ve beğeniyoruz zaten sanırım uzun yıllarda söyleyeceğiz... Midyeyide ayrıca çok beğendim teşekkürler.,9.0,10.0,10.0,1605048320
Hizli ve lezzetli.. Tesekkur ederim emegi gecen herkese..,10.0,10.0,10.0,1604702720
Hizmet hızlı.,10.0,10.0,10.0,1604616320
Extra kaliteli.,10.0,10.0,10.0,1604443520
Marul lavaş isterseniz tercih edilebilir çiğköfteyi göremedim ben.,5.0,1.0,1.0,1604184320
Asdfgh.,9.0,9.0,9.0,1604097920
On numara.,10.0,10.0,10.0,1603973774
Hakediyor.,10.0,10.0,10.0,1603973774
Güzel.,10.0,10.0,10.0,1603973774
Bu işletme çok güzel aksini söyleyen arkadaşlar lütfen dürüst yorumlar yapsın gerçekten çok güzel bu işletme hak yemeyelim...,10.0,10.0,10.0,1603973774
Midye geldi hediye olarak teşekkürler.,10.0,10.0,10.0,1603973774
"Güleryüzlü kurye, müthiş lezzet. Teşekkürler.",10.0,10.0,10.0,1603973774
Her anlamda kötü.,1.0,1.0,1.0,1603973774
Getiren arkadas odeme yapmak icin kartimi uzatirken eli ile burnunu sildi daha sonra posa falan takti. Sanirim hastaydi. Yemeden direkt çöpe attim poseti falan. Su pandemi doneminde boyle bir hareket ne kadar dogru bilmiyorum. Lutfen uyarin daha dikkatli olsun.,10.0,10.0,10.0,1603973774
Çok geç geldi.,1.0,7.0,7.0,1603973774
Güzeldi.,10.0,10.0,10.0,1601344028
Herşey çok güzel teşekkürler.,10.0,10.0,10.0,1601344028
Maskeye dikkat edelim lütfen.,5.0,5.0,5.0,1601344028
İts nice.,10.0,10.0,10.0,1601344028
Teşekkürler.,10.0,10.0,10.0,1601344028
İii.,9.0,9.0,9.0,1601344028
Midye çok lezzetli çiğköfte zaten efsaneee. Küçük dükkandan büyük lezzetlerin devamını bekliyoruz.,10.0,10.0,10.0,1601344028
"Hem hızlı servis, hem lezzetli.",9.0,9.0,9.0,1598714282
Çiğköfteniz efsane ona diyeceğim yok zaten içli köfteyi ilk defa denedim çok beğendim muhtemelen ev yapımı midyeyi geçenlerde denemiştim o da güzeldi teşekkür ederim.,10.0,10.0,10.0,1598714282
10 numara:).,10.0,10.0,10.0,1598714282
1 buçuk saatte gelmesine rağmen eksik şipariş getirmişler.. Tadı güzeldi ama tok iken şipariş verin acıkana kadar ancak geliyor.,1.0,1.0,5.0,1598714282
Harika.,10.0,10.0,10.0,1598714282
Teşekkür ederim.,10.0,10.0,10.0,1598714282
Tarifsiz bir lezzet gerçekten çok beğendim çiğköftenizi :).,10.0,10.0,10.0,1598714282
Keşke notu okusaydınız.,10.0,5.0,10.0,1598714282
Lavaslar yırtık ve yapışmıştı hayal kırıklığına uğradım.,7.0,4.0,8.0,1598714282
Paketleme özenliydi ve lezzetliydi.,10.0,10.0,10.0,1596084536
Güzel.,10.0,10.0,10.0,1596084536
Yaprak sarması sipariş verdim içli köfte geldi. Yemeğin poşetini geç açmak zorunda kaldım geç dark ettim keşke biraz daha dikkatli olsanız.,10.0,1.0,7.0,1596084536
Teşekkürler güzeldi.,10.0,10.0,10.0,1596084536
Önceden daha güzeldi atom aldım sanki içinde çiğ köfte yoktu lavaş içi marul yedim.,6.0,1.0,1.0,1596084536
"Midyeler taze, içli köfteler sıcak geldi 10 numara.",10.0,10.0,10.0,1596084536
Her şey çok güzeldi teşekkürler.,10.0,10.0,10.0,1596084536
Midyeler bayat gibiydi.,1.0,1.0,1.0,1596084536
Servis hızı berbat otesi yoğunluk olabilir doğrudur ama bu kadar da geç gelmezdi.,1.0,9.0,9.0,1596084536
Megasi berbatti.,1.0,1.0,1.0,1596084536
Her zaman daha da servis ve kalite artıyor. Başarılar.,10.0,10.0,10.0,1596084536
"Bu adam bi harika teşekkür ederim dostum... ,.",10.0,10.0,10.0,1596084536
Güzel.,10.0,10.0,10.0,1596084536
Midyeler tatsız.,6.0,6.0,3.0,1593454790
Nar ekşisi sanırım dışarıda kalmış ve tadı biraz ekşiydi ama olabilecek şeyler bunlar sonuçta antalyada yaşıyoruz normalde lezzeti harikadır.,9.0,8.0,3.0,1593454790
İyi.,8.0,8.0,8.0,1593454790
İyi.,10.0,10.0,10.0,1593454790
Teşekkürler herşey içli köfte çok iyiydi tavsiye ederim deneyin ve lezzeti görün.,10.0,10.0,10.0,1593454790
Keşke buzdolabı poşetimsiz şeyin içine de kağıt koymasanız :d onun dışında çok güzel.,8.0,5.0,10.0,1593454790
Çok iyi.,10.0,10.0,10.0,1593454791
Çiğ köfte dürümleriniz çok ince ve söylendiği gramajda olduğunu düşünmüyorum eskiden sık sık sipariş verdiğim bir yerdi muhtemelen bir daha tercih etmeyeceğim umarım düzeltirsiniz.,8.0,5.0,5.0,1590825045
