comment_text,comment_speed,comment_service,comment_taste,comment_time
Kurye çok güleryüzlüydü.,10.0,10.0,10.0,1606540562
Öğlen saati olmasına rağmen taze ve sıcak geldi.. Tavsiye ederim.,10.0,10.0,10.0,1606540562
"Karışık poğaçada sadece peynirli zeytinli kaşarlı var. Eskiden daha çok çeşit vardı. Pizza fıstlıklı filan koyuyorlardı. Yüz yüze alsam kesin yine aynısını verirler. Masraflı geliyorsa fiyatı yükselt,.",10.0,3.0,10.0,1606454162
Hayırlı işler bol kazançlar kurye nezaketi servisi geride bıraktı.,10.0,10.0,10.0,1606367762
Hızlı servis teşekkür ederim.,10.0,10.0,10.0,1606367762
Ellerinize sağlık çok güzel...,10.0,10.0,10.0,1606108562
Sıcak ve lezzetli...,10.0,10.0,10.0,1606108562
Bu defa gelen ürünler öncekilerden farklıydı. Üzgünüm ama şaşırdım yani.,5.0,5.0,5.0,1606022162
Açma ve simitin biri nerdeyse yanık poacalar hamur sigara böreği iyiydi. Müşteri kazanmak istiyorsanız biraz daha özenli olmanız lazim.,10.0,3.0,6.0,1606022162
"Katmeriniz bildiğiniz yanmıştı usta, bu 2 oldu bir daha katmer söyleyeceğim kalmadı.",6.0,3.0,1.0,1605935762
Hızlı ve güleryüzlü servis tesekkurler.,10.0,10.0,10.0,1605849362
Çok lezzetli...,10.0,10.0,10.0,1605849362
Herşey çok güzel di hayırlı işler bol kazançlar dilerim.,10.0,10.0,10.0,1605849362
Soğuk geldi buz gibi.,10.0,7.0,5.0,1605762962
Herşey gayet mükemmel kurye nezaketi üst düzeyde iyi çalışmalar.,10.0,10.0,10.0,1605762962
Geldiğinde hamur gibi olmuştu ve çok geç geldi.,1.0,1.0,1.0,1605676562
Gayet hızlı servis teşe.,9.0,9.0,9.0,1605676562
Getiren kuryenin kibarlığı davranışı lezzeti hızı geride bıraktı.,10.0,10.0,10.0,1605503762
Gayet güzel ve lezzetliydi.,10.0,10.0,10.0,1605330962
