comment_text,comment_speed,comment_service,comment_taste,comment_time
Efsane olmuş ellerinize sağlık harika.,10.0,10.0,10.0,1606675609
İstediğim gibi dürüm geldi harika.,10.0,10.0,10.0,1606070809
Örnek camiinin orada oturuyorum gece 1de sipariş verdim soğuk geldi. Porsiyon olarakta küçük oldugunu düşünüyorum. Her ısırışım da sadece soğan ve yeşilik tadı alıyormuşum gbiyidi. Bol şans umarım dikkat edersiniz.,4.0,5.0,4.0,1605984409
K. Sucuk harikaydı süper bayıldım teşekkürler.,10.0,10.0,10.0,1604947609
Se.,10.0,10.0,10.0,1604602009
Mercimek çorbasını çok beğendim 2. Tabağı da içesim geldi adana dürüm de lezzetliydi ama biraz yavandı adana ve biraz fazla garnitür koyulabilirdi.,10.0,10.0,8.0,1604515609
Tamam geç sipariş verdim ama tavuk şiş yapmamışsınız ki tavuğu domatesle tavada kavurup dürüm yapmışsınız. Ben tavuk şiş dürüm istemiştim.,9.0,3.0,3.0,1604256409
Efsane olmuş.,10.0,10.0,10.0,1604132263
Yazdığım not dikkate alınmadan gönderilmişti. Ona rağmen yedim umarım bi dahakine notları okuyarak siparişi hazırlarsınız teşekkürler.,6.0,3.0,6.0,1604132263
Dürümü bildiğiniz yufkaya sarmış göndermişler.,1.0,1.0,1.0,1604132263
Harika.,10.0,10.0,10.0,1604132263
Yemek soğuk geldi ve verdiğimiz siparişte gelen ürünlrde ağır bir koku vardı. Ve firmayı arayıp iade etmek istedik. Gelirlerse iade alacaklar. Kendileri ise normal sorun yok dediler.,1.0,1.0,1.0,1604132263
Sabahın 4ünde kral lezzet.,10.0,10.0,10.0,1604132263
Harikalar yaratmış da.,10.0,10.0,10.0,1604132263
Adana dürüm güzeldi.,9.0,9.0,9.0,1604132263
"Çöpşiş kötü, adana güzeldi.",10.0,10.0,7.0,1601502517
Soğansız dememe rağmen soğan koymuşsunuz. Eskiden çok severek yerdik umarım bir dahaki siparişimizde eski tadı yakalarsınız.,7.0,10.0,7.0,1601502517
Süper olmuş.,10.0,10.0,10.0,1601502517
Çok güzel ellerinize sağlık.,10.0,10.0,10.0,1601502517
Çiğköfte efsane olmuş harika.,10.0,10.0,10.0,1601502517
Pulbiber o kadar fazlaydı ki adana mı yedim pulbiber mi yedim anlayamadım lütfen daha özen gösterin bu duruma.. Eskiden daha güzel yapıyordunuz artık bozmuşsunuz.,8.0,8.0,4.0,1598872771
Güzeldi.,10.0,10.0,10.0,1598872771
Harika.,10.0,10.0,10.0,1598872771
İyi.,10.0,10.0,10.0,1598872771
Lavaslar guzel degildi cop siste et harici hersey vardi.,7.0,7.0,7.0,1598872771
Adana menüde pilav var yazıyordu pilav yoktu. Çata bıçak koymamışlar. Elimle yedim...,5.0,1.0,1.0,1596243025
Adana dürüm ve ezo gelin çorbası efsanedir. Teşekkür ederiz.,10.0,10.0,10.0,1596243025
Ev saane olmuş harika.,10.0,10.0,10.0,1596243025
Kötü.,1.0,1.0,1.0,1596243025
Adana dürümü vasattı.,8.0,9.0,5.0,1593613280
Harika olmuş elinize sağlık efsane.,10.0,10.0,10.0,1593613280
