comment_text,comment_speed,comment_service,comment_taste,comment_time
İstediğim sıcaklıkta olmasa da adana dürümü çok beğendim.,8.0,8.0,10.0,1606494044
Başarılı.,10.0,10.0,10.0,1606148444
Pek iyi değildi.,1.0,1.0,1.0,1606062044
"Bana hitap eden bir lezzeti yoktu, lahmacun tatsızdı, dürüm içerisinde koymayın denen herşeyi koymuşlardı.",1.0,1.0,1.0,1606062044
İskenderın etinde degısık bır tat koku var gıyıydı ama adana dürüm guzeldi.,8.0,6.0,5.0,1605975644
Niksarli taş gibiydi.,2.0,2.0,3.0,1605457244
Künefe çok soğuktu.,1.0,1.0,2.0,1605457244
Lahmacun lezetliydi yanında çiğköfte de geldi ve 20 dk geldi sadece acısız istedik acılı geldi lezet 10.,10.0,10.0,10.0,1605284444
"Yorumlara çok aldanmayın. Her işletmenin sistemini oturtmak için zamana ihtiyacı olur. Daha önce karışık kebap söyledim, doymayan ben burnuma kadar doydum. Lezzet açısından da fiyat performansa göre gayet başarılı. Şimdi tekrar aynı siparişi verdim. Beğenmezsin tamam da böyle abartı düşük puan verilmez.",10.0,9.0,9.0,1605284444
Soğuktu.,1.0,1.0,1.0,1604938844
Dün 50 tl ye paket söyledim içinden fındık lahmacun çıkmadı geçen de 1 lt kola söyledim o gelmedi dikkat edilmesi lazım.,8.0,5.0,5.0,1604852444
Hızı güzeldi ama kola istemiştik 1 lt o gelmedi neyse daha yeni açılmış olur böyle şeyler bide adana durum çok sertti geri kalanlar güzeldi.,9.0,7.0,8.0,1604766044
Kuşbaşı kaşarli pidenin kaşarı yoktu. Iki ayri yere siparis vermistim siparisleri karistirip eksik getirdiler. Corbalar dökülmüştü. Hic memnun kalmadık.,7.0,1.0,1.0,1604679644
4 ürün sipariş ettik 4 ü de soğuktu.,8.0,8.0,5.0,1604334044
Sizin dükkanınızda plastik çatak kaşık yok mu otele yemek söylüyoruz sipariş detayında da var. Bir ekmeğe ciğeri yuvarlayıp göndermişsiniz servis rezaletti hız iyi tadı da iyi ama servis rezalet.,4.0,3.0,7.0,1604247644
Adana tatdi yoktu.,1.0,1.0,1.0,1604247644
Servis çok hızlıydı yarım saat içinde siparişim geldi. Fiyatlar da uygun. Sultan karışık kebap ve tavuk pirzola istedim fındık lahmacun hariç hepsi çok lezzetliydi. Teşekkürler...,10.0,10.0,9.0,1604247644
Ellerinize sağlık çok güzel olmuş.,10.0,10.0,10.0,1604161244
"Öcelikli olarak 10 lu lahmacun menü sipariş ettik siparişin içeriginde bulunan çiğ köfteyi göndermemişlerdi aradıgımızda o gün içinde çıkmadıgını söylediler özür mahiyetinde rus salatası, ezme ve haydari gönderdiler ancak lahmacunlar o kadar küçüktü ki ikramlar gelene kadar 8 tanesi çoktan bitmişti.",6.0,1.0,7.0,1604161244
Peçete ıslak mendil koymayı unutmayın.,9.0,9.0,9.0,1603864298
Önceki siparişe göre süperdi.,10.0,9.0,10.0,1603864298
Tadı güzel ama eti az daha pişseydi iyi olurdu.,8.0,8.0,9.0,1603864298
Üzgünüm yemeksepetinde yenisiniz ama dürümünüzü hiç beğenmedim. Ayrıca fiyatları da çok pahalı.,7.0,7.0,5.0,1603864298
Urfa ve lahmacun aldik tadı muthisti biraz daha hizli gelseydi iyi olurdu.,9.0,10.0,10.0,1603864298
