comment_text,comment_speed,comment_service,comment_taste,comment_time
Gayet iyi beğendik.,9.0,9.0,9.0,1606768895
Dürüm çok güzel o nasıl acı biber yaktı beni dudakları hissetmiyorum.,10.0,10.0,10.0,1606596095
Ellerinize sağlık teşekkür ederim.,9.0,9.0,8.0,1606509695
Gap durum mukemmel hiz cok iyi servis cok iyi ezme biraz daha iyi olmali harici cok iyi.,10.0,10.0,10.0,1606509695
Emek için teşekkürler ama neyse reis biraz daha dikkat edin be.,10.0,10.0,10.0,1606250495
Kuzu şiş dürüm yerine adana göndermek ne alaka anlamadım arayıp yok deseydin bari usta.,8.0,6.0,8.0,1606250495
Gelen künefenin içerisinde ki peynir erimemişti. Tamam biliyoruz siz künefeci değilsiniz ama bir işi yapıyorsanız hakkıyla yapın. Ayrıca soğuktu.,1.0,1.0,1.0,1606164095
Maydonozu biraz daha az koyarsanız sevinirim etten çok ot tadı geliyordu.,8.0,7.0,3.0,1606077695
Ellerinize sağlık yediğim en güzel kebap.,10.0,10.0,10.0,1605991295
Güzel.,10.0,10.0,10.0,1605904895
Ciğer kavurma dürüm efsaneydi elinize sağlık sıcak geldi üstelik.,10.0,10.0,10.0,1605904895
İmkansız dedik illaki bi sıkıntı buluruz dedik ama olmadı teşekkürler ellerinize saglık.,9.0,9.0,9.0,1605904895
İlk defa bu civarda yediğim bir dürümde mangal kokusu ve tadı geldi. Hiç beklemiyordum.,10.0,10.0,10.0,1605732095
Olumlu başarili.,10.0,10.0,10.0,1605386495
Beğendim tavsiye edilir ciğer durum guzel.,10.0,10.0,10.0,1605386495
Hızlı geldi dürümleri güzel.,10.0,10.0,10.0,1605213695
Her zamanki gibi harikaydı. Çok doyurucu.,10.0,10.0,10.0,1605213695
Soğandan geçilmiyor.,1.0,1.0,1.0,1605127295
Mükemmelldi elinize sağlık.,10.0,10.0,10.0,1605040895
İlk defa sipariş verdik gayet lezzetli tavsiye edilir. Gap dürüm güzel.,8.0,8.0,8.0,1604954495
"Abi bana ne yazacan merak ediyorum şahaneydi,.",10.0,10.0,10.0,1604781695
Adana söyledik içinde adana yok. Canımız soğan domates isteseydi evde yerdik. Dürümün içinde adanayı ararken kaybolduk. Lavaş desen otoban gibi 5 şeritliydi. Lavaş arası soğan domates yemek isteyenler için ideal.,6.0,6.0,3.0,1604781695
Adana 10ciger kavurma 7.,10.0,10.0,10.0,1604608895
"Ciğer dürüm gayet güzeldi, biraz yağı fazlaydı sadece. Siparişimiz sıcacık ve hızlı geldi.",10.0,8.0,8.0,1604608895
Çok güzeldi urfa dürümü.,10.0,10.0,10.0,1604349695
Böyle devam.,10.0,10.0,10.0,1604263295
Çok beğendim inşallah bozmazlar kendini.,10.0,10.0,10.0,1604176895
İlk siparisimdi teretutde kaldım ama aksine çok beğendim olumlu.,10.0,10.0,10.0,1604139149
"Adana dürüm söyledim. Şüphelerim vardı, lezzet ve sıcaklık harikaydı. Notları okuyorlar teşekkürler. Fiyatta gayet uygun.",10.0,10.0,10.0,1604139149
Gayet iyiydi.,10.0,10.0,10.0,1604139150
Adana dürümün içerisinde maalesef et yok gibiydi çok soğan vardı ekmeği kuruydu. Tavuk şiş dürüm söyledim oda tavugu çok kuruydu biraz daha tavugu kurutmamaya özen gösterirseniz sevinirim. Yanında biber tursusu ve sos gönderdiğiiz için teşekkürler onu çok sevdim.,3.0,6.0,3.0,1604139150
Çok beğendim dürumde taze soğan ayrı bi damak tadı vermiş elinize sağlık görüşmek üzere.,10.0,10.0,10.0,1604139150
Gerçekten çok doyurucu ve lezzetliydi. Teşekkür ederiz.,10.0,10.0,10.0,1604139150
"Bundan sonra sizdeyim çok beğendim durumu elinize sağlık kolay gelsin,.",10.0,10.0,10.0,1604139150
Gayet lezzetliyli ciger ama içinde maydanoz ve cigerden başka bişey yoktu domatesde olsaydı en azından o kadar kuru olmazdı. (sadece bir öneri) buna rağmen puan k��rmadım ellerinize sağlık.,10.0,10.0,10.0,1604139150
Nohut durumunu gorunce tavan yaptim ya ben hayatimda hic nohut durumu yemedim bi antepli olarak yada siz nohut durumunun ne oldugunu bilmiyorsunuz bildigin normal suda haslanip ezip pidenin icine koymusunuz hayaller ve gercekler oldu :(((((.,10.0,5.0,1.0,1604139150
Gayet başarili.,10.0,10.0,10.0,1604139150
Lezzetli ve hijyen kurallarına uygun biçimde servis edilmiş oldukça hızlı sürede geldi sunum cidden şahaneydi.,10.0,10.0,10.0,1604139150
Ciğer durum efsane.,10.0,10.0,10.0,1604139150
Kebap yediğimi fark ettim.,10.0,10.0,10.0,1604139150
