comment_text,comment_speed,comment_service,comment_taste,comment_time
"Kaliteli, lezzetli ve güvenilir.",10.0,10.0,10.0,1606615186
Bu işletme bir muazzam patates kızartması çok güzeldi. Hızlı ve sıcak geldi ellerinize saglık ustalar.,10.0,10.0,10.0,1606615186
Menü güzeldi ama biraz yap geç tarzı gibiydi onu da biraz geç saatte verildiğinden dolayı olduğunu düşünüyorum. Kolay gelsin.,7.0,7.0,8.0,1606615186
Çiğköfte bildiğiniz klasik battalbey çiğköftesi.,9.0,9.0,7.0,1606615186
On numarasınız.,10.0,10.0,10.0,1606442386
Patates çok kötüydü ben tuz sevmem tuz banyosu yaptırmışssınız patatese tşkler yinede.,8.0,8.0,6.0,1606442386
"Sandviç sıcak ve içi boldu, beğendim. Gecenin bu saatinde yapanın da getiren kurye arkadaşın da eline sağlık. :).",10.0,10.0,10.0,1606355986
Başarılı.,10.0,10.0,10.0,1606183186
Teşekkürler ilgi alaka için hayırlı işleriniz olsun.,10.0,10.0,10.0,1606096786
"Lezzet, paketlenmes, hızı çok iyiydi. Yanlız ustalar mı değişti bilmiyorumm ama bi öncekinin tadı başkaydı.",9.0,9.0,6.0,1606096786
10 numara 5 yıldız başka ne denir ki ellerinize sağlık peynirler çok lezzetliydi bu arada süpersiniz.,10.0,10.0,10.0,1606096786
Eh.,10.0,10.0,10.0,1606096786
Seviyorum sizi.,10.0,10.0,10.0,1606010386
Asiri baharatli et lezzeti yok.,6.0,6.0,6.0,1605923986
Çok iyi.,10.0,10.0,10.0,1605923986
Süper.,10.0,10.0,10.0,1605837586
Sandiviç efsaneydi ama paketlemesi biraz kötüydü. Ayvalık tost idare eder ama cigkiftenin de tadı güzeldi.,9.0,8.0,7.0,1605751186
"Yemeğin yanında künefe siparişi verdik, bildiğin tel kadayıf geldi ne şerbeti vardı ne de lezzeti. Yiyemedik kaldı.",1.0,1.0,5.0,1605751186
Herşeye. 10 aksini iddda eden karşısında beni bulur ustanın da eline sağlık sandwiç efsaneydi.,10.0,10.0,10.0,1605664786
Hızlı geldi çiğköfteside lezzetliydi.,10.0,10.0,10.0,1605664786
Süper yorumlar dikkate alınıyor kurye saygılı sandeviçte güzel ama künefe efsane.,10.0,10.0,10.0,1605578386
Efsane lezzet ellerinize sağlık.,10.0,10.0,10.0,1605578386
17 liraya maxi sandivic adinda sandivic satiyonuz 5 ısırıkta bitiyo ici boş boyle sandivicmi olur.,10.0,10.0,2.0,1605491986
Lezzetli ve güzeldi ancak paketleme pek iyi değildi patso gayet güzeldi ancak paketi ve sarılı olduğu kağıdı dağılmış haldeydi patso da biraz dağılmıştı zor topladım heryere bulaştı ama tadı lezzeti sıcaklığı güzeldi.,8.0,4.0,10.0,1605405586
İçerisine kendi malzemesi dışında bir malzeme katılmış sanki... Battal bey çiğ köftesinin tadını alamadım...,1.0,1.0,1.0,1605405586
"Lezzet, servis ve hız harika.",10.0,10.0,10.0,1605405586
Soğuk.,8.0,8.0,9.0,1605232786
Lezzetli ve doyurucuydu fakat biraz geç geldi.,7.0,8.0,9.0,1605232786
15-20 dakikada geldi getiren abi çok tatlı birisiydi saolsun ayvalık tostu sıcaktı güzeldi cigkoftede domates yoktu sadece.,10.0,10.0,9.0,1605059986
Biraz yavaş geldi ama tost güzel.,7.0,8.0,8.0,1604973587
Güzeldi ve hızlı geldi.,9.0,9.0,9.0,1604887187
Maske takın uyarımını defalarca yapmama ramen takılmıyor!,7.0,4.0,7.0,1604887187
Önceki patsonun tadı çok güzeldi ama biraz geç geliyor be.,7.0,7.0,9.0,1604887187
Hiç begenmedim bu paraya kucucuk cocuk sandvici hiç doyurucu değil.,9.0,5.0,4.0,1604800787
Harikasınız.,10.0,10.0,10.0,1604800787
Siparis verirken bir lac seyleri söyledim ama istedigimle alakasi yoktu bunlar önemli seyler.,9.0,1.0,9.0,1604455187
Lezzetli ve doyurucuydu notlara dilkat ediyorlar özellikle kurye arkadaşa teşekkr ederim çok saygılı efendi biri.,9.0,10.0,9.0,1604368787
Böyle devam.,10.0,10.0,10.0,1604368787
Çok yerden sandviç yedim. Burası cidden malzeme kalitesi farkı var. Diğer yerden yediklerim bariz tavuk sucuk sosis koyuyolar. Çünkü kokuyor.,10.0,10.0,10.0,1604282387
Fiyat biraz düşse 10 üzerinden 10 olurdu.,9.0,9.0,9.0,1604195987
Güzel.,10.0,10.0,8.0,1604109587
"Fiyatlar yüksek ama sandaviç, ekmek arası tavuk ve patates kızartması çok iyiydi. Özellikle ekmek arası tavuğa 1.",9.0,9.0,9.0,1604109587
Böyle devam babalar :)).,10.0,10.0,10.0,1604071841
Lezzetli.,8.0,8.0,8.0,1604071841
"Uzun süredir buradan sipariş veriyorum gönül rahatlığıyla en iyi sandviçleri yapıyorlar diyebilirim, içindeki malzemeler ketçap mayonezine kadar marka ve lezzetli, yağmurlu günde sipariş vermeme rağmen kurye kardeşimiz çok hızlı geldi ve oldukça mütevazıydı, işini güzel yapan güzel insanlar baştacıs.",10.0,10.0,10.0,1604071841
Hızlı servis gayet iyi.,10.0,10.0,8.0,1604071841
Süperrr ellerinize sağlık :).,10.0,10.0,10.0,1604071841
Böyle bir lezzetti herkesin tatması lazım süper bi lezzet.,10.0,10.0,10.0,1604071841
Burası batmaz çok güzel tavsiye ederim.,10.0,10.0,10.0,1604071841
Elinize sağlık.,10.0,10.0,10.0,1604071841
Adamsınız.,10.0,10.0,10.0,1604071841
Orta :/.,5.0,5.0,5.0,1604071841
Yine her zamanki gibi çok iyiydi ayrica notlardaki ricamida kirmadilar hic bir zaman cok tesekkurler.,10.0,10.0,10.0,1604071841
Süper.,10.0,10.0,10.0,1604071841
