comment_text,comment_speed,comment_service,comment_taste,comment_time
Taze ekmek güzel menemen. 10 puan.,10.0,10.0,10.0,1606510037
"3/4tostunuz harika tam bekar, öğrenci işi:)sporcu menü de muazzam hiç bozmuyorsunuz gayat hızlı geliyor teşekkürler iyiki varsınız.",10.0,10.0,10.0,1606510037
Lezzetli hızlı teşekkürler.,10.0,10.0,10.0,1606423637
Başarılı.,10.0,10.0,10.0,1606164437
Daha önce iyiydi ama bu sefer bay tatsız geldi.,1.0,1.0,1.0,1606078037
Çok teşekkür ederim.,10.0,10.0,10.0,1606078037
Sarma feciydi tuzlu mu ekşi mi anlayamadım çok fazla pişirilmişti ayrıca. Mantı güzel yemekler sıcak ve zamanlı bir gönderim oldu.,10.0,7.0,6.0,1606078037
Bir kahvaltı tabağını ( peynir zeydin domates ) 50 dk da hazırlayıp 1 saat 10 dk da bana iletmeleri çok başarılıydı...,1.0,1.0,1.0,1606078037
İyi güzel de çok yağlı be üstelik not da da az yağlı olsun şeklinde belirtmiştim.,7.0,7.0,7.0,1605991637
Menemen çok lezzetli ama omlet fazla yağlıydı. Menü ile gelecek olan dimeste unutulmuştu. Ve çok geç geldi. Dikkat ederseniz seviniriz..,6.0,7.0,9.0,1605991637
Tost 10 numara.,7.0,8.0,10.0,1605818837
1 saat 6 dakikada geldi buz gibiydi soğuk tost yenir mi yenmez yiyemedik bizde birdaha asla.,1.0,1.0,1.0,1605818837
Izgara köfte o kadar yaglıydı ki... Sanki ızgara da degilde yagda kızartılmıs gibiydi (ki bence öyleydi) gelen paketin içinden yagı akıyordu. Ekmekler ona keza çok yaglıydı. Hayal kırıklığı oldu. Yanında gelen yogurt çok güzeldi. Söyleyeceklerim bu kadar.,8.0,9.0,3.0,1605732437
"Gönüllerin sahibi, muazzam bir kuryesi var, çok seviyoruz.",10.0,10.0,10.0,1605732437
Bildiğimiz ekmek arası tostu koca bornovada yapan tek yer...,10.0,10.0,10.0,1605646037
"Menemenleri, yoğurtlu karışık kızartması, mercimekli köftesi, kuru fasülye pilavı, tavuk şnitzeli, kısırı vs. Her ürününü denedim, hepsi efsane. Sanki evde anam yapmış gibi, gayet muazzam lezzetli, servisi de hızlı, sıcacık getirdiler. Fiyatlar da çok uygun. Mutlaka deneyin derim, memnun kalırsınız.",10.0,10.0,10.0,1605559637
İyiydi.,9.0,9.0,9.0,1605559637
Yaprak sarmanızı arkadaşlarımızla çok beğendik elinize sağlık ayrıca kuryenizin kibar davranışı içinde cok teşekkür ederiz.,10.0,10.0,10.0,1605559637
Tek kelime ile harikaydi.,10.0,10.0,10.0,1605559637
Kaşarlı ayvalık tostu istedim içinde domates turşu ketçap mayonez hiçbiri yoktu kağıt gibi tost göndermişsiniz ayıptır yani.,3.0,2.0,1.0,1605473237
"Pişi, gözleme, yumurtalı ekmek be yumurtalı patates söyledik ve sildik, süpürdük. Enfesti!",10.0,10.0,10.0,1605473237
Yemekler enfes ama yürüyerek getiriyosunuzu sanırım.,1.0,10.0,10.0,1605386837
Patlıcanlı ve patatesli gözleme efsaneydi çok beğendik ve çok sıcaktı ama pişi çok yağlıydı baya yağ çekmiş ona dikkat edilmeli.,7.0,10.0,8.0,1605386837
Sporcu menüsü güzel beğendim.,7.0,9.0,10.0,1605300437
Kahvaltıların vazgeçilmez mekanına teşekkürler :).,10.0,10.0,10.0,1605300437
Keske fiyatlar biraz daha uygun olsa.,10.0,10.0,10.0,1605300437
Sporcu menünün müdavimi oldum hiç bozmuyorsunuz.,10.0,10.0,10.0,1605214037
Hız iyiydi mezeler ve salatalarda iyiydi ama joker geldiği için muhtmelen bu porsiyon çok azdı köftelerde bir çeşit koku vardı tatlarını da beğenmedim umarım böyle devam etmez :(.,10.0,10.0,10.0,1605214037
Kızartma afedersin ama berbattı.,1.0,1.0,1.0,1605214037
"Hızlı sipariş, güzel servis. Sporcu menü harikaydı.",10.0,10.0,10.0,1605127637
Kizartma kotuydu paketleme rezaletti hiz cok iyi.,10.0,1.0,1.0,1605127637
Sporcu menünüz tam istediğim gibi gözlemeyi denedim lezzetli ve doyurucuydu ellerinize sağlık:).,10.0,10.0,10.0,1605041237
Yemeğim geidğinde sıcacıktı domates sosa sarımsak harikaydı ellerinize sağlık.,10.0,10.0,10.0,1605041237
Keşke eskisi gibi özenli olsanız.,8.0,10.0,5.0,1605041237
"Menemen cidden harika, diyecek söz yok.",10.0,10.0,10.0,1604954837
Çok hızlı ve sıcak geldi sporcu menü kesinlikle denenmeli sebzeli bulgur pilavı efsaneydi.,10.0,10.0,10.0,1604868437
Ekiden tost daha güzel ve yumuşaktı sanırım...,8.0,8.0,8.0,1604868437
Herzamanki ğibi çok lezzetli teşekkürler.,10.0,10.0,10.0,1604868437
Kesinlikle her sey cok guzel ve ozenle geliuor ellerinize saglik.,10.0,10.0,10.0,1604868437
"İlk açıldığınızdan beri sipariş veriyorum sizden, zaman geçtikçe daha iyi olmadınız, piyasada daha iyi nasıl kalabileceğinizi öğrendiniz sanırım. Menemenin tadı değişmiş, kaşarı azaltmışsınız, turşu bile koymamışsınız, pişinin yanına koyduğunuz zeytinin tadı kötü... İçinize siniyorsa ne diyelim..",9.0,5.0,5.0,1604782037
