comment_text,comment_speed,comment_service,comment_taste,comment_time
Hızlı ve lezzetli.,9.0,9.0,9.0,1606103419
Güzeldi.,10.0,10.0,10.0,1605844219
Kotu.,1.0,1.0,1.0,1604980219
Cidden kötü tavsiye etmem. Hem soğuk hem lezzeti iyi değil hem yavaş kurye.,1.0,1.0,1.0,1604461819
Bugüne kadar beğenerek aldığım bir yerdi. Ancak son gelen neydi öyle ya kalmışları göndermişler sanki.,7.0,7.0,1.0,1604375419
Super.,10.0,10.0,10.0,1604375419
Oldukça hızlı ve sıcacık geldi yanlız börekteki harç tam yerindeydi de poacaalarin icindeki harç görünmeyecek kadar azdı keşke börek gibi olsaydı onlarda ama bütün olarak kesinlikle hızlı ve güzel lezzetli teşekkürler.,10.0,10.0,10.0,1603992073
Çok hızlı geldi iyiydi.,10.0,8.0,9.0,1603992073
Defalarca sıcak gelmesini rica etsem bile yinede buz gibi geldi.,10.0,1.0,5.0,1603992073
Güzel.,10.0,10.0,10.0,1603992073
Güzeldi elinize sağlık.,10.0,8.0,9.0,1603992073
Lezzet sifir.,1.0,1.0,1.0,1603992073
Siparişten 1. 5 saat sonra geldi ve börek hamur gibiydi.,1.0,2.0,1.0,1603992073
Kıymanız kokuyordu ilk defa. Bozmayın lütfen.,10.0,9.0,2.0,1601362327
Bir saat sonra geldi.,1.0,10.0,10.0,1601362327
Kötü.,1.0,1.0,1.0,1601362327
Küt böreğinin yanında pudra şekerini dökmeden gönderirseniz minik paketler içinde daha iyi olur. Su böreği rezaletti ama patatesli börek hayatımda yediğim en iyi patatesli börekti.,10.0,9.0,8.0,1601362327
Hizli geldi ancak lezzet ortalamanın altındaydı.,10.0,8.0,3.0,1601362327
Kotu.,1.0,1.0,1.0,1601362327
Kötü.,1.0,1.0,1.0,1601362327
Kötü.,1.0,1.0,1.0,1601362327
Bi boğaca geliyor yedikçe yiyesi var insanin her sabah 4 5 boğaça 500 gram börek siparişi veriyorum rahatsız etmiyor lezzet 10 az kalır fazla olsa fazla veririm tek lezzet özhamur.,7.0,10.0,10.0,1601362327
İyi.,10.0,10.0,10.0,1601362327
Kötü.,1.0,1.0,1.0,1601362327
Kötü.,1.0,1.0,1.0,1601362327
Akbozdan istedim güzeldi fiyatı uygun.,10.0,10.0,10.0,1601362327
Güzel ilgileniyorlar.,10.0,10.0,10.0,1601362327
Fena değildi ama porsiyonlar az.,9.0,8.0,7.0,1601362327
Güzeldi.,9.0,9.0,10.0,1601362327
Guzel.,10.0,10.0,10.0,1601362327
Güzel ellerinize sağlık.,10.0,10.0,10.0,1601362327
Yine çok iyiydi.,10.0,10.0,10.0,1601362327
On numar beş yıldız.,10.0,10.0,10.0,1598732581
Yine berbat geldi börekler artık istemiyecem.,1.0,1.0,1.0,1598732581
Eski tat yok börekleer soğuk geliyor.,10.0,1.0,1.0,1598732581
Hızlı ve güzel.,10.0,10.0,10.0,1598732581
Bulamaç gibi börek geldi insan bı içine düzgün bırakır kepçeyle doldurmuş sunuz sanki.,1.0,1.0,1.0,1598732581
Güzeldi.,9.0,8.0,9.0,1598732581
Iyı ıyı.,10.0,10.0,10.0,1598732581
Su böreği tam pişmemişti ve peynirli börek çok tuzlu geldi patatesli börek de normaldi çok beğenemedim malesef ama hızlı geldi.,10.0,9.0,6.0,1598732581
Güzel.,10.0,10.0,10.0,1598732581
Servis hızlı börek süper daha ne olsun.,10.0,10.0,10.0,1598732581
Hızlıydı.,8.0,8.0,8.0,1598732581
Teşekkürler.,10.0,10.0,10.0,1598732581
Hızlı geldi paketleme güzeldi ama sanki kıymalı böbrekte kıymadan çok salça vardı.,10.0,10.0,7.0,1598732581
Bayağı iyiydi ama keşke yanında çatalda olsaydı ve hızlı geldi.,10.0,9.0,10.0,1598732581
"Başka bir arkadaşın dediği gibi, adamlar ışınlamayı bulmuş harbiden. Siparişi verdikten 13 dk sonra elime ulaştı. Üstelik ev yakın olmamasına rağmen. Servis desen 10 numara, notta yazdıklarıma harfiyen uymuşlardı. Böyle işletmelere hasret kaldık.",10.0,10.0,10.0,1598732581
Süper.,10.0,10.0,10.0,1598732581
Herşey çok güzeldi hemen geldi.,10.0,10.0,10.0,1598732581
Tesekur ederım.,10.0,10.0,10.0,1598732581
Tesekurler.,10.0,10.0,10.0,1598732581
Beklediğimden daha iyiydi.,7.0,8.0,9.0,1598732581
Abicim ışınlanmayı mı keşfettiniz bu ne hız? Keşke fazla puan verebilseydim. Şu an sadece 10 puan veriyorum diye üzülüyorum. Yarın düşüncem gerçekten sadece 10 mu yani? Bundan sonra kimseye 10 puan yok. Sizden başka...,10.0,10.0,10.0,1598732581
Yillarin değiştirmediği lezzet.,10.0,10.0,10.0,1598732581
Gayet lezzetli..,8.0,8.0,8.0,1596102835
Hizli.,10.0,8.0,8.0,1596102835
Hız biraz daha geliştirilmeli.,8.0,10.0,10.0,1596102835
Su böreği güzeldi.,10.0,8.0,9.0,1596102835
Mükemmel.,10.0,10.0,10.0,1596102835
Elinize sağlık.,7.0,8.0,9.0,1596102836
Hızlı geldi servis özensiz su böreği iyi değildi.,8.0,5.0,1.0,1596102836
