comment_text,comment_speed,comment_service,comment_taste,comment_time
Siparis ettigimiz hersey cok lezzetliydi. Gonul rahatligiyla tercih edebilirsiniz. Ellerinize saglik sahane doyduk.,10.0,10.0,10.0,1606642437
Hem lezzetli hem hizli hem sicak.,10.0,10.0,10.0,1606383237
Mantilari basarili ve sicak geliyo.,10.0,10.0,10.0,1606296837
Kelle paça çorbası güzeldi. Tavuk şiş gayet güzeldi. İçli köfte aslında güzeldi ama ceviz yoktu bu beni üzer. Köftesini sevmedim.,10.0,10.0,8.0,1606210437
Çiğ börek harika ellerinize sağlık.,10.0,10.0,10.0,1606124037
Harikaydii.. Sadece tuz oranina az dikkat edilmeli bunun disinda lezzetliydi.,10.0,10.0,10.0,1606037637
Tesekkurler.,10.0,10.0,10.0,1605951237
Peynirli gözleme harika ellerinize sağlık.,10.0,10.0,10.0,1605951237
Cok başarılısınız.,10.0,10.0,10.0,1605605637
Ayran istemiştim o gelmedi. Onun haricinde her şey çok güzeldi.,10.0,8.0,10.0,1605519237
Çi börek çok lezzetli içi bol içli köfte muhteşem 20 dk ve sıcacık geldi kurye saygılı güler yüzlü teşekkür ederim.,10.0,10.0,10.0,1605432837
Teşekkürler hızlı geldi lezzetli.,10.0,10.0,10.0,1605087237
İyiydi.,9.0,10.0,10.0,1605000837
Lezzet.,6.0,8.0,10.0,1605000837
15 dakikada geldi. Yemekler sıcak ve lezzetliydi. Çiğ börek ef-sa-ne.,10.0,10.0,10.0,1604914437
Tek diğebileceğim şey efsane lezzet.,10.0,10.0,10.0,1604828037
Patatesli gozleme biraz acili geldi ama lezzetliydi.,10.0,10.0,9.0,1604396037
Tesekkurler.,10.0,10.0,10.0,1604396037
Notlara yazmayı unuttuğum halde her zamanki gibi gönderdiğiniz için teşekkürler!,10.0,10.0,10.0,1604309637
Gercekten yemek sepetinde boyle bir isletmenin olmasi cok ama cok sevindirici lezzetli hizli sicak servis eksiksiz bravo boyle devam.,10.0,10.0,10.0,1604223237
"Peynirli gözleme harikaydı, hız mükemmel fakat mantı vasattı bir önceki siparişimde kıyma yoğurt dengesi çok güzeldi bu seferki sulu bir yoğurt içinde yüzen sanki marketten hazır dondurulmuş alınan mantı tadında idi bu konuda bir güncelleme yapmalısınız. Sizi seviyoruz.",10.0,5.0,9.0,1604223237
