comment_text,comment_speed,comment_service,comment_taste,comment_time
Lezzeti ve hızı çok iyiydi.,10.0,10.0,10.0,1606601261
Gayet lezzetliydi. Hızlı geldi. Tavsiye ederim.,10.0,10.0,10.0,1606428461
Köfte çok lezzetliydi elinize sağlık.,10.0,10.0,10.0,1606342061
İlk defa yemek siparişi verdim. Servis hızlı. Köfte çok güzeldi. Kullandıkları malzemeler gayet taze ve lezzetli. Kurye arkadaşımız çok kibar çok saygılı bir insan. Teşekkür ederim. Ellerinize sağlık.,10.0,10.0,10.0,1606255661
Köftesi çok güzeldi tavsiye ederim hızlı ve lezzetli.,10.0,10.0,10.0,1606169261
Köfte güzeldi.,10.0,9.0,9.0,1605996461
Servis çok iyi lezzet 10 numara. Kokoreç burdan yenir.,10.0,10.0,10.0,1605910061
Kokoreçleri güzel deneyin.,7.0,7.0,10.0,1605910061
Kokoreçleri çok güzel deneyin derim.,7.0,8.0,10.0,1605823661
On numara köftesi var.,10.0,10.0,10.0,1605478061
Lezzetli.,10.0,8.0,8.0,1605478061
Tek kelimeyle buradaki tatlar muhteşem deneyin ve görün bağımlılık yapacağına eminim.,10.0,10.0,10.0,1605046061
Gerçekten mükemmel bir işletme ben çok memnunum.,10.0,10.0,10.0,1604873261
Kokoreç harikaydı ayrıca notları dikkate aldığınız için teşekkür ederim.,10.0,10.0,10.0,1604614061
Midyeler yeterli temizlememişti. Kokoreç büyük kıyım ve lezzetsizdi...,9.0,5.0,4.0,1604527661
Personeller güler yüzlü servisi zamanında geliyor herkese tavsiye ederim varsak ve çevresinde en iyisidadaş kokoreçe teşekkür ederim.,10.0,10.0,10.0,1604354861
Ekmek cok bayatti.,6.0,1.0,5.0,1604354861
Köftesi çok güzel çok hızlı getiriyorlar.,10.0,10.0,10.0,1604009261
Midyeler lezzeti güzeldi büyüklüğü gayet iyidi sadece açarken midye ikiye ayrıldı genel olarak bir top halinde değildi bu konuda sorun çözülürse 10 numarayı hak eder.,10.0,9.0,9.0,1604009261
