comment_text,comment_speed,comment_service,comment_taste,comment_time
Porsiyonlar verilen paraya değiyor.,10.0,10.0,10.0,1606651346
Bol koymuşlardı.,10.0,10.0,10.0,1606478546
Ellerinize emeğinize sağlık joker kampanyasından söylememe rağmen herşey harikaydı. Günün her saati yiyebilirsiniz sıfır hata (kavurma-pastırma şahane gram rahatsızlık vermedi.. ).,10.0,10.0,10.0,1606478546
Güzeldi.,9.0,9.0,9.0,1606478546
Uzak olmama rağmen hızlı ve pideler yeni pişmiş gibi sıcak geldi. Pideler doyurucu ve malzemesi yeterliydi.,10.0,10.0,10.0,1606392146
Adam işi.,9.0,9.0,9.0,1606305746
Güzeldi.,10.0,10.0,10.0,1606219346
Hayatımda yediğim en iyi pide sosu falan o kadar iyi ki ve belirtilen sürede geldi ama fırındaki arkadaşlar biraz laubali gibi bazı pideleri yakmışlar ama yinede 9 veremeyeceğim kadar güzeldi ve bu salataya 4 tl fiyat biçilmesi hoş olmadı servisten kırdım o yüzden ama lezzet harika.,10.0,9.0,10.0,1606219346
Bayıldık ellerinize sağlık!,10.0,10.0,10.0,1606132946
Adam işii.,9.0,9.0,9.0,1605873746
Her zaman sıcak ve aynı lezzet teşekkür ederiz.,10.0,10.0,10.0,1605873746
Jokerle söyledim her şey özenle hazırlanmıştı her şey çok güzeldi sunumlarini servislerini ilgilerini çok beğendim anlamadığım bir kaç şey vardı kır pidesi yerine küçük pizza geldi o da gayet lezzetli ve güzeldi bir de biraz fazla yağlıydi her yer yağ olmuştu onlar haricinde mükemmel.,10.0,10.0,9.0,1605873746
Çok lezzetli.,10.0,10.0,10.0,1605787346
Hamuru kir pidesi hamurundan. Kavurmali kasarli pideyi begendim ama kiymali kasarli o kadar güzel degildi. Yaninda salata ve aci biber göndermeleri güzeldi.,10.0,8.0,8.0,1605787346
Adam işi lezzet. Servis daha iyi olabilir.,9.0,7.0,9.0,1605441746
"1 saatte geldi, aşırı yağlıydı ve geldiginde pide buz gibiydi yağları agzimda dondu.",1.0,1.0,1.0,1605441746
Kır pidesi in içine koyduğunuz harcıtr abzon pideye ko ya maz sı nız böyle bir şey var mı ya kuş başılı pide söyledik kurban eti midir nedir o nasıl bir et abi hız servis tamam ama lezzet vasat ilk ve sondu.,8.0,7.0,1.0,1605355346
Kıymalı ve patatesli önerimdir.,9.0,9.0,8.0,1605268946
"3 adet kavurmalı kaşarlı pide aldım, yanında 3 adet salata yollamışlar çok sağolsunlar sürekli tüketimde bulunduğum bir dükkan. Hiç düşünmenize bile gerek yok, söyleyin yiyin.",10.0,10.0,10.0,1605268946
Hizmet akıyor.,9.0,9.0,9.0,1605182546
3çoban salata 1 mevsim salata söyledim hepsi aynı geldi. Ben anlamadım o zaman ikisinin arasında niye fiyat farkı var?,10.0,6.0,8.0,1605096146
Sipariş ettiğim patatesli kır pideleri gelmedi ve gelen karışık pideler soğuktu.,6.0,4.0,8.0,1605096146
On numara sipariş oldu valla aşırı hızlı geldi tekrar tekrar sipariş verilir.,10.0,10.0,10.0,1605009746
Hız ve servis güzeldi ancak kır pidesi hamuruyla yapmıslardı. Bana hitap etmedi.,9.0,9.0,5.0,1604923346
"Süper hızlı olmasa da hızlıydı. Pideyi kutunun içine koyarken yağlı kağıt koymuşlar, yağ, kutunun dışına taşmamış ve bu çok güzel hareket. Bu sebeple servis tam 10 puan. Lezzete gelince, pastırması azdı ve et birazcık kokuyordu, bu sebeple 9 puan verdim. Siparişe ve verilen paraya değer.",9.0,10.0,9.0,1604750546
Mükemmel.,10.0,10.0,10.0,1604404946
Gayet başarılı makul fiyat. Örnek alınması gereken işletme.,8.0,10.0,10.0,1604404946
Cok seri servisleri var sunumları özenerek ama tavuklu pidesinin tadı bir başka deneyin pişman olmıyacaksınız.,10.0,10.0,10.0,1604108000
Mükemmel lezzet sıcacık servis.,10.0,10.0,10.0,1604108000
Siparişim eksik geldi kolam gelmedi o yuzden servisten 1 puan kırdım.,8.0,7.0,8.0,1604108001
Güzeldi ellerinize sağlık.,10.0,10.0,10.0,1604108001
Yapıyosunuz bu işi.,10.0,10.0,10.0,1604108001
Ultra hızlı.,10.0,10.0,10.0,1604108001
Mükemmeldi bayıldım tekrar tekrar sipariş vermeyi düşünüyorum ellerinize sağlık.,10.0,10.0,10.0,1604108001
Guzeldi. Lezzetli ve sicakti. Tebrik ediyorum.,8.0,10.0,10.0,1604108001
Tavuklu pideler çok lezzetli ve ucuz.,10.0,10.0,10.0,1604108001
Git gide servis süresi ve lezzeti azalıyor.,1.0,1.0,1.0,1601478255
Paketleme biraz daha özenli olabilir onun dışında harika.,10.0,10.0,10.0,1601478255
"Servisi, hızı, lezzeti her şeyi ile 10 numara.",10.0,10.0,10.0,1601478255
Cidden çok iyiydi ellerinize sağlım.,10.0,10.0,10.0,1601478255
En iyi pidee.,10.0,10.0,10.0,1601478255
"Kuryelik yapan abi saf temiz biri, biraz iş ile alakalı desteğe ihtiyacı var. Lütfen biraz iş ile alakalı geliştirici eğitimlerde bulunun. Bir yanlışı ve ya olumsuz birşeyi olmadı.",7.0,10.0,10.0,1601478255
"Hep iyi, hep süper. Diyecek bir şey yok. Emeğinize sağlık.",10.0,10.0,10.0,1601478255
