comment_text,comment_speed,comment_service,comment_taste,comment_time
Hizli ve lezzetli elinize sağlık. Başarılı.,10.0,10.0,10.0,1606602386
Pizzalar çok iyiydi.,10.0,10.0,10.0,1606602386
Zero cola istedim şekerli geldi tek sorunumuz bu :).,7.0,6.0,10.0,1606515986
Mükemmel.,10.0,10.0,10.0,1606515986
Sufle güzel.,10.0,10.0,10.0,1606429586
Nice performance.,10.0,10.0,8.0,1606343186
Servis hızlı lezzet zaten efso 10. 10. 10.,10.0,10.0,10.0,1606343186
Ketçap gelmedi. Ama lezzet beni etkiledi. Hep böyle olun..,10.0,7.0,10.0,1606343186
Dostum pizza harikaydi ama pizzayi fazla kesmissiniz oyuzden parca parca ayrilmis butun halinde degilde daginik geldi ama guzeldi yine birazdaha geliistirebilirsiniz kendinizi. Kurye arkadasda cok iyi mutavazi birisi.,10.0,10.0,10.0,1606343186
Hızlı ve süperdi.,10.0,10.0,10.0,1606256786
100..,10.0,10.0,10.0,1606256786
Muhteşem lezzet muhteşem hız.,10.0,10.0,10.0,1606170386
Başarılı süpersiniz gençler.,10.0,9.0,10.0,1606083986
Hızlı ve sıcacık geldi kurye de çok kibardı teşekkürler :).,10.0,10.0,10.0,1606083986
"Fırında biraz fazla kalmış, kurumuş. Onun haricinde tadı güzeldi.",10.0,10.0,8.0,1606083986
Mükemmelllllll.,10.0,10.0,10.0,1606083986
Tadı damağımda kaldi.,10.0,10.0,10.0,1605997586
Hiz. Lezzet. Harika...,10.0,10.0,10.0,1605997586
Bolgenin en iyisi.,10.0,10.0,10.0,1605997586
Süper.,10.0,10.0,10.0,1605997586
"Olması gereken hızda geldi. Pizzalarınızı fırında uzun tutup fazla pişirerek hamuru kıtır hale getirmeniz güzel bi yorum olmuş, ben beğendim. Konu lezzete gelince pizzanız kıtır hamur üstü menemen gibiydi. Pizzanızın üstüne iki yumurta çakılsa kusursuz menemen olur. Biber, domates ve sosu azaltmalı.",9.0,10.0,6.0,1605997586
Cola zero istedim ama normal cola geldi pizzalar kutunun içinde sag sola gitmişti üst üste çıkan da vardı.,7.0,4.0,7.0,1605997586
Fındık kadar sufle 10 lira.,8.0,8.0,6.0,1605997586
Cidden çok güzel olmuş iki kişi doyurdu büyük boy.,10.0,10.0,10.0,1605911186
Yani hazır sufleyi pişirmeden neden getirir ki bir insan?,8.0,1.0,1.0,1605911186
