comment_text,comment_speed,comment_service,comment_taste,comment_time
Güzeldi. Kavurmalıyı ayrıca beğendik.,10.0,10.0,10.0,1606640983
Börek harikaydı.,10.0,10.0,10.0,1606295383
Siparişim 10 dakikada geldi lezzeti ve sıcaklığı harikaydı bundan sonra tek adresim levent börek vazgeçilmezim oldu kesinlikle.,10.0,10.0,10.0,1606295383
Harika bi lezzet sicacik ve erken teslim icinde ayrica tesekkurler bundan sonra tek adresimsiniz.,10.0,10.0,10.0,1606208983
Gerçekten benzeri değil aslıymış.,9.0,10.0,10.0,1606208983
Börek sıcak ve çok tazeydi sipariş verdikten 15 dakika sonra geldi.,10.0,10.0,10.0,1606122583
Sıcak lezzetli ve çok cabuk geldi elınıze sağlık.,10.0,10.0,10.0,1605863383
25 liraya 4 küçük dilim kıymalı börek geldi doymadım sıcak da değildi son siparişim oldu.,10.0,6.0,7.0,1605604183
Güzeldi beğendim.,9.0,9.0,9.0,1605604183
Peynirli börek enfes. Elinize sağlık.,10.0,10.0,10.0,1605517783
Böreğin lezzetinde sıkıntı yok da sıcaklığı tam iyi değildi içindeki peynir akışkan olsaydı çok daha güzel olurdu genede iyisiniz...,10.0,9.0,8.0,1605431383
"Gayet hizliydi, servis de guzeldi. Sicak geldi borekler.",10.0,10.0,10.0,1605431383
Sıcak yesek belki daha lezzetli gelebilir belki.,9.0,9.0,9.0,1605344983
Şahane ben böyle bir börek yemedim.,10.0,10.0,10.0,1605258583
"Kesinlikle tavsiye ederim ilk kez sipariş verdim lezzeti, hızı ve sıcaklığı süperdi.",10.0,10.0,10.0,1605258583
Pastırmalısı net harika.,10.0,10.0,10.0,1605085783
Peyniri enfesss.,10.0,10.0,10.0,1604999383
"Siparis mesafeye ragmen hizli ve sicak geldi, gayette lezzetliydi.",10.0,10.0,10.0,1604999383
Valah best börek.,10.0,10.0,10.0,1604999383
Harun beye teşekkür ederim hızlı geldiği için.,10.0,10.0,10.0,1604912983
"Gayet hızlı geldi. Lezzeti tartışmasız mükemmel, porsiyonları doyurucu.",10.0,10.0,10.0,1604912983
Severek yediğimiz lezzet sonunda kapımıza da geldi. Kesinlikle tek favorim.,10.0,10.0,10.0,1604912983
"Börekte tek geçerim. Sabah kahvaltımın vazgeçilmezi, özellikle pastırma ve peynirlisi favorim.",10.0,10.0,10.0,1604912983
Yemek sepetindeki ilk müşteri olup ilk puanlayan benim. Gerçekten gebze de yemek sepetinde böyle bir börekçi eksikti ıspanaklı ve peynirli börek söyledim çok kısa bir süre içerisinde getirildi. Her şey tam kıvamında güzeldi inşeallah böyle devam eder hayırlı işler...,10.0,10.0,10.0,1604912983
Böyle bir lezzet daha önce tatmadim. Peynirli ve pastırmalı denedim. Pastirmanin içinde kaşar peyniri olmasi harika bi detay kesinlikle favorim.,10.0,10.0,10.0,1604912983
Adanada tattığımız lezzet gebzeye gelmiş be mükemmel tat.,10.0,10.0,10.0,1604912983
