comment_text,comment_speed,comment_service,comment_taste,comment_time
Sıcak geldi ve lezzetliydi.,10.0,10.0,10.0,1606693388
"Her zamanki gibi çok iyiydi, hızlı ve sıcak geldi yine. Çok çok iyi ellerine sağlık.",10.0,10.0,10.0,1606693388
"Bundan sonra adres belli. Kokoreçinden midyesine her şey efsane. İlgi, alaka ve lezzet muhteşem. Not : acıyı sevenler bol acılı isteyin ve tadını çıkartın.",10.0,10.0,10.0,1606606988
Çok hızlı güzel.,9.0,9.0,7.0,1606520588
"Kokoreçe lafım yok ama midyeler hüsran, sade pilav yedik.",9.0,8.0,7.0,1606520588
Herşey çok güzeldi elinize sağlık sadece extra kokoreç için porsiyon az bence.,10.0,8.0,10.0,1606520588
"Efsane kral mekan saolsunlar öğrenci halimizle bizi yalnız bırakmadılar destek oldular, teşekkürler tekrardan.",10.0,10.0,10.0,1606520588
Kalitenizi bozmayın. Sayenizde kokoreç yerken keyif alıyoruz...,10.0,10.0,10.0,1606520588
Ya biraz eleştirileri dikkate alin o kadar elestiri vsr 3 parca ekmeginiz yarim ekmek gibi yariminiz çeyrek gibi şu ekmeği degiştirin artik. Herkes yazmiş yorumlarda eleştiriyi dikkate alana kadar ben birdaha sipariş vermem. Lezzet olarak çok iyisiniz eyvallah ama ekmek işi bozuyor.,7.0,7.0,8.0,1606520588
Efsane.,10.0,10.0,10.0,1606434188
Lezzetli.,10.0,10.0,10.0,1606434188
Urunler hizla geldi. Ama porsiyonlar resmen dalga gecer gibiydi. Yarim ekmek kokorec neredeyse 3te1 ekmek ve ici azicikti. Sogus ise daha komedi. Hayatimda bu kadar az etli sogus yemedim. Tek artisi urunler normal porsiyonda gelseydi gece gece cok yemis olurdum. Zarari cuzdanima oldu.,10.0,1.0,1.0,1606434188
Çok güzeldi çok beğendim.,10.0,10.0,10.0,1606347788
Ustam gerçekten ellerinize sağlık devamlı beğenerek söylediğim lezzet ellerinize sağlık ustam...,10.0,10.0,10.0,1606261388
Hızlı ve sıcak geldi.,10.0,10.0,10.0,1606261388
Lezzet olarak hayran kaldım çok güzeldi ve çabuk geldi memnun kalıp kalmadığımı öğrenmek için aradılar çok kibarlardı tavsiye ederim.,10.0,10.0,10.0,1606261388
Hem kokoreç hem söğüş söyledim. 2side dolu dolu ve doyurucuydu. Hayırlı işleriniz olsun.,10.0,10.0,10.0,1606261388
1 yıldır vazgeçemediğim tek kokoreççi hem hızlı lezzetli hemde çok başarılı bir işletme.,10.0,10.0,10.0,1606261388
