comment_text,comment_speed,comment_service,comment_taste,comment_time
 yayla çorbası harikaydı.,10.0,10.0,10.0,1606772167
"Lezzetiyle, kuryesiyle 10 numara 5 yıldız.",10.0,10.0,10.0,1606685767
Cok lezzetliydi ama servis cok yavasti..,1.0,10.0,10.0,1606426567
Tavukburgerin icindeki sogan tadini bozuyor. Corba biraz tuzsuzdu. Genellikle ama guzel. Tesekkurler.,8.0,8.0,5.0,1605821767
Emeğenize sağlık.,9.0,9.0,9.0,1605562567
Beğendim.,10.0,10.0,10.0,1605389767
Lezzet ve hizmet 10 numara.,10.0,10.0,10.0,1605389767
Menüler harika hemde jokerle bile.,10.0,10.0,10.0,1605303367
"Çorba ne yazık ki dökülmüştü epey. Gelen pilav yanıktı ve azdı, bitmiş ve tencere dibi konulmuş gibi izlenim aldım.",9.0,7.0,7.0,1605303367
Çorba istedim ilk olarak gerçekten çok lezzetliydi sıcaktı pizza karışık çok güzeldi bi o kadarda hızlıydı.,10.0,10.0,10.0,1605303367
Chesecakelerinizi ilk defa denedim gayet güzeldi fakat tiramisu bekledigim gibi değildi.,8.0,8.0,4.0,1605216967
Çok harika.,10.0,10.0,10.0,1604957767
Peynirli ve patatesli 2 ayrı gozleme yedim. Peynirli lorluydu ancak çok kuru ve lezzetsizdi. Patateslide de iç çok azdı daha çok yufka tadı geliyordu.,10.0,10.0,4.0,1604957767
Köri soslu tavuk lezzet olarak gerçekten çok iyiydi..,8.0,9.0,10.0,1604784967
Çok iyi.,10.0,10.0,10.0,1604784967
Jokerle verdiğim siparişten tam fiyatı istediler sipariş bilgisini gösterince indirimli fiyatı ödedim. Sipariş ilk düştüğünde arayıp tam fiyatla yollasam olur mu demişlerdi. Kabul etmemiştim. (1. 5 saatte ve buz gibi gelmiştir bağırsam sesim gelecek uzaklıktadır. ).,1.0,1.0,1.0,1604698567
Fiyatın hakkını veriyorsunuz tebrikler.,10.0,10.0,10.0,1604525767
"Sipariş zamanda geldi. Sezar salata sosu çok kötü, çok tuzlu ve ekşi. Tavuk çok kuru ve ser oldu. Evet, porsiyon büyük, ama lezzetli değil. Plastik tabağı, çatalı istemedim. Koymayın, lütfen yazdım size, ama okumamışsınız, verdiniz bana. Lütfen, yazdığımı okuyun!",9.0,7.0,4.0,1604439367
Tam zamanında ve lezzeti iyi tebrikler teşekkürler.,10.0,10.0,10.0,1604352967
Teşekkürler.,10.0,10.0,10.0,1604352967
Gayet hızlı lezzetli ve hijyenik.,10.0,10.0,10.0,1604142421
Lezzet 10numaraydi kuryenizde çok beyfendiydi elinize sağlık başarılarınızın devamı ile.,10.0,10.0,10.0,1604142421
Gayet başarılı.,10.0,10.0,10.0,1604142421
Teşekkürler çok hızlı ve lezzetliydi. Motorcunuz çok beyefendi.,10.0,10.0,10.0,1604142421
Tesekkur.,10.0,10.0,10.0,1604142421
Ellerinize sağlık çok beğendim.,10.0,10.0,10.0,1604142421
Pilavı biraz lapa idi onun dışında güzeldi.,7.0,8.0,8.0,1604142421
Çok kötü.,1.0,1.0,1.0,1604142421
Emeğiniz için teşekkürler gayet lezzetli ve hızlıydı.,10.0,10.0,10.0,1604142440
Köri soslu menü aldım menüde olan çorba gelmedi.,1.0,1.0,1.0,1604142440
Çok memnun kaldım teşekkür ederim.,10.0,10.0,10.0,1604142440
Lezzita lezzita el mamasita.,9.0,10.0,10.0,1604142440
Hayırlı olsun lezzetli ve hızlı geldi böyle devam idin.,10.0,10.0,10.0,1604142440
