comment_text,comment_speed,comment_service,comment_taste,comment_time
Harikaaa.,10.0,10.0,10.0,1606598630
Fena degil.,10.0,9.0,8.0,1606598630
İyi güzel.,10.0,10.0,10.0,1606253030
Ayran siparşim gelmedi.,9.0,5.0,9.0,1606253030
Güzeldi bol marul iyiydi limon az göndermişler.,9.0,9.0,9.0,1606253030
Marul kötüydü ama olsun.,9.0,8.0,9.0,1606166630
Dürüm diğer yerlere göre ince geldi. Ama lezzeti ve hızı çok iyiydi tesekkürler.,10.0,8.0,10.0,1606080230
Taze ve lezzetli dürümler güzel e daha ne olsun teşekkür ederiz.,10.0,10.0,10.0,1606080230
Mis gibi çiğ köfte getiriyolar.,10.0,10.0,10.0,1606080230
Ellerinize sağlık.,10.0,10.0,10.0,1605993830
Servis zamanin da geldi. Lezzeti guzel di.,8.0,7.0,8.0,1605389030
İyi.,10.0,10.0,10.0,1604525030
Çok güzel ve taze.,10.0,10.0,10.0,1604438630
Diğer battalbey lerden çok farklı hem taze en lezzetli artı çok hızlı getiriyorlar ellerinize sağlık.,10.0,10.0,10.0,1604055284
Ellerinize sağlık. Sanayi tost yedim çok lezzetliydi...,10.0,10.0,10.0,1604055284
Elinize sağlık çok güzel olmuş.,10.0,10.0,10.0,1604055284
Eywallah reis.,10.0,10.0,10.0,1604055284
Çok hızlı ve çiğköftesi gerçekten güzeldi.,10.0,10.0,10.0,1604055284
"Çok geç saatte sipariş vermeme rağmen özenle hazırlanmış, temiz düzgün paketlenmiş ve lezzetliydi, porsiyonu doyurucuydu, notuma dikkat edilmişti, kurye maskeli ve kibardı, teşekkür ediyorum.",10.0,10.0,10.0,1604055284
Gayet iyi.,10.0,10.0,9.0,1601425538
İyiydi.,9.0,9.0,9.0,1601425538
Guzel abi.,10.0,10.0,10.0,1601425538
Kötünün iyisi.,9.0,9.0,7.0,1601425538
9 dakika da geldi tadı da muhteşemdi tek kelimeyle efsane.,10.0,10.0,10.0,1601425538
Kaliteli hizmet tşkler hayırlı işler.,10.0,10.0,10.0,1598795792
Ellerine sağlık çok güzel olmuş.,10.0,10.0,10.0,1598795792
Diğer battalbeylerden çok farklı harika lezzet ayrıca kuryeleride çok kibar teşekkür ederim emir :) ayağına sağlık.,10.0,10.0,10.0,1598795792
Elinize sağlık...,10.0,10.0,10.0,1598795792
Muhteşem.,10.0,10.0,10.0,1598795792
Lezzeti hızı on numara.,10.0,10.0,10.0,1598795792
10 adet çiğ köfte söyledik parasını nakit olarak ödedik içinden 9 adet çıktı arayıp bildirdik fakat diğer çiğ köfteyi getirmediler.,1.0,1.0,1.0,1598795792
İyi.,10.0,10.0,10.0,1598795792
Damak çatlatan bir lezzet teşekürler.,10.0,10.0,10.0,1598795792
Kurye güler yüzlüyüdü ve yediğim bir çok battalbeyden bin kat daha güzeldi.,10.0,10.0,10.0,1598795792
İşlerinde çok iyiler teşekkür ediyorum.,10.0,10.0,10.0,1598795792
Cengiz usta eline sağlık doyurucu ve lezzetli herzamanki gibi.,10.0,10.0,10.0,1598795792
Lezzetli ve bol malzemeli elinize sağlık çok lezzetliydi kurye kardeşim emirede çok teşekkür ederim ışınlanmayı icat eden tek kurye.,10.0,10.0,10.0,1598795792
Ağzı olan konuşuyor kimse çamur atmasın bence adamların çiğ köftesi harika ve tazecikkk.,10.0,10.0,10.0,1598795792
Adamlar harika. Böyle bir lezzet yok acayip iyi hadi kolay gelsin.,10.0,10.0,10.0,1598795792
Tavsiye etmem açıkçası.,1.0,1.0,1.0,1598795792
"Not kısımlarını okuyup dikkat ediyorlar. Çok da lezzetliydi, elinize sağlık.",10.0,10.0,10.0,1598795792
Porsiyonlar çok az. Dürüm incecik geldi. Notlar okunmuyor. Servis hızlı.,9.0,4.0,8.0,1598795792
Cok cok hızlı geldi teşekkür ederim.,10.0,10.0,10.0,1598795792
Mükemmelbir lezzet.,10.0,10.0,10.0,1598795792
Servis güzel.,10.0,10.0,10.0,1598795792
Notlara dikkat edilmiyor.,3.0,4.0,5.0,1596166046
Sadece dürüm geldi yanında en azından sos vs bekledim.,8.0,6.0,8.0,1596166046
"Hızlı teslimat. Çiğ köftenin tadı da güzeldi, paketlemesi özenliydi.",10.0,10.0,10.0,1596166046
Lezzetli.,10.0,10.0,10.0,1596166046
Porsiyon azdı.,8.0,7.0,10.0,1596166046
"Hem telefonda görüştüğüm beyefendi hemde kuryeci abi çok nazikti. Hız süper, lezzete laf söylenmez. Daha ne olabilir? Emeklerinize sağlık, tek adres sizsiniz.",9.0,9.0,9.0,1593536300
Hızlı geldi. Kuryeniz ali çok nazikti teşekkür ederiz.,10.0,10.0,10.0,1593536300
İdare eder.,5.0,5.0,5.0,1593536300
Çiğköftenin içinde çok hafif kendi acısı olsa güzel olur. Ekstra acı atmayınca çok tatlı gelir nar ekşisinin de etkisiyle.,8.0,9.0,8.0,1593536300
Güzel.,10.0,10.0,8.0,1593536300
Allah askina siparis notlarina biraz dikkat edin. Tursuya alerjim var koymayin dedik tursuyla marul yedim. Nar ekşisi bol dedim sıfırdı..,6.0,1.0,1.0,1593536300
Çok güzel.,10.0,10.0,10.0,1593536300
Güzeldi.,10.0,10.0,10.0,1593536301
Hız ve paket içeriği 10 numara idi bu kadar fazla yan ürün gönderen battalbet bulamazsınız.,10.0,10.0,10.0,1593536301
Lezzetli.,10.0,10.0,10.0,1593536301
Muazzam bir işletme her şeyi çok kaliteli elinize sağlık.,10.0,10.0,10.0,1593536301
Çok hızlıydı teşekkürler.,9.0,9.0,9.0,1590906555
