comment_text,comment_speed,comment_service,comment_taste,comment_time
Hızınız gerçekten çok iyiydi. O kadar kısa sürede hem hazırlayıp hemde getirmeniz çok şaşırttı. Kokorecin tadida gerçekten güzeldi ve sıcaklığı da çok iyiydi.,10.0,10.0,9.0,1606176378
Mesafemiz olduğu halde bize geldiğinde hala sıcaktı... Teşekkürler.,10.0,10.0,10.0,1606089978
Ortalama güzel. Yalniz sıcak ve soğuk paket ayni yerde olmaz bunu öğrenin. Lutfen.,10.0,10.0,8.0,1605917178
"Yediğimiz en lezzetli kokoreçlerden birisiydi teşekkürler, karabağlardan gaziemire 15 dakikada gelmeside ayrı bir boyut lezzet ve hız mükemmel.",10.0,10.0,10.0,1605917178
Kalmış ve yanmış olduğu çok belliydi.,8.0,8.0,3.0,1605830778
Başarılıı.,10.0,10.0,10.0,1605312378
Siz en iyisiler klasmanındasınız kokoreçin lezzeti on numara daha çok menü lütfen.,9.0,7.0,10.0,1605225978
Anlatılmaz yenir.,10.0,10.0,10.0,1604966778
On numara lezzet on numara hız on numara insan.,10.0,10.0,10.0,1604880378
Nötr. İzmirin en pahalı kokoreçini satıyorsunuz. Ama ekmek içerisinde neredeyse kokoreç yok denecek kadar az idi. Tat olarak kokoreçin tadı pek yoktu sanki sadece yemek için yiyorum havası veriyordu ki baharatı falan normaldi.,5.0,5.0,5.0,1604621178
Karabağlardaki en güzel kokoreç diyebilirim herşey çok iyidi.,10.0,10.0,10.0,1604534778
Gece olmasına ramen biraz geç geldi. Kokoreç çok iyi değildi. Sıcak ve iyi paketlenmişti. Sucuu beğendik.,8.0,10.0,7.0,1604189178
Güzel.,8.0,7.0,9.0,1604102778
Sadece bi tik icinde sos biraz daha az olsa super olur ama lezzet mükemmel kaliteyi hic bir zaman bozmayin.,10.0,10.0,10.0,1604065032
Lezzeti harikaydi halen tadi damagimda gercekten. Gayet huzli bir sekilde geldi ve sicacikti. Tek sorunu porsiyonun kucuk fiyatin buyuk olmasiydi. Fiyat ve boyut konusunda ayrlamalar yapilirsa bu alemdeki tek kisi olabilir. Ailecek basarili bulduk. Agzinin tadini bilenlere tavsiye ederim..,10.0,10.0,10.0,1604065032
