comment_text,comment_speed,comment_service,comment_taste,comment_time
Çok iyiydi ya.,10.0,10.0,10.0,1606512121
Karton kokusu lahmacunlara sinmişti koydukları karton kutu ıslanıp parçalanma eşiğine gelmişti.,7.0,5.0,8.0,1606512121
Çok güzeldi ellerinize sağlık.,9.0,9.0,9.0,1606512121
Tek kelimeyle harika bir lezzet tek bir sıkıntısı biraz soğuk geldi.,8.0,10.0,10.0,1606512121
Ustaların eline sağlık çoook lezetli ve paket yapan arkadaşta çok iyi paketlemiş hem çıtır hem sıcak geldi bunun yanında yanındaki mezelerde efsane bu puanlamayı fazlasıyla hakediyorsunuz teşekkür ederim.,10.0,10.0,10.0,1606512121
Lahmacunun tadı gerçekten efsaneydi yanındaki mezeler gerçekten çok tatmin edici inşallah böyle devam ederler.,10.0,10.0,10.0,1606512121
Kızım lahmacunu sizde sevdi kuşbaşı pide harika servis harika 10 dk. Geldi elinize emeğınize sağlık çok teşekkürler.,10.0,10.0,10.0,1606425721
Bu fiyat bu kalite bu bol malzeme bence superin otesi.,10.0,10.0,10.0,1606425721
İki lahmacuna 8 tane meze geldi şaşkınım.,10.0,10.0,10.0,1606425721
Hem porsiyon olarak hem lezzet olarak gerçekten çok başarılı.,9.0,10.0,10.0,1606425721
"Fazlasıyla memnun kaldım, ilk siparişim de çok iyiydi.",10.0,10.0,10.0,1606425721
Lahmacun efsane ama sadece çok geç geldi.,9.0,10.0,10.0,1606425721
Adamlar yapıyor ustaaaaaaa.,9.0,9.0,9.0,1606425721
Lahmacun çok güzeldi fakat kavurmalı kaşarlı pide de kavurma azdı iç yağ çoktu.,10.0,10.0,8.0,1606425721
Guzel lahmacun.,9.0,9.0,9.0,1606339321
"Siparişim 12 dakikada kapıma geldi. Lezzet olarak mükemmeldi, kuryeninde samimi, içten ve hızlı olması da gayet güzeldi pidenin tek adresi. Ustaaa ellerine sağlık.",10.0,10.0,10.0,1606339321
Lahmacun harikaydı. Teşekkürler.,10.0,10.0,10.0,1606339321
Lahmacunun citirligi efsaneydi tadı gayet hafif ve lezzetliydi...,10.0,10.0,10.0,1606339321
Biraz geç geldi. O yüzden lahmacun ılıktı. Ama lezzet çok güzeldi.,9.0,10.0,10.0,1606339321
Güzel.,9.0,9.0,9.0,1606339321
"Gayet hızlı. Lezzeti bana lahmacunu sevdirdi gerçekten. Servisten 2 puan kırma sebebim ise 1i patlamış olan ayranı göndermelerin, diğeri ise 3 lahmacuna 2 tane sebze ezme göndermeleri.",10.0,8.0,10.0,1606339321
"Kuryenin güleryüzlü, kibarlığı, sempatikliğine puanlarım...",10.0,10.0,10.0,1606339321
Sıcak ve hızlı geldi. Salataları güzeldi. Lahmacun fiyatı ucuz olmasa da uçuk değil. Ellerinize emeğinize sağlık.,10.0,10.0,10.0,1606339321
Iyio.,10.0,10.0,10.0,1606252921
Lahmacunu gercekten son zamanlarda yediğim en güzel lahmacundu. Kurye erdem abi güleryüzlü ve kibardı yan ürünlere bayıldim özellikle soğanı lahmacunun yaninda gormeyeli uzun zaman olmustu cok tesekkurler. Tek korkum zamanla standartlarını düşürmeleri yoksa uzun süre lahmacun piyasasina ambargo koyar.,10.0,10.0,10.0,1606252921
"Gerçekten son zamanlarda yediğim en iyi lahmacundu. Acı dengesi, hamur çıtırlığı ve iç lezzeti ile mükemmeldi. Teşekkürler.",10.0,10.0,10.0,1606252921
Lahmacun cok iyiydi kurye erdem bey de cok hızlı ve sıcak bir sekilde getirmis tesekkurler.,10.0,10.0,10.0,1606252921
Ellerinize sağlık her şeyiyleçok iyiydi. Mezeleri bol lahmacunun boyutu büyük. 2 tane doyurucu oluyor.,10.0,10.0,10.0,1606166521
Çok iyiydi. Kuşbaşı kaşarlı pide özellikle gayet başarılıydı. Teşekkürler afiyetle yedik.,10.0,10.0,10.0,1606166521
Lahmacunların lezzeti ve gelen ikramlar fiyat performansı açısından gayet lezzetliydi. Umarım kalitesi bozulmadan bu şekilde devam eder.,10.0,10.0,10.0,1606166521
Lezzet iyi idi ama salata donuktu buzluydu limon domates.,8.0,7.0,8.0,1606166521
Yorumlarda porsiyonun büyük diyorlar ona rağmen 1. 5 pide söyledim. Sizin 1. 5 diye yolladıgınız porsiyonu 1 porsiyon olarak yollayan ve kıyması falan daha kıyma gibi hissettiren restoranlar var bilesiniz.. Ayrıca buz gibi geldi. Havanın soğuk olmasını bahane etmeyin. Termal çanta kullanabilirsiniz.,8.0,4.0,4.0,1606166521
Lahmacunlarının porsiyonu tamda istediğim gibi.,10.0,10.0,10.0,1606166521
Çok begendim gerçekten artık favori lahmacunum diye bilirim soğan söğüş içinde ayriyetten teşekkür ederim...,10.0,10.0,10.0,1606166521
Çok iyidi ilk günki gibi halla aynı lezzet lovemacun.,10.0,10.0,10.0,1606166521
Lahmacun harikaa.,10.0,10.0,10.0,1606166521
Notları dikkate alıyorlar kurye abi çok kibar guler yuzlu biri. Ve hayatimda yedigim en iyi lahmacunlardan biri. Lahmacunun porsiyonu buyuk doyurucu malzemesi bol fiyatini sonuna kadar hak ediyor. Ellerinize sağlık.,10.0,10.0,10.0,1606166521
Lezzetteki kalitesi tartışılmaz bunun yanında fiyatlarıda uygun daha ne olsun.,10.0,10.0,10.0,1606080121
"4 lahmacun istemiştim, aynı kutuda geldi hepsi. Yanında ıslak mendil yoktu, özellikle elle yenen bir yiyeceğin yanında ıslak mendil vermedikleri çin servisi 7 puanlıktı. Fakat bunların dışında gerçekten yediğim en güzel lahmacun olabilir. Hem lezzeti çok iyi hem de porsiyonları oldukça doyurucu.",8.0,7.0,9.0,1606080121
Lezetliydi herkese tavsiyemdir.,10.0,10.0,10.0,1606080121
Lahmacunu maydanoz ile servis etmeyi bilen biryer bulmak gerçekten mutlu etti. Ve tadı gerçekten güzeldi. Boyutları beklediğimden çok daha büyüktü :d lahmacun konusunda artık favorim burası.,10.0,10.0,10.0,1606080121
Lahmacunlar çok doyurucu ve lezzetliydi. Yapan ustanın ellerine sağlık.,10.0,10.0,10.0,1605993721
Kaşarlı lahmacun daha önce yememiştim beğendim gercekten.,9.0,9.0,9.0,1605993721
